week_start	sub-Temp-pref-F30-B30-5dpf-01-unsorted-nac/sub-Temp-pref-F30-B30-5dpf-01-unsorted-nac_ses-20230808T111800_behavior.nwb	sub-Temp-pref-F30-B30-5dpf-02-unsorted-nac/sub-Temp-pref-F30-B30-5dpf-02-unsorted-nac_ses-20230808T115400_behavior.nwb	sub-Temp-pref-F30-B30-5dpf-03-unsorted-nac/sub-Temp-pref-F30-B30-5dpf-03-unsorted-nac_ses-20230808T122600_behavior.nwb	sub-Temp-pref-F30-B30-5dpf-04-unsorted-nac/sub-Temp-pref-F30-B30-5dpf-04-unsorted-nac_ses-20230808T132800_behavior.nwb	sub-Temp-pref-F30-B30-5dpf-05-unsorted-nac/sub-Temp-pref-F30-B30-5dpf-05-unsorted-nac_ses-20230808T142100_behavior.nwb	sub-Temp-pref-F30-B30-5dpf-06-unsorted-nac/sub-Temp-pref-F30-B30-5dpf-06-unsorted-nac_ses-20230808T145300_behavior.nwb	sub-Temp-pref-F30-B30-5dpf-07-unsorted-nac/sub-Temp-pref-F30-B30-5dpf-07-unsorted-nac_ses-20230808T152700_behavior.nwb	sub-Temp-pref-F30-B30-5dpf-08-unsorted-nac/sub-Temp-pref-F30-B30-5dpf-08-unsorted-nac_ses-20230808T155800_behavior.nwb	sub-Temp-pref-F30-B30-5dpf-09-unsorted-nac/sub-Temp-pref-F30-B30-5dpf-09-unsorted-nac_ses-20230808T163400_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-10-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-10-unsorted-nac_ses-20231026T153900_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-11-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-11-unsorted-nac_ses-20231026T161200_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-12-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-12-unsorted-nac_ses-20231026T165200_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-13-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-13-unsorted-nac_ses-20231026T172300_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-14-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-14-unsorted-nac_ses-20231027T111000_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-15-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-15-unsorted-nac_ses-20231027T114300_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-16-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-16-unsorted-nac_ses-20231027T121900_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-17-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-17-unsorted-nac_ses-20231027T125200_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-18-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-18-unsorted-nac_ses-20231027T132300_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-19-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-19-unsorted-nac_ses-20231027T135600_behavior.nwb	sub-Temp-pref-F30-B30-7dpf-20-unsorted-nac/sub-Temp-pref-F30-B30-7dpf-20-unsorted-nac_ses-20231027T142800_behavior.nwb
2025-03-10	6323914	6483128	6878096	6866171	7953065	6601718	8277746	6984503	6997193	6813202	6805859	6926988	7113093	6632982	4822359	6870406	6597771	6742654	6905145	7510744
2025-06-02	74720656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	350448	350970	350244	350892	349824	350412	350802	351114	350016	350856	350454	350958	350862	350580	350790	350964	351114	350730	350640	351012
2025-07-14	350448	350970	350244	350892	349824	350412	350802	351114	350016	350856	350454	350958	350862	350580	350790	350964	351114	350730	350640	351012
2025-07-28	0	9565028	9567004	9555023	0	0	0	0	9489465	0	9363527	9353640	0	9387286	9476339	0	9417583	9431394	0	0
2025-08-04	0	0	0	0	0	9683674	0	9542171	0	0	0	0	0	0	0	9559146	0	0	0	9478784
2025-08-11	0	0	0	0	9462157	0	0	0	0	9370870	0	0	9474293	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	9462157	0	0	9542171	0	0	0	0	0	0	0	0	9417583	0	0	9478784
2025-09-01	0	0	9567004	0	0	0	9459410	0	0	9370870	0	0	9474293	0	0	0	0	0	0	0
2025-09-08	9340082	9565028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9431394	9462813	0
2025-09-29	8292942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	21033076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	21655586	25680856	25157908	17743523	18043705	26126182	24526250	19433879	25538925	24175678	20041331	25861656	23337622	25063340	24281147	25608606	17671591	25675620	23052630	21663272
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	9353640	0	0	0	9559146	0	0	0	0
2026-01-05	0	0	0	0	0	9683674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	0	0	0	0	0	0	0	0	28060920	28422879	0	0	28677438	28252749	28294182	0	0
2026-01-26	9340082	9565028	9567004	9555023	0	0	9459410	0	9489465	0	9363527	0	9474293	9387286	9476339	0	0	9431394	0	0
2026-02-02	0	0	0	0	9462157	0	0	9542171	0	9370870	0	0	0	0	0	0	9417583	0	9462813	9478784
2026-02-16	17815442	18294144	13978032	17629059	15570953	15099944	19533220	19493942	15558500	17846230	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	0	0	0	7203469	0	0	0	5731669	6841874	0	0	7301453	7861250	6369835	6063382	0	0	0	6642588
2026-03-02	0	7138432	6693916	9772875	0	6142742	6623214	6222591	0	0	6244959	6517444	0	0	0	0	5406031	6177322	6831417	0
2026-03-09	6393210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	17282602	0	0	0	0	0	18707280	9474293	0	0	17551122	0	0	0	0
2026-03-23	2010408	0	22304496	4397312	0	12760592	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	4434204	0	0	4536604	0	0	0	9370870	0	0	0	0	0	0	0	18862788	9462813	0
2026-04-06	6821808	0	0	5048604	0	0	0	0	0	18741740	18727055	18707280	18948586	16134611	1474280	0	0	9431394	0	5618588
2026-04-13	0	0	0	0	0	0	0	9542171	16040266	0	0	9353640	0	57136039	0	0	20931424	9431394	0	27277084
2026-04-20	0	0	0	0	9462157	19367348	0	19084342	37957862	0	0	12694548	0	0	0	19118292	19883295	0	0	0
2026-04-27	0	0	0	0	28386471	0	0	0	0	0	0	0	18948586	0	0	0	0	0	0	0
2026-05-11	9340082	0	0	6235443	7268977	0	0	9542171	0	0	0	0	9474293	0	0	0	6061111	0	9462813	9478784
