week_start	sub-MonkeyL-held-in-calib/sub-MonkeyL-held-in-calib_ses-20120924_behavior+ecephys.nwb	sub-MonkeyL-held-in-calib/sub-MonkeyL-held-in-calib_ses-20120926_behavior+ecephys.nwb	sub-MonkeyL-held-in-calib/sub-MonkeyL-held-in-calib_ses-20120927_behavior+ecephys.nwb	sub-MonkeyL-held-in-calib/sub-MonkeyL-held-in-calib_ses-20120928_behavior+ecephys.nwb	sub-MonkeyL-held-in-minival/sub-MonkeyL-held-in-minival_ses-20120924_behavior+ecephys.nwb	sub-MonkeyL-held-in-minival/sub-MonkeyL-held-in-minival_ses-20120926_behavior+ecephys.nwb	sub-MonkeyL-held-in-minival/sub-MonkeyL-held-in-minival_ses-20120927_behavior+ecephys.nwb	sub-MonkeyL-held-in-minival/sub-MonkeyL-held-in-minival_ses-20120928_behavior+ecephys.nwb	sub-MonkeyL-held-out-calib/sub-MonkeyL-held-out-calib_ses-20121004_behavior+ecephys.nwb	sub-MonkeyL-held-out-calib/sub-MonkeyL-held-out-calib_ses-20121017_behavior+ecephys.nwb	sub-MonkeyL-held-out-calib/sub-MonkeyL-held-out-calib_ses-20121024_behavior+ecephys.nwb
2024-04-29	316611982	339788447	336329198	294143860	4803760	4679520	5887352	4694264	18627860	16572014	23942167
2024-05-06	219232146	240804981	235444578	205011300	1801410	1754820	2246157	1798749	7817766	8130642	11334285
2024-05-20	219232146	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2024-05-27	0	27372360	78481526	0	0	0	0	0	0	0	0
2024-06-03	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2024-06-10	167052328	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2024-07-08	76948692	87855578	83038108	75903868	1801410	2339760	2115085	1798749	6062888	6950994	8669378
2024-07-22	157749680	170624886	245532810	146696924	2401880	1754820	2246157	1798749	7817766	10840856	11334285
2024-08-05	197439984	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2024-08-12	161287112	120621255	96103178	85762228	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2024-08-26	0	0	0	0	600470	0	0	0	0	0	0
2024-09-02	0	0	0	136674200	0	0	0	0	0	0	0
2024-09-09	261009746	80268327	109549654	68337100	600470	9943980	2994876	599583	2605922	2710214	3778095
2024-09-16	398977674	131418398	153328192	124510804	2401880	2339760	2863804	2398332	9112968	9112758	12447473
2024-09-23	57348742	53462115	57510006	52608460	0	584940	0	0	2605922	2710214	3778095
2024-09-30	46152446	80268327	0	7729944	0	0	0	0	0	0	0
2024-10-07	146154764	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2024-10-14	219232146	240804981	235444578	205011300	1801410	1754820	2246157	1798749	7817766	8130642	11334285
2024-10-21	146154764	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2024-10-28	81396898	87539715	88504250	78359824	0	0	0	0	2605922	2710214	3778095
2024-11-04	146154764	240804981	156963052	136674200	1801410	1754820	2246157	1798749	7817766	8130642	11334285
2024-11-11	73077382	80268327	78481526	68337100	1200940	584940	1497438	599583	2605922	2710214	3778095
2024-11-18	136259930	163141265	154766262	211003988	4803760	2924700	3743595	2997915	12585452	14075358	17536288
2024-11-25	146154764	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2024-12-02	73077382	80268327	78481526	136674200	600470	584940	748719	599583	2605922	2710214	3778095
2024-12-09	219232146	240804981	235444578	205011300	1801410	1754820	2246157	1798749	7817766	8130642	11334285
2024-12-30	162597272	93435435	96627242	83469448	1801410	1169880	1497438	1199166	5211844	5420428	7556190
2025-01-06	164489437	94278954	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-01-13	146154764	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-01-20	146154764	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2025-01-27	4127004	0	0	0	0	0	0	0	0	0	0
2025-02-03	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-02-10	438464292	481609962	470889156	410022600	3602820	3509640	4492314	3597498	15635532	16261284	22668570
2025-02-17	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-02-24	146154764	160536654	166854760	140801204	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2025-03-03	293783416	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2025-03-10	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-03-17	74629846	80268327	78481526	68337100	600470	584940	748719	599583	6498652	2710214	3778095
2025-03-31	146154764	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2025-04-07	365386910	328868760	392407630	341685500	3002350	2924700	3743595	2997915	13029610	13551070	18890475
2025-04-14	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-04-21	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-04-28	146154764	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2025-05-05	15525396	0	0	0	0	0	0	0	0	0	0
2025-05-19	0	0	0	0	0	0	0	0	2605922	0	0
2025-05-26	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-06-16	146154764	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2025-06-23	147536566	150576927	150944774	133794988	600470	584940	1172631	599583	4010258	4073750	6499863
2025-06-30	292309528	321073308	313926104	273348400	3602820	2339760	2994876	2398332	10423688	10840856	15112380
2025-07-07	292309528	321073308	313926104	273348400	2401880	2339760	2994876	2398332	10423688	10840856	15112380
2025-07-14	464207526	391381908	386389352	338806288	1200940	1169880	1921350	1199166	11828024	12204392	17834148
2025-07-21	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-07-28	365386910	160536654	156963052	136674200	600470	584940	748719	599583	5211844	2710214	3778095
2025-08-04	146154764	160536654	235444578	136674200	6004700	1169880	1497438	1798749	5211844	5420428	7556190
2025-08-11	73077382	0	0	68337100	1200940	584940	1497438	599583	0	0	3778095
2025-08-18	146154764	160536654	156963052	136674200	3602820	1169880	1497438	1199166	5211844	8130642	7556190
2025-08-25	73077382	80268327	78481526	68337100	600470	584940	1497438	1199166	2605922	2710214	3778095
2025-09-01	111006514	0	0	0	0	584940	0	0	0	0	0
2025-09-08	538392786	577265501	405633078	358120840	4203290	3509640	3743595	3597498	13029610	13551070	18890475
2025-09-15	146154764	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2025-09-22	88406254	95124307	78481526	80307144	600470	584940	748719	599583	2605922	2710214	3778095
2025-10-06	229760500	165315490	210039596	68337100	7598856	2470832	2994876	2529404	9112968	9661208	3778095
2025-10-20	146154764	160536654	156963052	136674200	600470	584940	748719	599583	2605922	2710214	3778095
2025-10-27	2120612044	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2025-11-03	73077382	80268327	78481526	68337100	1200940	1169880	1497438	1199166	7817766	8130642	7556190
2025-11-10	876928584	963219924	941778312	820045200	7205640	7019280	8984628	7194996	31271064	32522568	45337140
2025-11-17	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-12-01	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2025-12-08	146154764	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2025-12-15	161156096	173179698	172815988	156195584	2401880	2339760	2994876	2398332	10423688	10840856	15112380
2025-12-22	0	0	0	68337100	600470	0	0	0	0	0	0
