week_start	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/post_lesion/syllable2.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/post_lesion/syllable3.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/post_lesion/syllable4.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/post_lesion/syllable5.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/post_lesion/syllable6.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/post_lesion/syllable7.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/post_lesion/syllable8.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/post_lesion/syllable9.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/pre_lesion/syllable2.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/pre_lesion/syllable3.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/pre_lesion/syllable4.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/pre_lesion/syllable5.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/pre_lesion/syllable6.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/pre_lesion/syllable7.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid/pre_lesion/syllable9.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid_movies/syllable1.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid_movies/syllable2.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid_movies/syllable3.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid_movies/syllable4.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid_movies/syllable5.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid_movies/syllable6.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid_movies/syllable7.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid_movies/syllable8.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2/moseq_data/all/2024_06_27-21_12_28/grid_movies/syllable9.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2t/moseq_data/all/2024_07_02-22_23_34/grid_movies/syllable0.mp4	001782/m1_lesion_data/mouse/stroke_expt/s2t/moseq_data/all/2024_07_02-22_23_34/grid_movies/syllable1.mp4	m1_lesion_data/mouse/stroke_expt/s2t/moseq_data/all/2024_07_02-22_23_34/grid_movies/syllable11.mp4	m1_lesion_data/mouse/stroke_expt/s2t/moseq_data/all/2024_07_02-22_23_34/grid_movies/syllable5.mp4
2026-04-13	30573208	23958906	23631294	23930750	23424532	30808612	30301426	30446892	16528160	22801018	22575758	29414054	23117452	28949998	16077276	21349142	20919648	21044920	27589614	20913186	26668190	20767276	27029720	13754698	27841674	20727890	28416586	27744892
2026-04-20	13606636	0	13608570	0	0	0	0	0	0	0	0	9630157	0	0	13063908	11129894	0	0	0	0	0	10941076	0	0	10874715	0	0	11040352
2026-05-11	0	6968091	0	0	0	0	0	0	0	0	0	0	0	6646793	0	0	0	5478344	0	0	0	0	0	0	0	0	0	0
2026-05-18	19436848	0	15975405	0	0	0	0	0	0	0	0	12184969	0	0	19595862	8385024	0	0	0	0	0	15395620	0	0	6616695	0	0	12333008
2026-06-22	3406416	0	3209892	0	0	0	0	0	0	0	0	2554812	0	0	3144384	2816844	0	0	0	0	0	2423796	0	0	6878727	0	0	3275400
