date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-04-15	172166810	28	28	0
2026-04-16	172166810	28	0	28
2026-04-17	336973152	116	116	0
2026-04-21	93895308	16	16	0
2026-05-16	6646793	1	0	1
2026-05-17	12446435	2	0	2
2026-05-18	78793160	16	16	0
2026-05-19	31130271	5	5	0
2026-06-26	27710271	16	16	0
2026-06-29	31130271	5	5	0
2026-07-09	23713896	16	16	0
