date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-08-16	44005208	133	24	4
2026-08-19	2230184	8	2	3
2026-08-21	1718456	3	1	1
2026-08-22	2707776	3	2	1
2026-08-24	1820856	4	1	1
2026-08-25	14976	1	0	1
2026-08-27	4540968	3	3	0
2026-08-28	14976	1	0	1
