region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	61490636460	69978	131	160
GBR/SCT	19008644	52	1	1
AWS/us-east-2	1977151984	14905	4	25
CHN	720888883	118	2	2
USA/VA	1651391831	1555	10	8
USA/PA	500736875	2408	22	4
CHE/VD	1181975424	8	3	1
VPN	5286101964	977	36	44
GBR/ENG	10072733801	18	18	0
MEX/CMX	894895280	2332	18	6
AWS/us-east-1	972404669	158	5	14
CAN/QC	684233384	21	1	3
USA/NV	1196560269	30	2	1
CHN/SH	1315103564	69	9	1
USA/MA	6973374845	951	3	6
AUS/VIC	620860968	2	2	0
USA/CA	1231685836	81	16	7
CHN/GD	795254668	3	2	1
USA/NY	1560669414	975	14	5
ITA	68775936	11	3	1
USA/IN	590267164	1	1	0
USA/MI	15731825790	2843	3	5
JPN/13	36203392	17	3	1
HUN/BA	66355608	10	2	2
IND/RJ	329092152	1	1	0
KOR/30	1787963349	4	3	1
USA/RI	56379732	12	0	1
PRT/11	4722137312	8	8	0
USA/IL	53005924	7	2	1
GCP/us-central1	8022223888	14	14	0
FRA/PAC	3541602984	6	6	0
ITA/52	93966220	20	0	2
CHE/AG	1272332	5	1	1
IND/MH	1180534328	2	2	0
USA/MD	614110672	43	7	4
RUS	23791025	2	2	0
USA/FL	38822940	1	1	0
DEU/NW	608718708	23	4	2
HKG	272416304	2	1	1
USA/DC	601615408	3	3	0
CAN/ON	640239256	2	2	0
NOR/50	374167312	83	0	2
USA/GA	2379861900	8	4	1
TWN/TXG	9778340	9	1	1
NLD	590267164	1	1	0
BRA/RJ	590267164	1	1	0
BEL	133664264	4	1	1
USA/NM	590267164	1	1	0
CHN/TJ	529323269	1	1	0
USA/NC	1770801492	3	3	0
NOR/03	590267164	1	1	0
USA	1392980309	9	3	1
TWN/TPE	590267164	1	1	0
VNM/SG	1180534328	2	2	0
GBR	590267164	1	1	0
ITA/45	18793244	4	0	1
USA/NJ	590267164	1	1	0
USA/UT	5640940	1	1	0
IRN	590267164	1	1	0
NLD/ZH	8426796	8	1	1
FRA/IDF	10447688	14	4	3
