week_start	sub-222549/sub-222549_ecephys+ophys.nwb
2021-04-19	310378496
2021-06-07	590267164
2021-08-23	38192013
2021-09-06	640239256
2021-10-04	590267164
2021-10-25	12277340
2021-11-01	590267164
2021-11-08	1180534328
2021-11-15	1103952
2022-01-24	590267164
2022-02-07	590267164
2022-02-14	309004
2022-04-11	2871032
2022-04-18	590267164
2022-05-16	147888
2022-07-11	861015949
2022-07-18	3541602984
2022-07-25	590267164
2022-08-01	7083205968
2022-08-08	5902671640
2022-08-15	3541602984
2022-08-22	1180534328
2022-08-29	5312404476
2022-09-05	4722137312
2022-12-05	590267164
2022-12-12	169424478
2023-01-02	115106951
2023-02-06	615816366
2023-02-13	18793244
2023-03-06	590267164
2023-03-27	1770801492
2023-04-03	2281979688
2023-04-10	908658032
2023-04-17	1667672363
2023-04-24	2190572189
2023-05-01	3297364662
2023-05-08	3715261724
2023-05-15	2833815321
2023-05-22	8427697447
2023-05-29	2455502075
2023-06-05	1460222928
2023-06-12	1865518456
2023-06-19	183019060
2023-06-26	2947399877
2023-07-03	2916897161
2023-07-10	2368515729
2023-07-17	2269906730
2023-07-24	2244284818
2023-07-31	1117077596
2023-08-07	1904783468
2023-08-14	2264484132
2023-08-21	1953859700
2023-08-28	2915723668
2023-09-04	2699632128
2023-09-11	3097910932
2023-09-18	2292227048
2023-09-25	1139225808
2023-10-02	1941054376
2023-10-09	1482371012
2023-10-16	1289427896
2023-10-23	1247495604
2023-10-30	1656755144
2023-11-06	1744246012
2023-11-13	792145624
2023-11-20	444000935
2023-11-27	396464
2023-12-04	628391740
2023-12-11	590267164
2024-01-01	643491092
2024-01-08	195441152
2024-01-22	13042356
2024-01-29	53953932
2024-02-19	73717264
2024-03-04	974192196
2024-03-11	1994831336
2024-03-18	767446656
2024-03-25	382992292
2024-04-01	71555932
2024-04-08	1053924636
2024-04-15	440360832
2024-04-22	390938356
2024-04-29	457183264
2024-05-06	742163556
2024-05-13	247502564
2024-05-20	505537328
2024-05-27	803591952
2024-06-03	300739764
2024-06-10	167274716
2024-07-08	896373129
2024-07-15	67108864
2024-07-22	1180534328
2024-07-29	590267164
2024-08-05	609060408
2024-08-26	616227720
2024-09-09	915475900
2024-09-16	18793244
2024-09-23	64979440
2024-09-30	18793244
2024-10-14	100821776
2024-10-21	18793244
2024-11-18	214066368
2024-12-09	1767775516
2025-01-20	9778340
2025-02-03	38822940
2025-03-31	180001340
2025-04-07	7100952
2025-05-05	22298304
2025-05-12	590267164
2025-06-16	590267164
2025-06-23	16192816
2025-07-14	5957084
2025-08-18	104857600
2025-09-08	590267164
2025-09-15	590267164
2025-09-22	23850428
2025-09-29	4828896
2025-10-06	28009332
2025-12-15	1188763464
2026-01-26	590267164
2026-02-02	188743680
2026-02-16	10574708
2026-02-23	594381732
2026-03-16	4319368
2026-03-23	4319368
