week_start	sub-1001372857/sub-1001372857_ses-1002962014_icephys.nwb	sub-1129830310/sub-1129830310_ses-1129918522_icephys.nwb	sub-569800644/sub-569800644_ses-569817501_icephys.nwb	sub-591270122/sub-591270122_ses-591419661_icephys.nwb	sub-595536280/sub-595536280_ses-595699633_icephys.nwb	sub-595536280/sub-595536280_ses-595707931_icephys.nwb	sub-611526465/sub-611526465_ses-611894345_icephys.nwb	sub-653027578/sub-653027578_ses-653037324_icephys.nwb	sub-653718968/sub-653718968_ses-654144504_icephys.nwb	sub-665691251/sub-665691251_ses-665700181_icephys.nwb	sub-731978186/sub-731978186_ses-732044941_icephys.nwb	sub-846404050/sub-846404050_ses-1042056967_icephys.nwb	sub-846404050/sub-846404050_ses-847887213_icephys.nwb	sub-846404050/sub-846404050_ses-847931011_icephys.nwb
2025-11-24	77342964	94543209	75249352	26710720	46909749	73445667	78351016	126511664	54877738	100974850	47735408	73712560	95465072	43362457
2025-12-01	64043700	64147497	72362165	97507656	81522057	44662086	38389412	105075259	68747468	109292787	36523578	97663764	40723180	36873326
2025-12-08	50120800	50101894	56252032	42399552	31783422	67863117	76454732	34538843	32277478	79767083	33978728	44913764	38954464	53836059
2025-12-15	141891816	122568907	76380940	110347224	99715041	76248141	80647244	173699687	114922730	180606404	125115482	92541684	81099564	106330017
2025-12-22	0	0	0	0	0	15233101	0	0	0	0	0	0	14826024	0
2026-01-05	134195936	75807221	68960584	74792924	90496653	60344067	59222680	101684132	86818693	141747848	63830452	93471252	116273820	78266704
2026-01-12	0	0	0	0	0	25718861	0	47350619	0	0	42644850	0	29652048	0
2026-01-19	49989784	45778366	28224278	18260188	0	27630006	21160808	30303551	23707153	84090611	40585074	39530676	39282004	45847922
2026-01-26	81076920	49643338	36543794	44561316	35105391	63514020	96135092	58934061	50807259	83370023	40454058	50764368	64720464	24627169
2026-02-02	54126744	86403052	27652658	35332132	42228222	20005509	63971696	21853019	74672347	141546679	32804494	51353940	39349612	64518168
2026-02-09	52574900	41389330	44661951	56532736	22147725	4192512	4258020	59458125	14009729	41780749	4127004	32467244	19280708	58094079
2026-02-16	7387252	27016187	23966258	0	13828209	0	22012412	19702619	4258020	17174872	4127004	18362632	0	4454544
2026-02-23	24158440	41389330	36609302	37109948	22802805	23503002	72262220	4300800	45379078	33395725	15197856	18690172	23735252	37462898
2026-03-02	0	0	0	0	0	0	0	4192512	0	0	0	14170120	0	0
2026-03-09	0	4127004	0	0	0	0	0	0	0	8396800	0	0	0	0
2026-03-16	20031436	589572	11983129	19046284	9040104	0	35639800	13429140	4585560	16793600	0	27271720	4585560	16373161
2026-03-23	22898636	0	0	0	0	0	0	0	0	0	0	28340240	4127004	0
