week_start	sub-2020-02-15-0000/sub-2020-02-15-0000_ses-20200215T161436_slice-2020-02-15-0000-abf_cell-2020-02-15-0000-abf_icephys.nwb	sub-2020-02-15-0002/sub-2020-02-15-0002_ses-20200215T161748_slice-2020-02-15-0002-abf_cell-2020-02-15-0002-abf_icephys.nwb	sub-2020-02-15-0005/sub-2020-02-15-0005_ses-20200215T162505_slice-2020-02-15-0005-abf_cell-2020-02-15-0005-abf_icephys.nwb	sub-2020-02-15-0006/sub-2020-02-15-0006_icephys.nwb	sub-2020-02-15-0009/sub-2020-02-15-0009_ses-20200215T170205_slice-2020-02-15-0009-abf_cell-2020-02-15-0009-abf_icephys.nwb	sub-2020-02-15-0010/sub-2020-02-15-0010_ses-20200215T170814_slice-2020-02-15-0010-abf_cell-2020-02-15-0010-abf_icephys.nwb	sub-2020-02-15-0011/sub-2020-02-15-0011_ses-20200215T171331_slice-2020-02-15-0011-abf_cell-2020-02-15-0011-abf_icephys.nwb	sub-2020-02-15-0012/sub-2020-02-15-0012_ses-20200215T174110_slice-2020-02-15-0012-abf_cell-2020-02-15-0012-abf_icephys.nwb	sub-2020-02-15-0016/sub-2020-02-15-0016_ses-20200215T175452_slice-2020-02-15-0016-abf_cell-2020-02-15-0016-abf_icephys.nwb	sub-2020-02-15-0018/sub-2020-02-15-0018_ses-20200215T185611_slice-2020-02-15-0018-abf_cell-2020-02-15-0018-abf_icephys.nwb	sub-2020-02-15-0019/sub-2020-02-15-0019_ses-20200215T185741_slice-2020-02-15-0019-abf_cell-2020-02-15-0019-abf_icephys.nwb	sub-2020-02-15-0020/sub-2020-02-15-0020_ses-20200215T185940_slice-2020-02-15-0020-abf_cell-2020-02-15-0020-abf_icephys.nwb	sub-2020-02-15-0021/sub-2020-02-15-0021_ses-20200215T190549_slice-2020-02-15-0021-abf_cell-2020-02-15-0021-abf_icephys.nwb	sub-2020-02-15-0022/sub-2020-02-15-0022_ses-20200215T190926_slice-2020-02-15-0022-abf_cell-2020-02-15-0022-abf_icephys.nwb	sub-2020-02-15-0024/sub-2020-02-15-0024_ses-20200215T192626_slice-2020-02-15-0024-abf_cell-2020-02-15-0024-abf_icephys.nwb	sub-2020-02-15-0026/sub-2020-02-15-0026_ses-20200215T194610_slice-2020-02-15-0026-abf_cell-2020-02-15-0026-abf_icephys.nwb	sub-2020-02-15-0027/sub-2020-02-15-0027_ses-20200215T194749_slice-2020-02-15-0027-abf_cell-2020-02-15-0027-abf_icephys.nwb	sub-2020-02-15-0028/sub-2020-02-15-0028_ses-20200215T194952_slice-2020-02-15-0028-abf_cell-2020-02-15-0028-abf_icephys.nwb	sub-2020-02-15-0029/sub-2020-02-15-0029_ses-20200215T202027_slice-2020-02-15-0029-abf_cell-2020-02-15-0029-abf_icephys.nwb	sub-2020-02-15-0031/sub-2020-02-15-0031_ses-20200215T202559_slice-2020-02-15-0031-abf_cell-2020-02-15-0031-abf_icephys.nwb	sub-2020-02-15-0032/sub-2020-02-15-0032_ses-20200215T203317_slice-2020-02-15-0032-abf_cell-2020-02-15-0032-abf_icephys.nwb	sub-2020-02-15-0033/sub-2020-02-15-0033_ses-20200215T203651_slice-2020-02-15-0033-abf_cell-2020-02-15-0033-abf_icephys.nwb	sub-2020-02-15-0034/sub-2020-02-15-0034_ses-20200215T205714_slice-2020-02-15-0034-abf_cell-2020-02-15-0034-abf_icephys.nwb	sub-2020-02-15-0037/sub-2020-02-15-0037_ses-20200215T210109_slice-2020-02-15-0037-abf_cell-2020-02-15-0037-abf_icephys.nwb	sub-2020-02-15-0038/sub-2020-02-15-0038_ses-20200215T210840_slice-2020-02-15-0038-abf_cell-2020-02-15-0038-abf_icephys.nwb	sub-2020-02-15-0040/sub-2020-02-15-0040_ses-20200215T213715_slice-2020-02-15-0040-abf_cell-2020-02-15-0040-abf_icephys.nwb	sub-2020-02-15-0041/sub-2020-02-15-0041_ses-20200215T214005_slice-2020-02-15-0041-abf_cell-2020-02-15-0041-abf_icephys.nwb	sub-2020-02-15-0042/sub-2020-02-15-0042_ses-20200215T214345_slice-2020-02-15-0042-abf_cell-2020-02-15-0042-abf_icephys.nwb	sub-2020-02-15-0043/sub-2020-02-15-0043_ses-20200215T215017_slice-2020-02-15-0043-abf_cell-2020-02-15-0043-abf_icephys.nwb	sub-2020-02-15-0044/sub-2020-02-15-0044_ses-20200215T215035_slice-2020-02-15-0044-abf_cell-2020-02-15-0044-abf_icephys.nwb	sub-2020-02-15-0046/sub-2020-02-15-0046_ses-20200215T215531_slice-2020-02-15-0046-abf_cell-2020-02-15-0046-abf_icephys.nwb	sub-2020-02-15-0047/sub-2020-02-15-0047_ses-20200215T221613_slice-2020-02-15-0047-abf_cell-2020-02-15-0047-abf_icephys.nwb	sub-2020-02-15-0049/sub-2020-02-15-0049_ses-20200215T221924_slice-2020-02-15-0049-abf_cell-2020-02-15-0049-abf_icephys.nwb	sub-2020-02-15-0050/sub-2020-02-15-0050_ses-20200215T222534_slice-2020-02-15-0050-abf_cell-2020-02-15-0050-abf_icephys.nwb	sub-2020-02-15-0051/sub-2020-02-15-0051_ses-20200215T223106_slice-2020-02-15-0051-abf_cell-2020-02-15-0051-abf_icephys.nwb	sub-2020-02-15-0053/sub-2020-02-15-0053_ses-20200215T225835_slice-2020-02-15-0053-abf_cell-2020-02-15-0053-abf_icephys.nwb	sub-2020-02-15-0054/sub-2020-02-15-0054_ses-20200215T230502_slice-2020-02-15-0054-abf_cell-2020-02-15-0054-abf_icephys.nwb
2025-10-06	542264	0	0	12982032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897019	0	0	0	0	0	0	0	0	0	0	348237	0	0	0	0	0	0	0	0
2025-12-15	2169056	12440616	12824000	14999360	11256648	11095744	2302836	6665216	9449792	2620636	1500492	11242408	8587240	3179084	7381036	2399360	5224252	3588076	4922328	11611048	8394144	9568332	2719180	14159996	15619488	3977575	6805848	13164460	1392948	4287784	8097388	2933895	13041715	12524044	5589164	9912332	13560212
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10240	0	0	0	2392083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	542264	0	0	0	0	0	0	1666304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2024347	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	375123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348237	0	0	0	0	0	0	0	0
2026-01-12	1626792	0	7694400	0	0	8321808	1727127	4998912	0	1965477	1125369	0	0	2384313	5535777	1799520	0	5382114	0	0	0	7176249	2039385	0	11714616	2386545	0	0	2089422	0	6073041	1760337	7825029	0	0	0	0
2026-01-19	0	0	0	0	0	0	0	0	0	655159	0	0	0	0	0	599840	0	0	0	0	2098536	0	0	0	0	0	0	3291115	0	1071946	0	0	0	0	0	0	0
2026-01-26	0	0	0	1874920	0	2773936	575709	0	0	0	0	2810602	0	794771	1845259	0	1306063	0	1230582	0	0	0	679795	0	3904872	0	1701462	0	0	0	0	0	0	0	1397291	2478083	0
2026-02-02	0	3110154	0	0	2814162	2773936	0	0	2362448	0	0	0	2146810	0	0	0	0	10240	0	2902762	0	0	0	3539999	0	0	0	0	0	0	0	0	0	3131011	0	0	3390053
2026-02-16	1494128	6629908	5948800	8318880	6037924	5957472	1893236	3742208	0	1719918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	1494128	6629908	8928000	10193800	0	0	0	0	2779296	0	0	2810602	2552820	1179942	0	0	1690526	0	0	0	0	2736166	1052390	3905598	4225744	1181430	0	0	0	0	0	0	0	6994444	0	2805766	3708106
2026-03-02	879728	3455508	0	2213840	3170724	3192672	946618	0	0	1003118	750246	0	0	0	2256918	994880	0	1282038	1641964	0	2456272	0	0	0	0	0	0	0	0	1427092	2410294	968758	0	0	3541164	0	3708106
2026-03-09	0	0	0	1874920	0	0	0	2001408	0	0	0	3163604	0	0	0	0	0	0	0	3245524	0	0	0	0	0	0	4143448	3612630	696474	0	0	0	2963886	0	0	0	0
2026-03-16	1084528	0	5129600	2308048	0	0	0	3332608	0	0	0	0	0	0	1845259	0	0	1794038	0	0	4197072	4784166	0	0	0	1591030	0	6582230	696474	0	4048694	1173558	5216686	0	0	2478083	0
2026-03-23	0	3314954	0	7909280	2814162	0	0	1666304	0	0	0	0	0	794771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	3749840	0	2773936	0	0	2362448	0	0	0	0	0	0	0	1306063	0	1230582	0	0	0	0	0	0	0	0	0	0	0	2024347	0	0	0	1397291	0	0
2026-04-06	0	0	0	7499680	0	0	0	0	2362448	0	0	0	4293620	0	0	0	3918189	0	0	0	0	0	0	0	0	0	1701462	0	0	0	2024347	586779	0	0	4191873	0	0
2026-04-13	0	0	2564800	1874920	0	0	0	0	4724896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3904872	0	0	0	0	0	2024347	0	2608343	0	0	0	0
2026-04-20	1626792	0	5129600	0	0	5547872	0	3332608	0	0	0	0	2146810	0	0	0	0	1794038	0	0	2098536	9568332	0	0	7809744	1591030	0	0	696474	0	4048694	1173558	10433372	0	0	0	0
2026-04-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4784166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-11	0	3110154	0	2868920	0	0	0	0	0	0	0	3163604	2146810	0	1845259	0	0	0	0	0	0	0	0	0	0	0	0	3612630	696474	0	0	0	0	1348831	0	0	3390053
2026-05-18	1964256	0	5129600	0	0	0	0	3332608	0	1658277	750246	0	0	0	0	0	0	2691057	0	3245524	4554808	7176249	0	3905598	975952	3493048	2071724	3291115	1741185	0	4048694	2729095	7865009	0	0	2805766	3708106
2026-05-25	1494128	2112808	0	2178316	1981792	3055608	0	3102992	1981792	3030236	1364646	2810602	3707334	3325952	1132247	994880	2472134	1040099	3719886	0	3029920	2915447	1027675	3539999	2047300	0	0	0	1310874	0	3778161	1937516	0	0	3412653	0	0
2026-06-01	0	1262466	1069480	0	3891312	0	946618	0	1137436	0	0	0	0	1589542	0	0	1432591	0	0	0	0	0	0	0	0	0	1701462	0	1310874	1272258	0	586779	0	0	2794582	0	3390053
2026-06-08	2506520	1121912	1064680	3365736	3739550	0	0	0	2471396	0	0	0	0	2384313	2198986	0	0	2453153	4462372	2388732	0	0	0	0	2082920	0	2443732	2280730	0	2020452	0	1937516	4442567	2566646	2318774	2096542	0
2026-06-15	0	2328408	0	0	2547348	0	1893236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5216686	0	0	0	2011774
2026-06-22	2301720	3110154	3678436	3749840	2814162	0	1893236	3356036	0	2006236	0	0	0	0	0	0	0	1794038	0	2519748	0	3013368	0	2303390	0	1591030	0	0	696474	2282484	2554812	3111074	5100122	2304614	0	0	0
2026-06-29	0	2328408	2564800	2119016	0	0	0	2307908	2209364	0	0	0	0	2359884	2461018	0	0	897019	2656988	0	0	2392083	0	0	0	795515	2116192	0	348237	0	4171909	586779	2608343	0	0	2555098	0
2026-07-06	3386250	9330464	13108762	7499682	2814162	5249108	575709	1666304	3476084	655159	375123	5154306	4531022	794771	1845259	599840	3581673	4836763	1230582	2519748	0	4749662	0	0	3904872	1591030	0	0	696474	0	2096256	1173558	2685828	2435630	0	0	2011774
2026-07-13	0	0	0	0	2350824	0	0	0	0	1310318	4501476	0	2146810	0	0	1989760	0	0	0	3059034	2418680	0	2104780	2303390	2541476	2287933	0	2215222	1392948	2347992	0	1937516	4501048	0	2187758	0	0
2026-07-20	0	0	0	0	0	0	0	0	0	2006236	0	0	0	0	0	0	0	0	0	1063350	0	0	0	0	0	0	0	0	0	0	4819188	0	0	0	0	0	0
2026-07-27	0	5788266	0	0	0	0	0	0	0	0	2250738	0	0	0	0	0	0	0	0	3517590	0	0	0	0	0	0	0	0	0	0	6187755	0	0	0	8026073	0	0
2026-08-03	747064	0	0	0	0	0	0	0	0	0	1500492	0	0	0	0	0	0	0	1640182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
