asset_path	bytes_sent	number_of_requests	number_of_downloads
sub-2020-02-15-0043/sub-2020-02-15-0043_ses-20200215T215017_slice-2020-02-15-0043-abf_cell-2020-02-15-0043-abf_icephys.nwb	18292413	60	<50
sub-2020-02-15-0028/sub-2020-02-15-0028_ses-20200215T194952_slice-2020-02-15-0028-abf_cell-2020-02-15-0028-abf_icephys.nwb	37288565	60	<50
sub-2020-02-15-0049/sub-2020-02-15-0049_ses-20200215T221924_slice-2020-02-15-0049-abf_cell-2020-02-15-0049-abf_icephys.nwb	100590160	80	<50
sub-2020-02-15-0005/sub-2020-02-15-0005_ses-20200215T162505_slice-2020-02-15-0005-abf_cell-2020-02-15-0005-abf_icephys.nwb	101015218	80	<50
sub-2020-02-15-0047/sub-2020-02-15-0047_ses-20200215T221613_slice-2020-02-15-0047-abf_cell-2020-02-15-0047-abf_icephys.nwb	27615585	80	<50
sub-2020-02-15-0040/sub-2020-02-15-0040_ses-20200215T213715_slice-2020-02-15-0040-abf_cell-2020-02-15-0040-abf_icephys.nwb	27654884	40	<50
sub-2020-02-15-0033/sub-2020-02-15-0033_ses-20200215T203651_slice-2020-02-15-0033-abf_cell-2020-02-15-0033-abf_icephys.nwb	83537753	60	<50
sub-2020-02-15-0046/sub-2020-02-15-0046_ses-20200215T215531_slice-2020-02-15-0046-abf_cell-2020-02-15-0046-abf_icephys.nwb	73366608	80	<50
sub-2020-02-15-0012/sub-2020-02-15-0012_ses-20200215T174110_slice-2020-02-15-0012-abf_cell-2020-02-15-0012-abf_icephys.nwb	58545624	80	<50
sub-2020-02-15-0000/sub-2020-02-15-0000_ses-20200215T161436_slice-2020-02-15-0000-abf_cell-2020-02-15-0000-abf_icephys.nwb	29212530	100	<50
sub-2020-02-15-0032/sub-2020-02-15-0032_ses-20200215T203317_slice-2020-02-15-0032-abf_cell-2020-02-15-0032-abf_icephys.nwb	53121064	<50	<50
sub-2020-02-15-0042/sub-2020-02-15-0042_ses-20200215T214345_slice-2020-02-15-0042-abf_cell-2020-02-15-0042-abf_icephys.nwb	68388291	60	<50
