region	bytes_sent
US/California	1212401571
GitHub	11284753642
AWS/us-east-2	275841444
IN/Maharashtra	578269720
AWS/us-east-1	3785736277
AWS/ap-southeast-1	181127032
US/Maryland	11470904
MX/Nuevo León	231099211
GCP/asia-east1	231099211
DE/Baden-Wurttemberg	340166672
CA/Quebec	492740891
CA/Ontario	714570317
VPN	473957896
US/Washington	927926466
US/New Jersey	240240211
US/Massachusetts	463356038
GCP/us-central1	347036671
AT/Tyrol	456108963
GCP/europe-west4	462198422
NL/Flevoland	319392171
US/New York	76501775
AU/South Australia	926453455
US/New Mexico	462198422
FR/Grand Est	231099211
US/Rhode Island	6451246
US/Virginia	281918429
GCP/us-west4	231099211
CH/Vaud	925359993
GCP/us-west1	231099211
IR/Tehran	217990610
IN/Tamil Nadu	232272037
NL/North Holland	231099211
CN/Shanghai	25926191
NZ/Canterbury	2595091
GB/England	64388616
HK/Hong Kong	32069960
NO/Oslo	97192562
US/South Carolina	2858745
IT/Veneto	1439099
US/Pennsylvania	1431588
VN/Ho Chi Minh	7587784
PT/Lisbon	13666990
US/Wisconsin	14040700
US/Indiana	2786232
DE/Lower Saxony	1131912
IN/Uttar Pradesh	2389859
GB/Northern Ireland	3136728
US/Georgia	1157616
NZ/Auckland	4816476
NZ/Waikato Region	1109087
