week_start	sub-Jaq/sub-Jaq_ses-jaq-01_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-02_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-03_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-04_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-01_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-02_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-04_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-05_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-06_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-01_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-02_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-03_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-04_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-05_behavior+ecephys.nwb	sub-Peanut/sub-Peanut_ses-Peanut-01_behavior+ecephys.nwb	sub-Peanut/sub-Peanut_ses-Peanut-02_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-01_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-02_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-03_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-04_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-05_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-06_behavior+ecephys.nwb
2024-03-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195847152
2024-03-11	22208795	26793822	28314962	36562653	26813890	29591458	31749679	37293717	39783112	27537322	26343234	36017683	27353163	27788085	22139520	35214728	29567934	28048346	35418854	42789632	27663248	30238312
2024-03-18	178460336	47798260	63708344	40178428	44472116	53617148	53205424	47040608	49540576	50772164	48616132	67923048	40514908	54337268	47120372	55005428	49461460	49996696	65635480	47581588	48458444	41006032
2024-03-25	36216828	30165876	44571366	30625131	33370464	37576164	36514029	35476980	36636453	39274644	35037300	49206324	27487452	42865584	39352644	38191572	34688676	37530276	50569524	35440536	39078792	28592760
2024-04-01	10019692	10819552	14878958	11059981	14049512	12700076	13153963	11563628	11950119	12414632	11875624	16096404	9162484	12847352	12222272	12359312	12676528	13449040	16376116	12927148	13899704	9465412
2024-04-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21486624	0
2024-04-15	71024564	68270440	73656558	24982593	62640268	70036500	39033947	70734276	71223167	71126724	69932636	75201544	68144884	65401692	71065380	71071404	71650652	71113004	0	0	0	0
2024-04-22	0	0	0	0	0	0	0	0	0	0	10481280	0	0	9629676	0	0	0	0	75415748	73473464	71301636	47176116
2024-06-10	0	0	0	0	0	0	0	0	0	0	0	0	0	23517372	0	0	0	0	9826200	0	0	0
2024-06-17	0	0	0	0	52799448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	10863468	15091820	14862574	5691834890	15033700	13888084	10860679	9579000	12633955	13946452	14496812	18496660	11791864	15116368	13115368	13415940	13934028	14878656	19394560	13144516	12012876	13176164
2024-07-15	223533804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-29	12512028	10415772	12118980	11136360	12118980	10546788	10088232	11791440	11987964	9564168	12184488	12512028	14018712	8057484	10677804	11201868	10022724	12184488	10022724	14215236	9957216	10088232
2024-08-12	18145716	0	0	259058	0	0	76944950051	0	0	0	0	0	11791440	0	0	0	0	0	0	0	0	0
2024-08-19	26399724	0	0	77843166709	0	0	0	0	0	30592236	0	0	11267376	25155072	0	0	0	0	0	0	0	0
2024-08-26	24106944	15328872	22927800	70240894719	21945180	22141704	13298124	16245984	23713896	9105612	21290100	21552132	107822771900	19848924	22993308	16704540	12708552	25941168	20110956	16508016	21879672	69269268
