region	bytes_sent
US/California	2879693539533
AWS/us-east-1	2802295294477
CN/Shanghai	772107828653
NZ/Otago	449385761424
VPN	185693845017
TW/Taiwan	132862887168
US/Virginia	80616969236
AWS/us-east-2	54678024986
ES/Madrid	30133453472
DE/Berlin	8029779668
US/New York	6984829754
GitHub	5453563456
CA/Quebec	1737656829
US/Maryland	1057393258
US/Ohio	953673824
US/Rhode Island	315102184
BR/Rio Grande do Norte	300927424
US/Massachusetts	223533804
US/North Carolina	132027292
US/Connecticut	121349488
DE/Bavaria	45331536
AWS/ap-southeast-1	37798116
DE/Baden-Wurttemberg	29413092
IL/Southern District	23582880
IN/Maharashtra	17687160
