date	bytes_sent	number_of_requests	number_of_downloads
2025-10-22	89985017749	10960	<50
2025-10-23	173902942431	8680	700
2025-10-24	8767135829	4240	180
2025-10-25	621971727	700	<50
2025-10-26	2403687912	5720	340
2025-10-27	63955596	<50	<50
2025-10-28	727555350	780	<50
2025-10-29	2388293532	5720	340
2025-10-30	46108874002	108640	6360
2025-10-31	37664642649	88160	5120
2025-11-01	725182269	760	<50
2025-11-04	3028080384	6300	340
2025-11-07	499139203	580	<50
2025-11-10	2991789772	6460	340
2025-11-11	4817086036	11460	680
2025-11-12	4794667272	11440	680
2025-11-13	5404062195	12180	680
2025-11-14	2369165196	5720	340
2025-11-15	2373881772	5720	340
2025-11-16	2992874672	6480	340
2025-11-17	2408011440	5720	340
2025-11-18	2401460640	5720	340
2025-11-19	3049879251	6440	340
2025-11-20	2402770800	5720	340
2025-11-21	2388621072	5720	340
2025-11-22	3106910307	6540	340
2025-11-23	2423012772	5720	340
2025-11-24	2408732028	5720	340
2025-11-25	5076971102	15240	360
2025-11-26	2393403156	5720	340
2025-11-27	2378991396	5720	340
2025-11-28	2832539216	5720	340
2025-11-29	2402508768	5720	340
2025-11-30	2410435236	5720	340
2025-12-01	2415413844	5720	340
2025-12-02	2413252080	5720	340
2025-12-03	2407749408	5720	340
2025-12-04	2414234700	5720	340
2025-12-05	2415806892	5720	340
2025-12-06	2397530160	5720	340
2025-12-07	2397464652	5720	340
2025-12-08	2403622404	5720	340
2025-12-09	4786446694	11440	680
2025-12-10	4818905232	11440	680
2025-12-12	323503167	60	<50
2025-12-13	1176467771	220	<50
2025-12-14	2487625785	480	<50
2025-12-15	1121799578	220	<50
2025-12-16	8581507817	12020	1000
2025-12-17	7502181668	11960	680
2025-12-18	140839134080	23440	1680
2025-12-19	3577529014	540	340
2025-12-20	1131088372	220	<50
2025-12-21	2435464924	460	<50
2025-12-22	1865038154	360	<50
2025-12-23	743573487	140	<50
2025-12-24	414449376	80	<50
2025-12-25	676053804	120	<50
2025-12-26	2161709049	420	<50
2025-12-27	1796419712	340	<50
2025-12-28	860662967	160	<50
2025-12-29	2719601039	520	<50
2025-12-30	2087942349	400	<50
2025-12-31	848855495	160	<50
2026-01-01	1022995311	200	<50
2026-01-02	2441180346	460	<50
2026-01-03	1592331515	300	<50
2026-01-04	2043316834	400	<50
2026-01-05	6740439714	11800	680
2026-01-06	8352877488	12120	680
2026-01-07	3032991533	5840	340
2026-01-08	8065752549	17320	1000
2026-01-09	3196607251	560	<50
2026-01-10	1155257867	220	<50
2026-01-11	1502563064	280	<50
2026-01-16	33033001245	460	<50
2026-01-17	44781582256	240	<50
2026-01-18	44144810430	240	<50
2026-01-19	15167517269	80	<50
2026-01-21	229439360	<50	<50
2026-01-22	1671260699	320	<50
2026-01-23	13875584234	13180	680
2026-01-24	9627511937	12360	680
2026-01-25	2426157156	5720	340
2026-01-26	6023596664	6420	340
2026-01-27	8205427562	6820	340
2026-01-28	9618161703	12360	680
2026-01-29	9468352686	7080	340
2026-01-30	11673916006	12740	680
