week_start	sub-001-F/sub-001-F_ses-08-05-2022-cell09-F_image.nwb	sub-001-R/sub-001-R_ses-08-05-2022-cell09-R_image.nwb	sub-002-F/sub-002-F_ses-08-05-2022-cell12-F_image.nwb	sub-002-R/sub-002-R_ses-08-05-2022-cell12-R_image.nwb	sub-003-F/sub-003-F_ses-08-05-2022-cell19-F_image.nwb	sub-003-R/sub-003-R_ses-08-05-2022-cell19-R_image.nwb	sub-004-F/sub-004-F_ses-08-05-2022-cell23-F_image.nwb	sub-004-R/sub-004-R_ses-08-05-2022-cell23-R_image.nwb	sub-005-F/sub-005-F_ses-08-05-2022-cell08-F_image.nwb	sub-005-R/sub-005-R_ses-08-05-2022-cell08-R_image.nwb	sub-006-F/sub-006-F_ses-08-05-2022-cell13-F_image.nwb	sub-006-R/sub-006-R_ses-08-05-2022-cell13-R_image.nwb	sub-007-F/sub-007-F_ses-08-05-2022-cell16-F_image.nwb	sub-007-R/sub-007-R_ses-08-05-2022-cell16-R_image.nwb	sub-008-F/sub-008-F_ses-08-05-2022-cell22-F_image.nwb	sub-008-R/sub-008-R_ses-08-05-2022-cell22-R_image.nwb	sub-009-F/sub-009-F_ses-08-05-2022-cell24-F_image.nwb	sub-009-R/sub-009-R_ses-08-05-2022-cell24-R_image.nwb
2024-05-27	0	0	22974974	23372114	0	30786950	0	0	0	51657220	42581999	0	0	0	0	28099200	0	0
2024-06-03	0	0	0	127068257	13138632	0	18342240	84040950	0	0	12184488	0	0	0	0	0	12281787	0
2024-06-10	954002268	31181808	0	0	11660424	28758012	0	0	0	0	0	0	0	11745204	0	0	0	0
2024-06-24	0	0	0	0	0	0	0	0	7795452	0	0	0	0	0	0	0	0	0
2024-07-08	17382568	23112333	17417198	6812832	26303693	25681946	0	17167067	14111850	24967794	22446571	16182817	0	17544154	6747324	9856938	22841275	23297493
2024-07-22	9957216	12643044	10022724	0	9957216	11725932	0	14149728	0	9695184	191853575	11463900	0	8974596	10481280	0	0	12053472
2024-07-29	0	0	176475786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	0	0	0	0	0	0	176417694	0	0	0	0	0	0	0	0	0	0	0
2024-08-12	0	0	0	9957216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-19	0	0	0	0	0	0	7860960	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	6616308	23124324	13298124	11463900	12249996	9957216	25482612	14542776	0	10415772	12446520	0	11856948	0	0	12184488	14149728	0
2024-09-02	96074532	0	0	0	164154309	0	0	0	0	0	0	0	578300147	0	0	0	0	0
2024-09-09	19298640	0	26110878	0	0	0	50588574	0	0	0	0	26733111	0	0	0	83886080	20166489	116616241
2024-09-16	7205880	22457253	0	23070749	0	0	0	17167067	14111850	24050682	6354276	12841909	6747324	6878340	7009356	16604262	6354276	0
2024-09-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7795452
2024-10-07	0	0	0	0	0	0	0	0	0	0	0	0	0	96521956	0	101304040	0	0
2024-10-21	6616308	7402404	0	0	0	14084220	6354276	10022724	0	0	7664436	7598928	0	0	0	0	0	0
2024-11-11	0	0	0	0	0	4061496	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	0	0	0	7664436	7860960	10022724	6616308	7860960	10808820	16180476	8319516	8385024	8122992	0	0	9957216	8319516	8254008
2024-12-02	0	0	0	0	100663296	0	0	0	0	0	0	0	109051904	0	0	0	0	0
2025-03-10	0	0	0	0	0	204800	0	0	0	0	0	0	4782084	0	0	0	0	0
2025-05-05	182664360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	182664360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	52428800	0	0	17690586	0	0	0	0	0	19396797	0	0	0	0	0	0
2025-08-04	0	0	0	71242425	0	0	123988894	52428800	157286400	0	0	0	0	0	0	157286400	122065523	104857600
2025-08-11	182664360	78231609	0	0	174549373	0	0	0	0	175834802	123899379	0	0	68400090	157286400	0	0	0
2025-08-25	0	0	0	18813625	0	0	0	0	0	0	71470579	52428800	0	173257690	0	0	0	0
2025-09-01	0	104857600	0	0	0	0	0	0	0	0	0	0	0	0	18702623	0	0	0
2025-09-22	0	0	4577190	9706083	0	0	0	0	0	0	15287226	9945698	0	0	10064734	0	0	0
2025-09-29	0	0	0	0	0	0	0	0	0	0	0	9165361	0	0	0	0	0	0
2025-10-06	4519364	10051846	4389036	9156550	9463062	9368072	9562260	9287634	5210636	4550606	8254008	31631335	588353	1222580	4704827	5048404	414323	5098066
2025-10-13	13755304	4942222	14059110	5095054	5842323	18932668	5042208	9706185	8647056	847204	9468945	10868569	14865440	14345898	12381012	13302412	16440825	9677847
2025-10-20	0	4534613	5035746	4258020	4960809	4782298	392094	4389036	0	4258020	4127004	452797	588353	4127004	577823	0	4127004	4127004
2025-10-27	23120884	22949658	27659664	23932218	26721576	11202938	17226696	19073829	30749254	10013924	22844508	18980043	23184956	23669752	10446033	22936376	17729710	27162704
2025-11-03	29209688	41466597	38631528	39624998	41997051	56468538	33137508	47027742	38348182	42920694	23392434	38478391	48005174	52165024	28682532	29325550	37924083	37304886
2025-11-10	33402888	33212589	32253594	42612897	42813057	21684860	31173222	18509760	43362294	19185044	40436445	28848715	27635843	21791384	25334861	33063794	41091425	34274181
2025-11-17	31375580	22920536	26579508	14644652	27835212	16116038	18272916	9680682	23653888	18171870	14131944	26709987	18600615	15131994	19474388	22115382	15086432	27293720
2025-11-24	17423064	10488577	18775686	29595046	18812907	15460958	18991596	26225202	9977718	9590322	10737459	22899005	12242682	19193490	14048973	22346804	13972796	18712172
2025-12-01	23120196	10015460	14395020	22414635	24327690	5306576	14734530	14724798	23064316	24390730	14852532	13483130	32943210	10764676	13995214	10524754	23034175	23101208
2025-12-08	22663704	21974302	17473896	14972192	14733612	5306576	18077346	21996186	19017822	13817788	22558614	31617328	114317678	23844558	5925981	14682368	21943497	5294590
2025-12-15	573147464	386391301	34865544	371233738	216582022	372817120	205957032	382433760	553823468	211951464	209784983	393946800	32552600	209767010	25828664	384154008	384338325	208265330
2025-12-22	0	0	0	0	78643200	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	4127004	4534613	450186	4585560	4454544	4192512	4519098	105341659	5094622	4127004	4192512	4579801	4715357	4258020	577823	4947998	137794163	452777
2026-01-05	94116364	28030160	18177744	18575132	23184144	24697800	10673988	31847889	116140998	129643618	19307076	21642835	18405310	14826172	23928932	27818866	22205529	32004517
2026-01-12	0	0	0	0	174549373	0	0	0	0	0	176328179	0	173644353	173257690	0	0	0	0
2026-01-19	9431088	14062395	14910714	5841111	9087813	137097352	14343390	12996087	14235738	8677610	13649526	201759964	14801151	17730596	14715802	5048404	4955650	100053699
2026-01-26	14737236	21646762	96228564	100630857	22368138	6617164	121038740	19805418	18312236	22822938	89598511	88571330	10607420	18713216	113399421	144463042	14017029	21922064
2026-02-02	5042740	94136690	12700182	13520117	17913594	6486148	5303286	4611063	8894086	14306898	9534453	9814682	9430714	110272788	5163383	17197994	13623981	10791483
2026-02-09	18733912	13327246	9350904	13454609	8825781	9630104	4911192	5160630	4701574	14472868	8778072	9820441	19124679	5349584	16234235	4620458	13209658	5229082
2026-02-16	5042740	4127004	9048286	4929652	4829793	999386	6894892	12432018	4701574	4585560	4998815	8982872	4528328	8450532	15706698	10909226	9082654	5032558
2026-02-23	8580860	9054665	5092884	9771591	13036092	9433580	5043162	14619285	9468656	12774060	8855511	4651068	13885258	13036092	5479174	5541858	14323294	14340473
2026-03-02	2750648	0	0	0	4127004	0	392094	0	4701574	4127004	0	4127004	4127004	0	0	0	414323	6938069
2026-03-09	0	0	0	484025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	5895720	9120173	450186	9262097	19765617	43300788	1504776	13611162	5356654	1209698	1214937	2543294	6156533	14673792	9933718	6489580	12096022	905554
2026-03-23	204800	1193705	1039758	1048128	571773	589572	5960274	0	2262776	0	4716576	5889961	588353	611290	577823	4192512	414323	1500905
2026-03-30	0	720588	0	55878324	0	0	0	0	5633688	0	655080	0	0	0	475423	0	414323	0
