week_start	sub-M322/sub-M322_ecephys.nwb
2023-05-29	7962481004
2023-06-05	118352000
2023-06-12	99090320
2023-06-19	15945954099
2023-06-26	44902890294
2023-07-03	2989050992
2023-07-10	78025408
2023-07-17	71593712
2023-07-24	87507176
2023-07-31	119684456
2023-08-07	85170488
2023-08-14	63744752
2023-08-21	56518440
2023-08-28	135238768
2023-09-04	72454920
2023-09-11	19169184
2023-09-18	55605328
2023-09-25	87264432
2023-10-23	34888144
2023-10-30	25655464
2023-11-06	26287232
2023-11-13	89723938124
2023-11-20	90874698404
2023-11-27	51493340
2023-12-04	10558792
2023-12-11	7153794584
2024-01-22	1205102972
2024-03-04	17127380572
2024-03-11	1051927076
2024-03-18	1802297132
2024-03-25	1232708892
2024-04-01	413894496
2024-04-15	411405192
2024-07-01	24237960
2024-07-08	23919813192
2024-07-29	9695184
2024-08-26	7134950768
2024-09-09	86551557828
2024-09-16	7637017368
2024-09-23	14234791488
2024-09-30	14280744
2024-10-14	107985856
2024-10-21	7114774304
2024-11-11	4127004
2024-11-18	8516040
2025-02-10	13101600
2025-03-17	308482260
2025-08-11	409534076
2025-09-01	7837819748
2025-09-22	1633943792
2025-09-29	408485948
2025-10-06	2616417308
2025-10-13	1223492604
2025-10-20	408485948
2025-10-27	408682472
2025-11-03	5721620116
2025-11-10	4806158076
2025-11-17	2860908320
2025-11-24	2859729176
2025-12-01	2860122224
2025-12-08	2451701784
2025-12-15	11069931004
2026-01-05	4086038624
2026-01-19	1634729888
2026-01-26	10237433712
2026-02-02	1633943792
2026-02-09	1635647000
2026-02-16	832080116
2026-02-23	1645412180
2026-03-02	408485948
2026-03-16	2448295368
2026-03-23	820591388
2026-04-20	1627065452
2026-04-27	406755528
2026-05-18	411417956
2026-05-25	3595364
2026-06-01	202382776
