	date	bytes_sent
0	2023-05-14	195004
1	2023-05-30	30840
2	2023-06-02	30840
3	2023-06-20	390008
4	2023-06-23	4712
5	2023-06-24	43144
6	2023-06-27	43144
7	2023-07-01	43144
8	2023-07-13	43080
9	2023-07-15	43080
10	2023-07-28	43144
11	2023-07-30	195004
12	2023-07-31	30840
13	2023-08-01	4712
14	2023-08-02	30840
15	2023-08-19	30840
16	2023-08-29	30840
17	2023-08-31	195004
18	2023-09-03	43144
19	2023-09-06	43080
20	2023-09-18	43144
21	2023-09-24	4712
22	2023-09-26	43144
23	2023-10-01	4712
24	2023-10-23	195004
25	2023-10-29	4712
26	2023-12-04	43080
27	2023-12-05	43080
28	2023-12-08	43080
29	2024-01-22	195004
30	2024-01-26	585012
31	2024-03-12	195004
32	2024-03-18	195004
33	2024-03-20	195004
34	2024-03-21	390008
35	2024-03-25	585012
36	2024-03-27	780016
37	2024-03-28	585012
38	2024-04-04	195004
39	2024-04-19	585012
40	2024-07-09	585012
41	2024-07-13	585012
42	2024-07-31	585012
43	2024-08-30	195004
44	2024-09-20	390008
45	2024-09-21	975020
