date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-04-16	6769761361	1029	381	174
2026-04-17	6769761361	555	0	555
2026-04-19	1033519716	366	366	0
2026-04-21	2629004266	379	376	1
2026-04-28	266039	1	1	0
2026-05-15	25199408	4	0	4
2026-05-16	41447953	4	0	4
2026-05-17	437973520	56	0	26
2026-05-18	8498415019	939	927	2
2026-05-19	1171175165	88	88	0
2026-05-22	405843108	72	24	12
2026-06-02	501	1	1	0
2026-06-03	753	1	1	0
2026-06-05	59350248	6	6	0
2026-06-06	509576218	64	64	0
2026-06-07	266826756	33	33	0
2026-06-08	217426399	38	38	0
2026-06-09	410589125	79	79	0
2026-06-10	635002136	112	112	0
2026-06-11	786703765	142	142	0
2026-06-12	877634353	179	179	0
2026-06-13	769882635	152	152	0
2026-06-14	876982440	165	165	0
2026-06-15	921478688	181	181	0
2026-06-16	809559185	150	150	0
2026-06-17	913093076	180	180	0
2026-06-18	519241104	107	107	0
2026-06-19	338311369	72	72	0
2026-06-20	575378221	98	95	3
2026-06-21	374718376	79	79	0
2026-06-22	529099282	77	70	7
2026-06-23	98215881	21	21	0
2026-06-24	274933556	46	45	1
2026-06-25	119600608	16	14	2
2026-06-26	629105592	360	360	0
2026-06-27	116168848	22	22	0
2026-06-28	16006120	3	3	0
2026-06-29	8351313354	663	663	0
2026-06-30	13702256	3	3	0
2026-07-01	13844356	3	3	0
2026-07-07	27840900	3	3	0
2026-07-09	503901093	340	340	0
2026-07-11	6299852	1	1	0
2026-07-27	7112651281	567	567	0
2026-07-30	28574160	1	1	0
