week_start	sub-I32/sub-I32_sample-brain_chunk-001_OCT.ome.zarr
2024-11-11	3168180
2024-11-18	139230646
2024-11-25	24
2025-03-10	1632626
2025-06-23	10449
2025-09-08	122036975
2025-09-15	2912289
2025-09-22	836120
2026-02-16	180085551
2026-02-23	6029912
