week_start	sub-Temp-pref-F28-B28-6dpf-01-unsorted-nac (2)/sub-Temp-pref-F28-B28-6dpf-01-unsorted-nac (2)_ses-20230913T112200_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-01-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-01-unsorted-nac_ses-20230615T150200_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-02-unsorted-nac (2)/sub-Temp-pref-F28-B28-6dpf-02-unsorted-nac (2)_ses-20230913T115300_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-02-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-02-unsorted-nac_ses-20230615T153500_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-03-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-03-unsorted-nac_ses-20230913T122500_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-04-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-04-unsorted-nac_ses-20230913T125700_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-05-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-05-unsorted-nac_ses-20230913T132900_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-06-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-06-unsorted-nac_ses-20230913T140100_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-07-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-07-unsorted-nac_ses-20230913T143300_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-08-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-08-unsorted-nac_ses-20230913T150400_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-09-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-09-unsorted-nac_ses-20230913T153700_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-10-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-10-unsorted-nac_ses-20230913T160800_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-11-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-11-unsorted-nac_ses-20230913T164000_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-12-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-12-unsorted-nac_ses-20230914T101700_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-13-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-13-unsorted-nac_ses-20230914T114500_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-14-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-14-unsorted-nac_ses-20230914T123300_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-15-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-15-unsorted-nac_ses-20230914T132400_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-16-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-16-unsorted-nac_ses-20230914T140100_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-17-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-17-unsorted-nac_ses-20230914T145100_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-18-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-18-unsorted-nac_ses-20230914T152300_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-19-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-19-unsorted-nac_ses-20230914T155700_behavior.nwb	sub-Temp-pref-F28-B28-6dpf-20-unsorted-nac/sub-Temp-pref-F28-B28-6dpf-20-unsorted-nac_ses-20230914T162900_behavior.nwb
2026-03-30	4434204	4434204	9412810	8983231	28371956	9545044	9627701	9478605	9625764	9410926	9495669	37619784	0	0	0	9504718	0	0	0	0	0	0
2026-04-06	0	6756300	18825621	6817320	0	19090088	9241116	18957210	19251528	0	18991338	0	0	0	0	9504718	0	0	6387380	0	0	0
2026-04-13	0	0	29417576	0	0	0	0	0	9625764	0	9495669	0	9481339	9369676	0	0	0	18306570	9444830	9505931	0	9354832
2026-04-20	9639137	9639137	28238430	17966462	0	0	5306148	18256677	0	18821852	0	18809892	18962678	37478704	42321296	0	27554376	9397481	9444830	38023724	28143627	9354832
2026-04-27	19278274	13700633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18369584	18794962	9444830	0	0	9354832
2026-05-11	9639137	5975465	5851538	8983231	0	0	0	3747993	0	5849654	9495669	0	0	0	5876800	2070198	5930720	0	5818050	5674351	0	0
2026-05-18	0	0	0	6725190	2133143	0	0	13736625	0	0	6176089	20570910	0	10022724	17917220	0	19731580	0	0	9826200	0	2190620
2026-05-25	7324690	11629205	2448624	2223484	11791147	0	8834317	2105678	4918452	2317608	8288897	2186592	5642183	5780488	2055576	1990068	0	4419861	2252100	2288992	4804913	2252100
2026-06-01	0	0	0	2448624	48358884	2782156	0	28435815	0	0	0	0	1637700	20770100	0	0	0	21254429	0	0	0	0
2026-06-08	2248312	28122554	25884632	2256588	21187114	2248312	0	0	0	0	0	5124484	35291491	30002460	9335672	0	0	2882352	0	24383518	0	0
2026-06-15	0	0	9412810	0	0	0	4787686	1375668	0	0	0	0	0	0	0	0	0	8319516	0	9505931	0	0
