region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	46609738	103	17	10
AWS/us-east-1	954848737623	113880	49	8
GitHub	2353565548	4511	122	91
USA/MA	227036337637	6055	0	32
AWS/ap-southeast-1	12331097	44	44	0
AWS/us-east-2	347135955	3	3	0
GCP/us-central1	343157348	4	4	0
ARG/B	56594117	2	2	0
USA/NH	4373344861	43	13	2
GBR/ENG	287223831	28	8	2
KOR/27	125881804629	20	20	0
JPN/26	279476	12	12	0
USA/TX	16289804103	847	40	7
ZAF/GP	71077	5	5	0
CAN/ON	3842	7	7	0
CAN/QC	644	1	1	0
USA/IN	644	1	1	0
HKG	211646012	12	6	1
BLR/HM	644	1	1	0
USA/MD	420401284	164	4	1
USA/NY	644	1	1	0
CHN	2576	4	4	0
USA/VT	2769725	2	1	1
DEU/BY	644	1	1	0
USA	2744404	12	3	1
USA/NC	644	1	1	0
GCP/us-east1	644	1	1	0
IND/MH	644	1	1	0
MEX/CMX	840336	4	1	1
FRA/IDF	2521008	12	3	3
ITA/25	344966988	56	3	1
USA/IL	12316204	12	2	2
GBR	21864510	19	5	1
ARG/C	359	1	1	0
