week_start	Neurophysiology	Miscellaneous
2025-06-30	0	2576
2025-08-04	0	644
2025-08-11	0	644
2025-08-18	0	644
2025-09-08	0	644
2025-09-22	0	1288
2025-09-29	0	1288
2025-10-06	0	644
2025-10-20	0	644
2025-10-27	0	644
2025-11-03	0	644
2025-11-24	0	644
2025-12-01	0	1288
2025-12-08	0	1288
2025-12-15	0	1932
2025-12-22	0	644
2026-01-12	0	2576
2026-02-02	0	1932
2026-03-16	0	1288
2026-04-20	0	1288
2026-05-18	0	1288
2026-06-22	431241690889	1976997
2026-06-29	740578133018	585481
2026-07-06	4879213661	996146
2026-07-13	491095863	279476
2026-07-20	354810933	0
