region	bytes_sent
GitHub	2410833396
US/California	983502816
US/Georgia	602083552
VPN	480904280
AWS/us-east-1	402037272
US/Maryland	246057528
IT/Lazio	240963992
US/New Mexico	240963992
US/New Hampshire	240963992
CH/Zurich	240963992
US/Massachusetts	240963992
US/Arizona	240963992
KR/Seoul	240963992
AWS/us-east-2	150278208
US/Connecticut	137603376
NL/North Holland	136260048
CA/Quebec	108833504
AWS/ap-southeast-1	96228386
CN/Shanghai	16220896
GCP/us-central1	12177312
GB/England	8342960
IN/Telangana	6315264
US/North Carolina	4110912
US/Rhode Island	3263568
PT/Lisbon	2734272
DE/North Rhine-Westphalia	2175712
HK/Hong Kong	1165272
IT/Lombardy	1087856
US/Texas	1087856
IL/Jerusalem	1087856
US/Wisconsin	1087856
US/Pennsylvania	1087856
IN/Maharashtra	918512
CA/British Columbia	831120
VN/Ho Chi Minh	735200
US/Ohio	441216
VN/Kiên Giang Province	363152
