week_start	Neurophysiology	Video
2025-05-05	1291896	83179793776
2025-05-12	2749204	0
2025-05-19	328232	0
2025-05-26	0	12839568
2025-06-02	0	36601695474
2025-06-09	1312928	0
2025-07-21	0	8108192890
2025-07-28	328232	15890275928
2025-08-04	328232	93869182316
2025-08-11	0	38001476920
2025-08-18	0	6922080736
2025-08-25	0	7217098306
2025-09-01	0	8033117504
2025-09-08	0	23041914582
2025-09-29	0	104303722
2025-12-15	984696	96143128482
2025-12-22	0	7292579450
2025-12-29	0	3441464928
2026-01-05	328232	3684868108
2026-01-12	984696	62045182620
2026-01-19	0	15494956532
2026-01-26	0	33989358464
2026-02-02	0	15255454526
2026-02-16	1599096	4091494450
2026-03-02	656464	196608
2026-03-09	0	1337867152
2026-03-16	0	1359613026
2026-03-23	635432	0
2026-04-06	2541728	0
2026-04-20	0	448169994
2026-05-11	328232	3183603092
2026-05-18	0	526954420
2026-05-25	1270864	0
