region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NY	6717860174	2231	56	10
VPN	8449810297	1385	54	14
USA/PA	4606492716	2499	42	9
USA/NH	1023862421	882	222	193
AWS/us-east-2	3956567143	4820	46	10
USA/MD	18044014	16	4	2
USA/VT	434929506	25	7	6
AWS/us-east-1	2802289845	337	4	2
GitHub	5074225195	1342	33	29
AWS/us-west-2	20482467	24	6	2
USA	2806678881	534	2	2
USA/ME	22027387	6	1	1
USA/MA	15070660124	2949	1	10
USA/TN	73540936	27	0	1
USA/WA	9185777	8	2	2
CHN	7787833121	12	0	2
USA/VA	3269977493	51	8	3
AWS/ap-southeast-1	66883668	12	12	0
USA/CA	59193503	19	5	4
EST/37	408092763	1	1	0
MEX/CMX	10992230	28	7	7
CHE/VD	2244118	8	2	1
USA/IL	7089521	8	2	2
FRA/IDF	5986497	12	3	3
