week_start	sub-031224-M4/sub-031224-M4_ses-03122024-m4-baseline_image.nwb	sub-F15/sub-F15_ses-F15BC-19102023_image.nwb
2025-03-17	1672251796	66889807
2025-03-24	4845191452	0
2025-03-31	11966744	11008613
2025-04-07	78602570	440998361
2025-05-05	823388384	388785930
2025-05-12	95028690	309021870
2025-05-19	3669430950	1678948004
2025-05-26	5967462	1934705454
2025-06-09	399282	336265489
2025-06-16	2377820082	408092763
2025-06-30	0	22027387
2025-07-14	149278040	845468743
2025-07-28	681574400	0
2025-08-11	0	4127004
2025-09-22	0	3930480
2025-10-06	4526286	27456275
2025-10-13	4192512	4528475
2025-10-20	4591794	4127004
2025-10-27	0	335963
2025-11-03	28748610	28104808
2025-11-10	32005308	30961891
2025-11-17	9380112	5134893
2025-11-24	14502204	8737833
2025-12-01	25573056	22511359
2025-12-08	5455866	8589971
2025-12-15	3681201728	635587867
2026-01-05	28539618	30634351
2026-01-12	2388305842	1611399532
2026-01-19	9052572	4462967
2026-01-26	5056584	8925934
2026-02-02	8784306	9376067
2026-02-09	4925568	4127004
2026-02-16	4127004	17499059
2026-02-23	12845802	16508016
2026-03-02	0	4724999
2026-03-16	5914422	9310559
2026-03-23	798564	0
2026-03-30	0	4258020
