week_start	sub-ICMS100/sub-ICMS100_ses-2023-10-26_behavior+ecephys+ophys.nwb	sub-ICMS100/sub-ICMS100_ses-2023-11-02_behavior+ecephys+ophys.nwb	sub-ICMS100/sub-ICMS100_ses-2023-11-03_behavior+ecephys.nwb	sub-ICMS100/sub-ICMS100_ses-2023-11-09_behavior+ecephys+ophys.nwb	sub-ICMS100/sub-ICMS100_ses-2023-11-16_behavior+ecephys.nwb	sub-ICMS100/sub-ICMS100_ses-2023-11-21_behavior+ecephys+ophys.nwb	sub-ICMS100/sub-ICMS100_ses-2023-12-05_behavior+ecephys.nwb	sub-ICMS101/sub-ICMS101_ses-2023-10-27_behavior+ecephys+ophys.nwb	sub-ICMS101/sub-ICMS101_ses-2023-11-01_behavior+ecephys+ophys.nwb	sub-ICMS101/sub-ICMS101_ses-2023-11-03_behavior+ecephys+ophys.nwb	sub-ICMS101/sub-ICMS101_ses-2023-11-16_behavior+ecephys+ophys.nwb	sub-ICMS101/sub-ICMS101_ses-2023-11-21_behavior+ecephys.nwb	sub-ICMS101/sub-ICMS101_ses-2023-11-22_behavior+ecephys+ophys.nwb	sub-ICMS101/sub-ICMS101_ses-2023-11-29_behavior+ecephys+ophys.nwb	sub-ICMS101/sub-ICMS101_ses-2023-12-01_behavior+ecephys.nwb	sub-ICMS101/sub-ICMS101_ses-2023-12-05_behavior+ecephys.nwb	sub-ICMS43/sub-ICMS43_ses-2022-01-11_ophys.nwb	sub-ICMS43/sub-ICMS43_ses-2022-01-21_ophys.nwb	sub-ICMS43/sub-ICMS43_ses-2022-01-27_ophys.nwb	sub-ICMS43/sub-ICMS43_ses-2022-02-05_ophys.nwb	sub-ICMS43/sub-ICMS43_ses-2022-02-12_ophys.nwb	sub-ICMS43/sub-ICMS43_ses-2022-02-19_ophys.nwb	sub-ICMS43/sub-ICMS43_ses-2022-02-25_ophys.nwb	sub-ICMS43/sub-ICMS43_ses-2022-03-03_ophys.nwb	sub-ICMS45/sub-ICMS45_ses-2022-02-05_ecephys.nwb	sub-ICMS45/sub-ICMS45_ses-2022-02-12_ecephys+ophys.nwb	sub-ICMS45/sub-ICMS45_ses-2022-02-21_ophys.nwb	sub-ICMS45/sub-ICMS45_ses-2022-02-26_ecephys+ophys.nwb	sub-ICMS45/sub-ICMS45_ses-2022-03-04_ecephys.nwb	sub-ICMS48/sub-ICMS48_ses-2022-04-08_ecephys+ophys.nwb	sub-ICMS48/sub-ICMS48_ses-2022-04-15_ecephys+ophys.nwb	sub-ICMS48/sub-ICMS48_ses-2022-04-21_ecephys.nwb	sub-ICMS54/sub-ICMS54_ses-2022-05-20_ecephys.nwb	sub-ICMS54/sub-ICMS54_ses-2022-05-25_ecephys+ophys.nwb	sub-ICMS54/sub-ICMS54_ses-2022-06-01_ecephys+ophys.nwb	sub-ICMS54/sub-ICMS54_ses-2022-06-07_ophys.nwb	sub-ICMS56/sub-ICMS56_ses-2022-06-14_ophys.nwb	sub-ICMS56/sub-ICMS56_ses-2022-06-21_ecephys.nwb	sub-ICMS56/sub-ICMS56_ses-2022-06-30_ecephys+ophys.nwb	sub-ICMS56/sub-ICMS56_ses-2022-07-06_ecephys.nwb	sub-ICMS56/sub-ICMS56_ses-2022-07-11_ecephys+ophys.nwb	sub-ICMS56/sub-ICMS56_ses-2022-07-15_ecephys+ophys.nwb	sub-ICMS56/sub-ICMS56_ses-2022-07-23_ophys.nwb	sub-ICMS57/sub-ICMS57_ses-2022-07-27_ophys.nwb	sub-ICMS57/sub-ICMS57_ses-2022-08-02_ophys.nwb	sub-ICMS57/sub-ICMS57_ses-2022-08-10_ophys.nwb	sub-ICMS83/sub-ICMS83_ses-2023-07-20_behavior+ecephys+ophys.nwb	sub-ICMS83/sub-ICMS83_ses-2023-07-24_behavior+ecephys+ophys.nwb	sub-ICMS83/sub-ICMS83_ses-2023-07-26_behavior+ecephys+ophys.nwb	sub-ICMS83/sub-ICMS83_ses-2023-07-28_behavior+ecephys+ophys.nwb	sub-ICMS83/sub-ICMS83_ses-2023-07-31_behavior+ecephys+ophys.nwb	sub-ICMS83/sub-ICMS83_ses-2023-08-02_behavior+ecephys+ophys.nwb	sub-ICMS83/sub-ICMS83_ses-2023-08-04_behavior+ecephys+ophys.nwb	sub-ICMS83/sub-ICMS83_ses-2023-08-07_behavior+ecephys+ophys.nwb	sub-ICMS83/sub-ICMS83_ses-2023-08-10_behavior+ecephys+ophys.nwb	sub-ICMS92/sub-ICMS92_ses-2023-08-30_behavior+ecephys+ophys.nwb	sub-ICMS92/sub-ICMS92_ses-2023-09-01_behavior+ecephys+ophys.nwb	sub-ICMS92/sub-ICMS92_ses-2023-09-06_behavior+ecephys+ophys.nwb	sub-ICMS92/sub-ICMS92_ses-2023-09-08_behavior+ecephys+ophys.nwb	sub-ICMS92/sub-ICMS92_ses-2023-09-12_behavior+ecephys.nwb	sub-ICMS92/sub-ICMS92_ses-2023-09-14_behavior+ecephys+ophys.nwb	sub-ICMS92/sub-ICMS92_ses-2023-09-19_behavior+ecephys+ophys.nwb	sub-ICMS92/sub-ICMS92_ses-2023-09-21_behavior+ecephys+ophys.nwb	sub-ICMS92/sub-ICMS92_ses-2023-09-25_behavior+ecephys+ophys.nwb	sub-ICMS92/sub-ICMS92_ses-2023-09-27_behavior+ecephys+ophys.nwb	sub-ICMS93/sub-ICMS93_ses-2023-08-30_behavior+ecephys+ophys.nwb	sub-ICMS93/sub-ICMS93_ses-2023-09-06_behavior+ecephys+ophys.nwb	sub-ICMS93/sub-ICMS93_ses-2023-09-12_behavior+ecephys+ophys.nwb	sub-ICMS93/sub-ICMS93_ses-2023-09-14_behavior+ecephys+ophys.nwb	sub-ICMS93/sub-ICMS93_ses-2023-09-20_behavior+ecephys+ophys.nwb	sub-ICMS93/sub-ICMS93_ses-2023-09-22_behavior+ecephys+ophys.nwb	sub-ICMS93/sub-ICMS93_ses-2023-09-26_behavior+ecephys+ophys.nwb	sub-ICMS93/sub-ICMS93_ses-2023-09-29_behavior+ecephys+ophys.nwb	sub-ICMS93/sub-ICMS93_ses-2023-10-04_behavior+ecephys+ophys.nwb	sub-ICMS93/sub-ICMS93_ses-2023-10-06_behavior+ecephys+ophys.nwb	sub-ICMS98/sub-ICMS98_ses-2023-10-20_behavior+ecephys+ophys.nwb	sub-ICMS98/sub-ICMS98_ses-2023-10-24_behavior+ecephys+ophys.nwb	sub-ICMS98/sub-ICMS98_ses-2023-10-26_behavior+ecephys+ophys.nwb	sub-ICMS98/sub-ICMS98_ses-2023-10-31_behavior+ecephys+ophys.nwb	sub-ICMS98/sub-ICMS98_ses-2023-11-02_behavior+ecephys+ophys.nwb	sub-ICMS98/sub-ICMS98_ses-2023-11-07_behavior+ecephys+ophys.nwb	sub-ICMS98/sub-ICMS98_ses-2023-11-14_behavior+ecephys+ophys.nwb	sub-ICMS98/sub-ICMS98_ses-2023-11-17_behavior+ecephys.nwb	sub-ICMS98/sub-ICMS98_ses-2023-11-20_behavior+ecephys.nwb	sub-ICMS98/sub-ICMS98_ses-2023-11-22_behavior+ecephys.nwb
2026-06-08	89839146	46195512	35653460	85867578	78177476	86913034	75416603	93861866	61257210	46635737	253418350	80145956	83640551	212750695	75325563	75330889	11594592	7923014	9514660	10391896	10765996	11887968	9754184	10357552	1766688	6124170	4995094	6929752	2441696	13990572	13018020	1665200	2884432	6089610	10463686	5006986	5272035	4828792	15059156	2507216	7264582	7352184	5306122	7419856	5429516	5785460	121828975	84394660	94276861	70820698	126244925	120686003	106357838	142722869	78567391	197483534	83415240	137752193	202453698	73610382	183582384	283986298	183927035	250662170	213215016	107875626	175891814	77754518	366377750	78874108	280872184	308686262	366994536	68064712	34357838	244964540	354719176	316707240	382916592	144777646	207505226	71789424	68461308	65696802	66953194
2026-06-15	75646110	69463752	63176764	73106806	139075596	76272486	61249437	77202806	49320698	69205970	474049892	66211924	144715050	194277729	132137434	60215943	4607848	9037856	7697984	4119568	4266104	4683804	3907016	6414360	899032	5262820	2386142	3009192	1081536	5341000	8086548	666080	681744	10082568	5432382	4780212	4651170	8354120	6578884	553872	3120802	6348992	2380638	6100888	2356224	5080760	103939513	66994672	155038958	107551076	222374960	101985677	89236066	236696042	121322618	372915924	67301648	129375873	184772394	60188658	359022564	559237890	166166873	233697266	200488653	104662873	343926510	74529039	726563998	68983440	552912484	314102747	362836714	65424296	95872323	279306624	678856888	624857904	386368516	140808603	407062654	138243376	66179664	63814343	129868146
2026-06-22	294012888	107208996	59814240	276308056	191031252	282637232	244997748	231608418	147962094	110621787	470367980	208789512	147531894	582833187	132137434	183792213	16509372	9453768	7697984	12358704	15746172	14051412	14472384	10044228	2061136	5262820	7158426	9027576	2163072	10682000	15312480	1332160	2045232	7772980	19113990	4780212	4651170	7106824	9275544	1661616	9362406	8903804	10570680	10500300	10800564	8159636	315290463	204980004	155038958	110433428	221438126	203971354	267708198	236696042	124532510	372915924	201904944	360968481	369544788	180565974	359022564	561596178	498500619	701091798	400977306	317198511	343926510	233740857	726563998	206950320	552912484	919978719	1088510142	198958716	66338678	696422592	681346192	641300412	1136674356	425046129	407062654	141846316	198538992	191443029	129868146
2026-06-29	76260470	34731876	29907120	69077014	63677084	70036982	61249437	77202806	49320698	69205970	235183990	132423848	72357525	194277729	66068717	120431886	4607848	3383970	3848992	4119568	8532208	4683804	3907016	3348076	1177792	2631410	2386142	3009192	1081536	5341000	5104160	666080	681744	2772854	5432382	2390106	2325585	2046728	4637772	553872	3120802	3174496	2380638	3128888	4712448	5080760	207879026	66994672	77519479	107551076	108753823	101985677	89236066	118348021	121322618	186457962	67301648	120322827	184772394	60188658	179511282	559237890	166166873	233697266	200488653	209325746	171963255	149058078	363281999	68983440	276456242	305960821	362836714	65424296	31957441	232140864	339428444	624857904	378891452	140808603	203531327	138243376	66179664	63814343	64934073
2026-07-06	290752526	122167286	110234244	279221732	0	2685828	7591910	0	0	3733956	0	6878340	2489304	8241158	4955934	9302136	2292780	3144384	2782084	0	5810476	0	2489304	0	588896	0	2322260	4166208	3244608	0	3375436	666080	0	5764960	2554812	2264680	0	2947860	0	2010688	3680904	2751336	2816844	2489304	5562652	2947860	8364834	2751336	5124658	2358288	9518382	0	5255800	0	2882352	0	6946688	9053046	8694764	0	9018664	5306148	9801662	14308624	9632422	11958166	0	11025266	0	6836948	0	11155294	8602420	3995988	3537432	0	2816844	2816844	7804604	2620320	0	12448908	0	0	0
2026-07-13	160727234	435149020	33335152	372441220	67683720	76469010	66752109	166191584	79570018	45738807	242008462	78518884	79197141	202154185	72920253	71590141	21419628	6992380	3848992	6754620	4266104	8029452	3907016	5955804	1472240	13944560	2386142	3009192	540768	13691576	5104160	4226160	3074856	2772854	10864764	2390106	5263871	6241884	12955736	553872	3120802	7065188	4626382	5642332	2356224	5367640	103939513	71836576	77519479	64289366	142535899	107767163	89236066	124262379	65767503	194558878	295155024	120322827	184772394	60188658	194068144	305066432	166166873	233697266	214133806	118099242	193841700	87978134	387208496	82457524	299329752	316419510	376890556	86370908	42758820	271966396	371091936	337872280	399879036	163775400	226805568	90044608	93077644	88990424	90577568
2026-07-20	149682444	106478476	59814240	140502416	127354168	142553368	122498874	234153330	101409448	140956716	776974856	138206812	153455800	585764623	132137434	120431886	6194312	7436874	5369948	5640524	5983536	6139204	8178536	5065508	588896	4348842	3972558	4661116	540768	6992924	6821640	333040	681744	4424778	13041810	4107538	6434110	2055176	6036296	553872	4838234	4900616	4032562	4977336	4073656	4126796	209814502	135990328	156712402	162934550	219377614	205841322	180276592	238434994	122930554	374842848	202774444	241518386	370417520	126745840	359764280	560110646	333206478	507743112	401915546	210067462	344799266	149927554	727436730	138836356	553654200	612663358	726415144	131587052	128830256	465154460	679860636	625796296	760428840	282359210	407869902	208234564	132359328	127628686	129868146
2026-07-27	378520125	211645697	180650044	289140239	238548612	258963674	276899101	260223096	257736358	298873839	658894751	215807388	257043736	456280890	216136936	183180804	35590504	24434894	27178048	31327968	28877500	36026628	27488728	30238804	5888960	26848388	16391368	20232068	7308416	28405208	28941680	8400640	9064704	19493948	34421228	16415152	17240766	15006176	27119796	7056064	32063000	28837876	16423852	22850332	19080084	20905096	424955765	243388336	260102574	217171554	332389498	300429690	317451743	333395098	267282953	474960011	238258429	343263103	429673542	223132505	476838048	627699681	436874682	405330963	339544072	377664455	292157774	181458431	470922724	169767815	378272183	408529623	464286957	169119935	242584192	521798732	382754960	354407700	706742708	178156339	248049575	111813704	107826796	105268739	121899165
2026-08-03	2043512	0	0	0	0	0	0	0	5587712	5712721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5708410	0	0	0	0	0	0	0	0	52066920	0	0	0	0	0	0	0	0	2051788	0	0	0	0	0	0	0	0	0	0	0	0	0	19648	16080	17616	16656	17632	0	0	0	0	0	0	0	0
2026-08-10	191792680	74968776	63484256	142610476	130928552	145578988	140479918	152353954	130129672	82240290	241213302	70930516	77600405	263262770	79237393	124841770	5132136	3884356	4552256	4831264	4790392	5173304	4406160	4074712	556592	3417842	2910430	4057768	1065056	6127432	5890592	1235424	1206032	3297142	6670460	2914394	2816162	2520592	10324120	1078160	5733042	4223072	2904926	3636336	2877440	3245752	234852306	139494368	166117170	126416148	252243369	216074430	207751736	252404692	136560451	204804016	146109568	248767042	193266642	135669922	186621882	297641037	174425789	268286986	219345341	218043915	376573158	166898082	745356258	154561088	578322644	620086879	1381678390	135042896	99970119	469524608	354811860	365472460	416132676	155171351	220696359	145911400	142296608	145815189	143342858
2026-08-17	3698826	0	0	0	12430668	0	0	0	0	3697825	0	0	0	17309691	0	58234824	0	0	0	0	0	0	0	0	294448	0	0	6018384	0	0	0	666080	0	0	0	12072088	0	0	0	0	10230408	0	0	3128888	0	0	0	0	0	0	3035643	0	0	0	0	0	0	0	0	0	0	0	0	6467178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	0	0
