region	bytes_sent
US/California	310178011295
NL/North Holland	122042555987
AWS/us-east-1	103381985828
US/Massachusetts	98363413870
GitHub	38251728396
AWS/us-east-2	20002447760
BR/Rio Grande do Sul	18221833760
CN/Shanghai	14502724088
VPN	11890274510
CA/Quebec	6162830896
US/Georgia	6152047088
HK/Hong Kong	3711118648
AWS/ap-southeast-1	1756256068
GB/England	1709740416
CA/British Columbia	1439454176
BR/Rio Grande do Norte	1355291208
US/New Jersey	1304624992
PT/Lisbon	555699896
DE/Saxony-Anhalt	501754400
US/Maryland	204056248
IN/Maharashtra	199466736
US/Florida	118361704
VN/Ho Chi Minh	71246632
VN/Kiên Giang Province	71246632
PT/Braga	36234744
US/Rhode Island	32053376
US/New York	29001068
SE/Stockholm	10783808
US/Indiana	208752
