region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	31216374928	1036	832	172
USA/MA	39808512936	2886	0	97
AWS/us-east-1	23328057684	2818	26	49
USA	6066890563	1113	49	14
USA/NY	3382603277	1175	53	50
GitHub	1865723616	6788	405	316
CHN	39659994332	3522	18	66
AWS/ap-southeast-1	453249852	83	83	0
MNG/1	9760692	1	1	0
OMN/MA	2685828	1	1	0
MEX/AGU	11660424	1	1	0
AWS/us-east-2	3434985571	9	9	0
USA/IL	265659768	52	46	2
MEX/CMX	56936676	231	47	47
EST/37	317035458	1	1	0
BRA/PR	6681817	2	1	1
UKR/30	1	1	0	1
CHE/VD	2383116	8	2	1
USA/MD	44628200	30	10	5
DEU/NW	8778072	1	1	0
USA/NV	2554812	1	1	0
USA/VA	790326023	905	7	2
IDN/YO	917112	1	1	0
VNM/SG	13953204	1	1	0
JOR	1244652	1	1	0
USA/NC	1	1	0	1
EGY/GZ	10088232	1	1	0
SGP	14084220	2	2	0
ISR/TA	14477268	1	1	0
VEN/K	4782084	1	1	0
BRA/MG	12184488	2	2	0
VEN/A	14411760	1	1	0
PAK/IS	9105612	1	1	0
IRQ/SU	7533420	1	1	0
BGD	4389037	3	2	1
MEX/OAX	8319516	1	1	0
IDN/JI	1048128	1	1	0
PAK/PB	10481281	4	3	1
TUR/16	5830212	1	1	0
GCP/us-central1	680259760	2	2	0
USA/CA	15370253	16	5	5
FRA/IDF	8119204	10	3	3
ECU/O	46117632	1	1	0
PER/ANC	8516040	1	1	0
CHL/RM	1	1	0	1
BRA/SP	15066842	3	1	2
DZA/40	3864972	1	1	0
USA/PA	43462492	20	3	1
AWS/us-west-2	16704014	26	6	2
FRA/HDF	1	1	0	1
USA/WA	8729116	6	2	2
BRA/RJ	23451864	2	2	0
KOR/11	758819753	1	1	0
XK	11987964	1	1	0
DZA/09	9105612	1	1	0
USA/TX	372163292	1	1	0
GBR/ENG	1	1	0	1
USA/KS	917112	1	1	0
KWT/KU	1048128	1	1	0
CAN/NS	8647056	1	1	0
MYS/10	1441176	1	1	0
BRA/DF	6747324	1	1	0
MAR/04	2685828	1	1	0
BGD/C	1113636	1	1	0
IND/TN	8057484	1	1	0
BRA/GO	1	1	0	1
NGA/LA	1113636	1	1	0
ETH/AA	1	1	0	1
