region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	42497182	118	92	12
AWS/us-east-1	23672190	55	55	0
USA/MD	13983346	63	22	16
CHN	14212121	33	33	0
GitHub	90008881	481	115	98
AWS/ap-southeast-1	11176220	26	26	0
GCP/us-east1	4736029	11	11	0
CAN/QC	1281970	3	3	0
USA	3009215	7	7	0
GCP/asia-east1	4305334	10	10	0
USA/MA	14197475	41	2	27
USA/CA	2333220	10	4	3
GCP/us-central1	10759024	25	25	0
USA/IL	4285690	13	9	2
USA/NJ	4305334	10	10	0
USA/NV	4305334	10	10	0
EST/37	426217	1	1	0
MEX/CMX	17146976	81	27	27
CHN/SH	852445	2	2	0
CHE/VD	1262034	6	2	1
AWS/us-east-2	1712676	4	3	1
FRA/IDF	9479752	49	13	13
BGD	860198	2	2	0
THA	852445	2	2	0
USA/VA	7287154	30	10	2
USA/NH	429536	1	1	0
NLD	2151376	5	5	0
USA/NY	2165460	11	3	1
USA/WA	1275975	6	2	2
AWS/us-west-2	4331875	22	6	2
IRQ/KA	432394	1	1	0
MEX/JAL	432394	1	1	0
PAK/PB	433981	1	1	0
HKG	867962	2	2	0
NPL	433981	1	1	0
