week_start	CHANGES	LICENSE	README	dataset_description.json	derivatives/labels/dataset_description.json	derivatives/labels/sub-rat1/micr/sub-rat1_sample-data1_SEM_seg-axon-manual.png	derivatives/labels/sub-rat1/micr/sub-rat1_sample-data1_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat1/micr/sub-rat1_sample-data1_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat2/micr/sub-rat2_sample-data5_SEM_seg-axon-manual.png	derivatives/labels/sub-rat2/micr/sub-rat2_sample-data5_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat2/micr/sub-rat2_sample-data5_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data10_SEM_seg-axon-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data10_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data10_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data11_SEM_seg-axon-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data11_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data11_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data9_SEM_seg-axon-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data9_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data9_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat4/micr/sub-rat4_sample-data12_SEM_seg-axon-manual.png	derivatives/labels/sub-rat4/micr/sub-rat4_sample-data12_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat4/micr/sub-rat4_sample-data12_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat5/micr/sub-rat5_sample-data14_SEM_seg-axon-manual.png	derivatives/labels/sub-rat5/micr/sub-rat5_sample-data14_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat5/micr/sub-rat5_sample-data14_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat6/micr/sub-rat6_sample-data15_SEM_seg-axon-manual.png	derivatives/labels/sub-rat6/micr/sub-rat6_sample-data15_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat6/micr/sub-rat6_sample-data15_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat7/micr/sub-rat7_sample-Maxo03img60_SEM_seg-axon-manual.png	derivatives/labels/sub-rat7/micr/sub-rat7_sample-Maxo03img60_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat7/micr/sub-rat7_sample-Maxo03img60_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat8/micr/sub-rat8_sample-V915_SEM_seg-axon-manual.png	derivatives/labels/sub-rat8/micr/sub-rat8_sample-V915_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat8/micr/sub-rat8_sample-V915_SEM_seg-myelin-manual.png	participants.json	participants.tsv	samples.tsv	sub-rat1/micr/sub-rat1_sample-data1_SEM.json	sub-rat1/micr/sub-rat1_sample-data1_SEM.png	sub-rat2/micr/sub-rat2_sample-data5_SEM.json	sub-rat2/micr/sub-rat2_sample-data5_SEM.png	sub-rat3/micr/sub-rat3_SEM.json	sub-rat3/micr/sub-rat3_sample-data10_SEM.png	sub-rat3/micr/sub-rat3_sample-data11_SEM.png	sub-rat3/micr/sub-rat3_sample-data9_SEM.png	sub-rat4/micr/sub-rat4_sample-data12_SEM.png	sub-rat5/micr/sub-rat5_sample-data14_SEM.json	sub-rat5/micr/sub-rat5_sample-data14_SEM.png	sub-rat6/micr/sub-rat6_sample-data15_SEM.png	sub-rat7/micr/sub-rat7_sample-Maxo03img60_SEM.json	sub-rat7/micr/sub-rat7_sample-Maxo03img60_SEM.png	sub-rat8/micr/sub-rat8_sample-V915_SEM.json	sub-rat8/micr/sub-rat8_sample-V915_SEM.png
2025-05-05	1401	3195	1860	1497	666	224922	321162	407319	68799	153294	150858	87963	184800	172146	99279	159375	193842	88092	145149	168711	61074	132723	124869	492189	823782	949620	109929	189300	225294	249864	490392	469968	87387	183792	233720	702	717	1011	564	3014874	570	3707612	930	1629660	1254057	1175247	1440801	940	7031106	1575970	294	6621330	564	2736087
2025-05-12	934	2130	1240	998	444	149948	214108	271546	45866	102196	100572	58642	123200	114764	66186	106250	129228	58728	96766	112474	40716	88482	83246	328126	549188	633080	73286	126200	150196	166576	326928	313312	58258	122528	116860	468	478	674	376	2009916	380	1853806	744	814830	836038	783498	960534	752	4869342	1444954	196	4595604	376	1824058
2025-06-23	467	1065	620	499	222	74974	107054	135773	22933	51098	50286	29321	61600	57382	33093	53125	64614	29364	48383	56237	20358	44241	41623	164063	274594	316540	36643	63100	75098	83288	163464	156656	29129	61264	58430	234	239	337	188	1004958	190	926903	372	407415	418019	391749	480267	376	2434671	722477	98	2297802	188	912029
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	926903	186	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	1065	620	0	0	0	0	135773	0	51098	50286	0	0	57382	0	0	64614	29364	48383	0	0	0	41623	0	0	316540	0	63100	75098	0	0	156656	0	61264	0	0	0	0	0	0	190	0	0	0	0	0	0	188	0	0	0	0	0	0
2025-08-04	0	0	0	0	0	0	0	0	22933	0	0	0	0	0	0	53125	0	0	0	56237	0	0	0	164063	0	0	0	0	0	83288	0	0	29129	0	0	0	0	0	0	0	0	0	0	407415	0	391749	480267	0	0	0	98	0	188	0
2025-08-11	467	0	0	0	0	0	107054	0	0	0	0	29321	61600	0	33093	0	0	0	0	0	20358	0	0	0	0	0	0	0	0	0	163464	0	0	0	0	0	239	0	188	0	0	0	0	0	418019	0	0	0	2434671	0	0	0	0	0
2025-08-18	0	0	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44241	41623	0	0	0	36643	0	0	0	0	0	0	0	58430	0	0	337	0	1004958	0	0	0	0	0	0	0	0	0	722477	0	2297802	0	912029
2025-08-25	0	0	0	0	0	0	0	135773	22933	0	0	0	0	0	0	0	64614	0	0	56237	0	0	0	0	0	0	0	0	0	83288	0	0	0	0	0	0	0	0	0	0	0	0	0	407415	0	0	0	0	2434671	0	0	0	188	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	0	61600	57382	0	0	0	29364	0	0	0	0	0	0	0	0	0	63100	0	0	0	0	0	61264	0	0	239	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	0	0	0	222	74974	0	0	0	0	50286	0	0	0	0	0	0	0	0	0	0	44241	0	0	274594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	467	1065	620	998	222	74974	107054	135773	22933	51098	50286	29321	61600	57382	33093	53125	64614	29364	48383	56237	20358	44241	41623	164063	274594	316540	36643	63100	75098	83288	163464	156656	29129	61264	58430	468	239	337	188	1004958	190	1853806	558	407415	418019	391749	480267	376	2434671	722477	98	2297802	188	912029
2025-12-15	2802	6390	3720	3493	1332	449844	749378	814638	137598	357686	301716	175926	369600	344292	198558	318750	387684	176184	290298	337422	142506	265446	291361	984378	1647564	1899240	219858	378600	525686	499728	980784	939936	174774	367584	350580	1404	1434	2022	1128	6029748	1140	5561418	2232	2444490	2926133	2350494	2881602	2256	14608026	4334862	588	13786812	1128	5472174
