week_start	Miscellaneous
2025-05-05	37651269
2025-05-12	24930226
2025-06-23	12465113
2025-07-21	927323
2025-07-28	1153244
2025-08-04	1688492
2025-08-11	3268474
2025-08-18	5119039
2025-08-25	3205119
2025-09-01	273137
2025-09-08	444317
2025-10-06	188
2025-12-08	13392935
2025-12-15	75504427
2025-12-22	2722742
2025-12-29	911962
2026-01-05	3100737
2026-01-12	33161105
2026-01-19	12893206
2026-01-26	3546356
2026-03-09	11250648
2026-03-16	9211187
2026-03-23	666
2026-03-30	28198820
2026-04-06	14281966
2026-04-13	14500441
2026-04-20	9328143
2026-04-27	1858125
2026-05-04	10924213
2026-05-11	25083189
2026-05-18	13983940
2026-05-25	28541984
