week_start	sub-16/sub-16_ses-16-4-1_behavior+ophys.nwb	sub-16/sub-16_ses-16-4-2_behavior+ophys.nwb	sub-18/sub-18_ses-18-1-2_behavior+ophys.nwb	sub-18/sub-18_ses-18-5-1_behavior+ophys.nwb	sub-18/sub-18_ses-18-5-2_behavior+ophys.nwb	sub-22511/sub-22511_ses-22511-1-5_behavior+ophys.nwb	sub-22511/sub-22511_ses-22511-2-4_behavior+ophys.nwb	sub-22511/sub-22511_ses-22511-2-5_behavior+ophys.nwb	sub-22511/sub-22511_ses-22511-2-6_behavior+ophys.nwb	sub-22511/sub-22511_ses-22511-5-1_behavior+ophys.nwb	sub-22511/sub-22511_ses-22511-5-2_behavior+ophys.nwb	sub-22511/sub-22511_ses-22511-5-3_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-1-2_obj-sbfy2t_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-1-2_obj-sk9h8l_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-1-3_obj-1czl16p_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-1-3_obj-vuw771_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-1-4_obj-e6pcp0_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-1-4_obj-wvwc2c_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-2-3_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-3-12_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-3-7_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-3-9_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-4-2_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-4-4_behavior+ophys.nwb	sub-22708/sub-22708_ses-22708-6-3_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-10-2_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-12-1_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-13-1_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-13-2_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-15-1_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-17-1_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-17-2_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-17-3_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-18-1_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-18-2_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-18-3_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-18-4_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-18-5_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-19-1_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-19-2_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-19-3_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-19-4_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-19-5_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-20-1_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-20-2_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-20-3_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-20-4_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-20-5_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-21-1_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-21-2_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-21-3_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-21-4_behavior+ophys.nwb	sub-22780/sub-22780_ses-22780-21-5_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-10-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-11-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-12-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-13-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-2-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-20-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-3-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-5-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-6-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-7-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-8-1_behavior+ophys.nwb	sub-23331/sub-23331_ses-23331-9-1_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-10-1_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-12-1_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-13-1_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-14-3_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-2-1_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-3-1_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-4-1_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-5-1_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-6-1_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-7-1_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-8-2_behavior+ophys.nwb	sub-23332/sub-23332_ses-23332-9-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-10-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-12-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-13-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-14-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-15-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-16-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-3-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-4-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-4-3_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-5-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-6-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-7-2_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-8-1_behavior+ophys.nwb	sub-23336/sub-23336_ses-23336-9-1_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-10-1_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-11-1_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-12-2_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-13-1_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-14-2_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-17-3_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-18-1_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-19-2_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-5-1_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-6-1_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-7-2_behavior+ophys.nwb	sub-23337/sub-23337_ses-23337-8-2_behavior+ophys.nwb	sub-23338/sub-23338_ses-23338-16-1_behavior+ophys.nwb	sub-23338/sub-23338_ses-23338-17-1_behavior+ophys.nwb	sub-23338/sub-23338_ses-23338-18-1_behavior+ophys.nwb	sub-23338/sub-23338_ses-23338-19-1_behavior+ophys.nwb	sub-23338/sub-23338_ses-23338-20-1_behavior+ophys.nwb	sub-23338/sub-23338_ses-23338-21-1_behavior+ophys.nwb	sub-23338/sub-23338_ses-23338-23-1_behavior+ophys.nwb	sub-23338/sub-23338_ses-23338-24-1_behavior+ophys.nwb	sub-23338/sub-23338_ses-23338-27-1_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-11-1_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-12-1_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-13-1_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-14-1_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-14-2_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-15-2_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-16-1_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-18-2_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-19-1_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-20-1_behavior+ophys.nwb	sub-23339/sub-23339_ses-23339-23-1_behavior+ophys.nwb	sub-23455/sub-23455_ses-23455-11-6_behavior+ophys.nwb	sub-24/sub-24_ses-24-1-2_behavior+ophys.nwb	sub-24/sub-24_ses-24-4-1_behavior+ophys.nwb	sub-24/sub-24_ses-24-4-2_behavior+ophys.nwb	sub-24044/sub-24044_ses-24044-3-2_behavior+ophys.nwb	sub-24644/sub-24644_ses-24644-1-1_behavior+ophys.nwb	sub-24644/sub-24644_ses-24644-1-2_behavior+ophys.nwb	sub-25189/sub-25189_ses-25189-1-1_behavior+ophys.nwb	sub-25519/sub-25519_ses-25519-4-1_behavior+ophys.nwb	sub-25519/sub-25519_ses-25519-4-2_behavior+ophys.nwb	sub-25519/sub-25519_ses-25519-5-1_behavior+ophys.nwb	sub-25673/sub-25673_ses-25673-1-1_obj-1efmhio_behavior+ophys.nwb	sub-25673/sub-25673_ses-25673-1-1_obj-7qh8lp_behavior+ophys.nwb	sub-25673/sub-25673_ses-25673-1-2_obj-179wqf7_behavior+ophys.nwb	sub-25673/sub-25673_ses-25673-1-2_obj-1qieyjd_behavior+ophys.nwb	sub-25673/sub-25673_ses-25673-2-1_obj-1ejn79y_behavior+ophys.nwb	sub-25673/sub-25673_ses-25673-2-1_obj-8ebrx1_behavior+ophys.nwb	sub-25673/sub-25673_ses-25673-2-2_obj-17qcoko_behavior+ophys.nwb	sub-25673/sub-25673_ses-25673-2-2_obj-cijr8r_behavior+ophys.nwb	sub-25733/sub-25733_ses-25733-1-1_obj-121dpcm_behavior+ophys.nwb	sub-25733/sub-25733_ses-25733-1-1_obj-bzafm9_behavior+ophys.nwb	sub-25733/sub-25733_ses-25733-1-2_obj-fovrsf_behavior+ophys.nwb	sub-25733/sub-25733_ses-25733-1-2_obj-ykab6f_behavior+ophys.nwb	sub-25791/sub-25791_ses-25791-3-1_behavior+ophys.nwb	sub-25792/sub-25792_ses-25792-1-1_behavior+ophys.nwb	sub-25792/sub-25792_ses-25792-2-1_behavior+ophys.nwb	sub-25792/sub-25792_ses-25792-2-2_behavior+ophys.nwb	sub-26295/sub-26295_ses-26295-2-2_behavior+ophys.nwb	sub-26295/sub-26295_ses-26295-2-3_behavior+ophys.nwb	sub-26295/sub-26295_ses-26295-3-5_behavior+ophys.nwb	sub-26295/sub-26295_ses-26295-5-2_behavior+ophys.nwb	sub-26295/sub-26295_ses-26295-5-3_behavior+ophys.nwb	sub-26295/sub-26295_ses-26295-5-4_behavior+ophys.nwb	sub-26295/sub-26295_ses-26295-6-3_behavior+ophys.nwb	sub-26295/sub-26295_ses-26295-6-5_behavior+ophys.nwb	sub-26631/sub-26631_ses-26631-1-1_behavior+ophys.nwb	sub-26631/sub-26631_ses-26631-1-2_behavior+ophys.nwb	sub-27032/sub-27032_ses-27032-1-1_behavior+ophys.nwb	sub-27032/sub-27032_ses-27032-1-2_behavior+ophys.nwb	sub-27032/sub-27032_ses-27032-5-3_behavior+ophys.nwb	sub-27035/sub-27035_ses-27035-1-2_behavior+ophys.nwb	sub-27035/sub-27035_ses-27035-1-3_behavior+ophys.nwb	sub-27035/sub-27035_ses-27035-7-2_behavior+ophys.nwb	sub-27035/sub-27035_ses-27035-7-3_behavior+ophys.nwb	sub-27135/sub-27135_ses-27135-11-3_behavior+ophys.nwb	sub-27135/sub-27135_ses-27135-2-3_behavior+ophys.nwb	sub-27135/sub-27135_ses-27135-3-1_behavior+ophys.nwb	sub-27135/sub-27135_ses-27135-5-2_behavior+ophys.nwb	sub-27135/sub-27135_ses-27135-5-3_behavior+ophys.nwb	sub-27135/sub-27135_ses-27135-6-1_behavior+ophys.nwb	sub-27190/sub-27190_ses-27190-4-1_behavior+ophys.nwb	sub-27190/sub-27190_ses-27190-4-2_behavior+ophys.nwb	sub-27190/sub-27190_ses-27190-5-1_behavior+ophys.nwb	sub-27190/sub-27190_ses-27190-5-2_behavior+ophys.nwb	sub-27192/sub-27192_ses-27192-2-1_behavior+ophys.nwb	sub-27192/sub-27192_ses-27192-2-2_behavior+ophys.nwb	sub-27192/sub-27192_ses-27192-3-1_behavior+ophys.nwb	sub-27192/sub-27192_ses-27192-3-2_behavior+ophys.nwb	sub-27192/sub-27192_ses-27192-4-1_behavior+ophys.nwb	sub-27192/sub-27192_ses-27192-4-3_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-12-2_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-12-3_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-12-4_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-13-1_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-13-2_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-2-1_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-2-2_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-3-1_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-3-2_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-5-1_behavior+ophys.nwb	sub-27195/sub-27195_ses-27195-6-2_behavior+ophys.nwb	sub-27385/sub-27385_ses-27385-1-2_behavior+ophys.nwb	sub-27385/sub-27385_ses-27385-2-2_behavior+ophys.nwb	sub-27385/sub-27385_ses-27385-2-3_behavior+ophys.nwb	sub-27385/sub-27385_ses-27385-3-4_behavior+ophys.nwb	sub-27385/sub-27385_ses-27385-4-1_behavior+ophys.nwb	sub-27385/sub-27385_ses-27385-4-3_behavior+ophys.nwb	sub-27385/sub-27385_ses-27385-4-4_behavior+ophys.nwb	sub-27385/sub-27385_ses-27385-4-5_behavior+ophys.nwb	sub-27410/sub-27410_ses-27410-1-2_behavior+ophys.nwb	sub-27410/sub-27410_ses-27410-2-3_behavior+ophys.nwb	sub-27410/sub-27410_ses-27410-2-4_behavior+ophys.nwb	sub-27411/sub-27411_ses-27411-1-1_behavior+ophys.nwb	sub-27411/sub-27411_ses-27411-2-1_behavior+ophys.nwb	sub-27411/sub-27411_ses-27411-3-2_behavior+ophys.nwb	sub-27411/sub-27411_ses-27411-3-3_behavior+ophys.nwb	sub-27411/sub-27411_ses-27411-3-4_behavior+ophys.nwb	sub-27411/sub-27411_ses-27411-4-1_behavior+ophys.nwb	sub-27411/sub-27411_ses-27411-4-2_behavior+ophys.nwb	sub-34/sub-34_ses-34-2-1_behavior+ophys.nwb	sub-34/sub-34_ses-34-3-1_behavior+ophys.nwb	sub-34/sub-34_ses-34-3-2_behavior+ophys.nwb	sub-34/sub-34_ses-34-4-1_behavior+ophys.nwb	sub-90003/sub-90003_ses-90003-1-1_behavior+ophys.nwb	sub-90003/sub-90003_ses-90003-3-1_behavior+ophys.nwb	sub-90003/sub-90003_ses-90003-4-1_behavior+ophys.nwb	sub-90003/sub-90003_ses-90003-4-2_behavior+ophys.nwb	sub-90003/sub-90003_ses-90003-5-3_behavior+ophys.nwb	sub-90003/sub-90003_ses-90003-6-1_behavior+ophys.nwb	sub-90003/sub-90003_ses-90003-6-2_behavior+ophys.nwb	sub-90003/sub-90003_ses-90003-8-1_behavior+ophys.nwb	sub-90006/sub-90006_ses-90006-1-1_behavior+ophys.nwb	sub-90006/sub-90006_ses-90006-1-2_behavior+ophys.nwb	sub-90006/sub-90006_ses-90006-2-1_behavior+ophys.nwb	sub-90006/sub-90006_ses-90006-2-2_behavior+ophys.nwb	sub-90015/sub-90015_ses-90015-2-1_behavior+ophys.nwb	sub-90015/sub-90015_ses-90015-2-2_behavior+ophys.nwb	sub-90015/sub-90015_ses-90015-2-3_behavior+ophys.nwb	sub-90015/sub-90015_ses-90015-2-4_behavior+ophys.nwb	sub-90015/sub-90015_ses-90015-3-1_behavior+ophys.nwb	sub-90015/sub-90015_ses-90015-3-2_behavior+ophys.nwb	sub-90015/sub-90015_ses-90015-3-3_behavior+ophys.nwb	sub-90017/sub-90017_ses-90017-1-1_behavior+ophys.nwb	sub-90017/sub-90017_ses-90017-2-2_behavior+ophys.nwb	sub-90017/sub-90017_ses-90017-2-3_behavior+ophys.nwb	sub-90017/sub-90017_ses-90017-4-1_behavior+ophys.nwb	sub-90018/sub-90018_ses-90018-2-1_behavior+ophys.nwb	sub-90020/sub-90020_ses-90020-1-1_behavior+ophys.nwb	sub-90020/sub-90020_ses-90020-1-2_behavior+ophys.nwb	sub-90020/sub-90020_ses-90020-2-1_behavior+ophys.nwb	sub-90020/sub-90020_ses-90020-2-2_behavior+ophys.nwb	sub-90020/sub-90020_ses-90020-2-3_behavior+ophys.nwb
2026-06-08	18269986	23188500	14706163	19696757	27550450	13435283	22093843	13133248	14410774	21335133	23026489	17531648	26704102	15865559	19827647	42583035	24592702	23414958	22339692	15493834	20650802	23180968	14350309	9982938	18790251	15145968	26993211	15380056	26120385	22938119	14818455	26708920	18440716	17975590	17619416	16308603	18958448	18418255	14180350	14735465	15537970	18367063	17255121	15550021	16696161	15330860	15628162	23607421	15849776	15568195	14877338	14205227	15439576	40457483	27413722	25697050	30490038	36500527	29953846	36670296	29449500	27269711	34192420	30776368	21787270	36395863	30220418	22178861	23077850	22571886	35184344	37988112	30129960	27450347	18449994	27730715	21567114	38913659	23350554	23371982	44716082	35652796	23007602	33724976	12121460	30994996	21744062	22977492	23075774	34949408	23254488	21839074	21452728	24161712	21747012	35363760	22371622	23277728	34328344	18297268	15402041	15512417	15466543	15694016	15678078	15864855	15838801	15921834	15412821	15614105	26392839	15561813	26721883	15510717	15447440	15084017	15337737	15385271	15554463	26544055	15484053	26398155	15586906	20746656	5937331	9252670	9223900	12055208	9837836	20461573	18723538	4436277	4473894	3878629	5095508	6243336	6679212	8696864	8519345	5893244	5355397	8089001	15455633	8383989	8417317	8847229	9286644	9544527	8850554	7272222	24215244	25024503	27108956	15941863	16359122	24956488	16404949	13067468	18413362	29996697	18906861	30692004	19124168	12732542	12712392	12671676	19229182	18971811	18886107	19397776	13444102	18935105	18995800	12641416	12559175	12896755	12660074	12528946	12467779	12833437	12784973	20653540	12576906	19266596	19099120	19051570	18905557	18921515	19109156	18938360	17010145	31490515	19341462	30922187	15585114	18528984	18539508	18341432	15148499	28017165	17387280	17394745	30091987	19082168	30720150	31285070	18070291	18939932	18817446	18875182	18970124	18935375	9658244	9534653	16763444	9498640	17362390	16725058	9070305	9148643	9033402	9079029	7621849	17103633	16489345	9004980	8900936	8864446	20613901	20155751	32431539	20166279	20610791	24710026	20485991	20147804	19907201	20345910	41063803	19385853	31770214	20359045	18903237	19059125	19344586
2026-06-15	9083002	0	7422678	0	8339724	7559970	5152227	12940680	0	0	0	0	8661302	0	9230861	23917011	15865550	0	0	5645470	0	0	7121083	0	7727325	0	0	0	7817933	7193779	0	0	0	0	7795752	0	7848936	0	0	0	7014574	0	0	7171499	0	7229536	7197546	0	7207648	0	0	6570062	7312248	0	0	0	15646758	15180259	0	0	0	15490801	15738878	0	15579641	15740139	10948620	12723439	15504007	8813616	15586503	15718660	0	11686230	9073914	0	0	26259733	0	15552755	15299587	0	0	26340288	0	13322640	0	0	11016842	0	11027760	0	0	0	0	15786998	0	11296480	0	0	15402041	15512417	11578786	15694016	0	0	15838801	0	0	15614105	15382821	26520215	0	0	11446456	0	0	0	15554463	15479657	26557243	0	0	20746656	5937331	0	0	12055208	0	9707035	0	0	0	3878629	0	0	0	0	7961282	0	0	8089001	15652157	0	8417317	0	0	0	8850554	7272222	16624392	0	16694716	23715721	25319866	16464632	0	0	18413362	0	0	0	19124168	0	0	12671676	0	18971811	18886107	19397776	0	0	0	20421424	12559175	0	0	12528946	12467779	0	0	0	0	19266596	19099120	0	18905557	18921515	0	0	0	19315769	19341462	18936239	8428452	0	0	18341432	0	28082673	17387280	0	0	0	19071278	12429568	0	18939932	12443792	0	0	18935375	9658244	0	0	0	0	0	0	0	9033402	9079029	5924598	7538342	0	0	0	0	12640067	20155751	20182357	0	0	0	20485991	0	0	0	0	19385853	0	0	18903237	11092226	0
2026-06-22	9083002	21178796	13845262	18942534	19186548	10202030	0	0	5175214	10161773	7142657	7700988	2751336	6140721	2751336	3602940	0	11016502	12950636	0	10444530	10261272	0	8176358	0	9919148	7722987	10761400	0	0	11185701	7876652	7872920	7827114	0	10699909	0	7843597	7042594	7031071	0	2751336	7827247	0	7815727	0	3733956	0	7118528	7133885	7100198	6832489	10104380	15288443	17853458	18329642	0	0	15293302	15584480	15562056	0	0	15654820	0	0	18701306	0	0	21021074	2554812	0	15790180	15747649	0	0	15600523	3406416	18162389	3668448	0	15325795	15501637	0	10352288	0	18866107	19024098	16518315	17789850	15494092	18946451	0	15914922	15592294	0	15609645	18682850	18642011	13015454	3078876	0	15466543	2685828	15678078	15864855	0	18345630	15412821	3144384	3471924	0	15495261	15510717	15447440	17835353	15337737	18267623	0	0	2227272	15384593	15586906	0	2554812	9252670	12761332	3537432	9837836	0	9003454	4436277	4473894	0	5095508	6243336	6679212	17343920	11139665	5893244	5355397	0	0	8383989	0	11729581	2685828	13081959	5240640	2423796	0	22600121	0	2620320	0	2947860	22366177	13067468	9040104	18383635	0	21280892	0	15483878	12712392	3668448	12280894	0	0	2292780	15933406	21489917	18995800	0	3209892	15582583	15280394	1179144	0	12833437	12784973	12690172	15066210	0	0	19051570	0	0	19109156	18938360	2227272	0	0	2685828	29472810	18528984	18539508	0	24319619	3144384	4716576	17394745	21542201	19082168	0	19117534	18070291	0	21634290	2096256	21590444	0	0	9534653	9087790	9498640	11572878	9010422	12542229	12293027	0	2227272	7621849	9368767	9114815	9004980	12765908	11353750	0	2751336	2751336	2816844	0	0	0	20147804	19907201	23817834	23747207	0	20169474	20359045	3209892	21548429	2751336
