region	bytes_sent
US/California	718771109034
DE/Baden-Wurttemberg	237736828601
AWS/us-east-1	237694840964
NL/North Holland	237685085456
AWS/us-east-2	100506644883
US/Wisconsin	19845759692
AT/Styria	14701907556
US/Indiana	5944748969
GitHub	3682783444
GCP/us-west4	2268885256
DE/Bavaria	1918269316
GCP/us-east1	943820600
VPN	458166548
US/Georgia	303556800
CA/Quebec	145041952
GB/England	96861752
GCP/europe-west4	94173400
GCP/us-central1	93415200
US/Massachusetts	87117141
GCP/asia-east1	68313652
GCP/us-west1	48281252
GCP/us-east4	45162144
CA/Ontario	44198424
US/New York	17994757
