date	bytes_sent	number_of_requests	number_of_downloads
2024-06-05	11001637208	1340	<50
2024-06-06	117896197	140	<50
2024-06-07	108546756	<50	<50
2024-06-19	851250018	<50	<50
2024-07-09	66144877	140	<50
2024-07-24	31640364	<50	<50
2024-07-26	86994624	<50	<50
2024-08-26	47900310	<50	<50
2024-08-31	929884473	<50	<50
2024-09-04	929884473	<50	<50
2024-09-06	1479856985	<50	<50
2024-09-08	907599960	<50	<50
2024-09-10	1880000658	80	<50
2024-09-20	95820001	140	<50
2024-10-19	860181564	<50	<50
2024-10-24	114704508	<50	<50
2024-12-01	6354276	<50	<50
2024-12-02	1852070502	220	<50
2024-12-03	932578477	120	<50
2025-03-02	17949192	<50	<50
2025-06-20	10869905261	<50	<50
2025-07-26	922186029	<50	<50
2025-07-29	929884473	<50	<50
2025-07-30	898771725	<50	<50
2025-08-03	864348645	<50	<50
2025-08-05	932578477	<50	<50
2025-08-08	882490721	<50	<50
2025-08-10	946166674	<50	<50
2025-08-12	891624968	<50	<50
2025-08-13	851250018	<50	<50
2025-08-19	944432790	<50	<50
2025-08-27	864348645	<50	<50
2025-08-30	898771725	<50	<50
2025-09-06	949868521	<50	<50
2025-09-13	856302220	<50	<50
2025-09-25	120014944	240	<50
2025-10-07	299172604	580	<50
2025-10-08	24095892	<50	<50
2025-10-12	305002816	580	<50
2025-10-16	598214192	1160	100
2025-10-26	294390520	580	<50
2025-10-29	304216720	580	<50
2025-11-04	372098777	720	60
2025-11-05	151158494	280	<50
2025-11-06	148341650	280	<50
2025-11-07	216682263	440	<50
2025-11-08	145852346	280	<50
2025-11-09	217533867	440	<50
2025-11-10	144542186	280	<50
2025-11-11	148079618	280	<50
2025-11-12	148800206	280	<50
2025-11-13	146703950	280	<50
2025-11-14	76332589	140	<50
2025-11-15	72336601	140	<50
2025-11-16	74105317	140	<50
2025-11-17	73450237	140	<50
2025-11-18	71288473	140	<50
2025-11-19	73515745	140	<50
2025-11-20	71943553	140	<50
2025-11-21	75153445	140	<50
2025-11-22	74891413	140	<50
2025-11-23	74039809	140	<50
2025-11-24	73253713	140	<50
2025-11-25	73581253	140	<50
2025-11-26	72336601	140	<50
2025-11-27	71091949	140	<50
2025-11-28	71943553	140	<50
2025-11-29	73319221	140	<50
2025-11-30	74563873	140	<50
2025-12-01	73319221	140	<50
2025-12-02	73581253	140	<50
2025-12-03	71353981	140	<50
2025-12-04	72533125	140	<50
2025-12-05	71943553	140	<50
2025-12-06	73450237	140	<50
2025-12-07	74105317	140	<50
2025-12-08	101415222	180	<50
2025-12-09	148734698	280	<50
2025-12-10	148145126	280	<50
2025-12-15	922186029	180	<50
2025-12-16	231471302	300	<50
2025-12-17	11016936751	300	<50
2025-12-18	11162003001	600	60
2025-12-19	86798100	<50	<50
2025-12-21	929884473	180	<50
2025-12-23	932578477	180	<50
2025-12-28	944432790	180	<50
2026-01-03	882490721	160	<50
2026-01-05	145655822	280	<50
2026-01-06	148603682	280	<50
2026-01-07	74170825	140	<50
2026-01-08	221529855	440	<50
2026-01-09	74694889	140	<50
2026-01-10	891624968	180	<50
2026-01-16	2766558087	<50	<50
2026-01-17	2126865570	<50	<50
2026-01-18	6864813594	<50	<50
2026-01-23	1095032388	480	<50
2026-01-24	998543540	460	<50
2026-01-27	74236333	140	<50
2026-01-28	147752078	280	<50
2026-01-29	972942550	320	<50
2026-01-30	145786838	280	<50
2026-01-31	864348645	160	<50
2026-02-04	1955363995	640	<50
2026-02-05	150699938	280	<50
2026-02-10	148538174	280	<50
2026-02-12	150568922	280	<50
2026-02-17	150503414	280	<50
2026-02-20	137168066	60	<50
2026-02-24	150896462	280	<50
2026-02-27	6194896	<50	<50
2026-02-28	174957422	340	<50
2026-03-01	6156973	<50	<50
2026-03-04	12916707	<50	<50
2026-03-06	6319421	<50	<50
2026-03-09	18521868	<50	<50
2026-03-12	17294112	<50	<50
2026-03-17	55435537	140	<50
2026-03-18	129475346	280	<50
2026-03-19	163261705	160	<50
2026-03-20	123972674	280	<50
2026-03-25	11070852	<50	<50
2026-03-26	13060920	<50	<50
2026-03-27	125725621	140	<50
2026-03-28	63689545	140	<50
2026-03-29	19925274	<50	<50
2026-03-30	11545960	<50	<50
2026-04-20	107268134	280	<50
2026-04-21	390949312	600	60
2026-04-22	126199946	280	<50
2026-04-23	43366296	<50	<50
2026-04-29	58891692	<50	<50
2026-05-16	870514191	<50	<50
2026-05-18	71811086	<50	<50
2026-05-19	11244264	<50	<50
2026-05-21	2591956	<50	<50
2026-05-22	2740217	<50	<50
