date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-08-19	734953055	97	2	6
2026-08-20	10817297	17	4	4
2026-08-21	3615745	4	1	1
2026-08-22	11341361	17	4	4
2026-08-24	1257457	4	1	1
2026-09-01	2434965	7	2	2
2026-09-02	1056404	3	1	1
2026-09-03	74249236	1	1	0
2026-09-04	10623013	12	4	4
2026-09-08	65536	4	0	1
