region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/MA	81430215169053	1488259	70	481
USA/NH	132850654218	549621	11562	10462
AWS/us-east-1	26085627160258	3109752	17	122
USA	7395385938216	331782	121	36
GBR/ENG	9450679553	892	226	121
USA/VT	5428854960	22495	474	365
VPN	26325117731286	21576	1568	402
AWS/ap-southeast-1	1126148028	190	190	0
CHN	19878472433238	859968	15	137
GitHub	37113784528	44177	740	730
USA/CA	36749939601	7093	251	248
MEX/CMX	600865648	2290	100	63
VNM/56	56074848	1	1	0
USA/NY	1494013290	5644	113	106
GCP/us-west1	20755832820	1	1	0
SAU/01	6354276	2	2	0
CHL/RM	7271388	3	3	0
PAK/KP	3995988	1	1	0
BRA/PE	8581548	1	1	0
ETH/AA	1	1	0	1
PHL/00	6812832	1	1	0
UZB/SA	5175132	2	2	0
VNM/63	2620320	1	1	0
USA/DC	66490620	20	20	0
MAR/07	8581548	2	2	0
IRQ/DI	6485292	1	1	0
IND/RJ	3471924	2	2	0
NIC/MN	5961228	1	1	0
BGR/24	8319516	1	1	0
MEX/SLP	8516040	1	1	0
COL/DC	6354276	2	2	0
MEX/CHH	15132348	1	1	0
USA/MD	153252762	224	14	14
CHE	38188768	94	2	2
CHE/VD	17896860	121	7	7
KWT/KU	6878340	2	2	0
VEN/D	1113636	1	1	0
JPN/13	184298802094	2	2	0
IDN	10284756	1	1	0
VEN/V	9760692	1	1	0
FRA/NOR	9629676	1	1	0
USA/CO	4323528	1	1	0
PAK	1048128	1	1	0
ARG/H	9367644	1	1	0
CAN/ON	4471277996	3	3	0
BRA/SP	22076197	4	3	1
USA/GA	29216568	2	2	0
VNM/HN	92693820	9	9	0
VNM/61	10939836	1	1	0
PAN/8	5109624	1	1	0
VNM/SG	78478584	9	9	0
SGP	18407748	3	3	0
BRA/MG	35963892	4	4	0
MYS/14	15066840	2	2	0
URY/MO	16966572	1	1	0
BIH/BIH	12839568	1	1	0
TUR/31	2096256	1	1	0
IDN/JI	11070852	1	1	0
DZA/19	1703208	1	1	0
BRA/CE	28495980	1	1	0
HKG	38780736	6	6	0
LBN	7140372	1	1	0
VNM/45	20438496	2	2	0
DZA/16	4716576	1	1	0
UZB/TK	44545440	3	3	0
IND/PB	1113636	1	1	0
USA/IL	19305632	93	2	2
KAZ/15	2423796	1	1	0
VNM	25941168	3	3	0
IRQ/BG	1048128	1	1	0
VEN/A	21814164	2	2	0
ESP/CT	48516288	34	1	1
BRA/ES	13691172	2	2	0
SAU/05	10088232	1	1	0
ARG/B	13363632	1	1	0
BGD	22207213	3	2	1
PHL/03	1441176	1	1	0
NPL/P3	18997320	2	2	0
SAU/02	5240640	1	1	0
CHL/VS	16245984	1	1	0
DEU/BW	5961228	1	1	0
IND/DL	3668448	1	1	0
IND/TN	75572696	146	2	1
PAK/IS	26137692	1	1	0
ITA/45	210330848	11	0	1
USA/MI	14800446	49	1	1
USA/TX	111590040	13	1	1
VNM/HP	9105612	1	1	0
KEN/30	119325257	358	8	2
EGY/ALX	4651068	1	1	0
PAK/PB	3144384	2	2	0
BHR/13	19521384	2	2	0
VNM/68	16442508	2	2	0
VNM/DN	12249996	1	1	0
BGR	851604	1	1	0
ARG/T	10546788	2	2	0
BGD/C	28430472	4	4	0
BRA/BA	4454545	2	1	1
ESP/NC	2030748	1	1	0
KAZ/75	5633688	1	1	0
TTO/POS	13887696	1	1	0
ARG/S	5961228	1	1	0
VNM/21	13101600	2	2	0
IND/MP	17883684	2	2	0
BRA/RN	5502672	2	2	0
PAK/SD	8516040	1	1	0
DEU/HE	97897624	1	1	0
KHM/12	13756680	1	1	0
SRB/00	12774060	1	1	0
COL/ANT	2423796	1	1	0
PRY/ASU	13953204	1	1	0
IDN/BT	3995988	1	1	0
USA/PA	214853454	686	9	1
USA/TN	675095428	158	0	2
FRA/IDF	6309808	14	3	3
ECU/P	9695184	1	1	0
MEX/MEX	7074864	1	1	0
BRA/DF	7140372	1	1	0
ISR/HA	2030748	1	1	0
BGD/F	8581548	1	1	0
ARE/DU	1113636	1	1	0
AWS/us-west-2	52213872	186	6	2
USA/WA	8933916	8	2	2
MYS/08	1113636	1	1	0
ZAF/GP	10350264	2	2	0
TUN/14	7140372	1	1	0
IND/UP	1	1	0	1
BOL/C	8319516	1	1	0
KOR/11	275575828	1	1	0
USA/VA	1437388	8	1	1
CHN/GD	8238518	59	0	1
CAN/BC	4194304	1	0	1
DEU/HH	1	1	0	1
HND/FM	28692504	1	1	0
TUR/58	2685828	1	1	0
MYS/12	3733956	1	1	0
COL/LAG	38387688	1	1	0
