week_start	sub-Rat1/sub-Rat1_ses-20200921T124059_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T124159_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T124259_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T131723_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T131823_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T131923_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T153806_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T153906_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T154006_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T155423_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T155523_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T155623_ecephys.nwb	sub-San2/sub-San2_ses-20190904T115428_ecephys.nwb	sub-San2/sub-San2_ses-20190904T115958_ecephys.nwb	sub-San4/sub-San4_ses-20191028T151843_ecephys.nwb	sub-San4/sub-San4_ses-20191107T150118_ecephys.nwb	sub-San4/sub-San4_ses-20191107T150515_ecephys.nwb	sub-San4/sub-San4_ses-20191113T154743_ecephys.nwb	sub-San4/sub-San4_ses-20191127T114535_ecephys.nwb	sub-San4/sub-San4_ses-20191127T122703_ecephys.nwb	sub-San4/sub-San4_ses-20191216T144004_ecephys.nwb	sub-San4/sub-San4_ses-20200106T151106_ecephys.nwb	sub-San4/sub-San4_ses-20200106T153513_ecephys.nwb	sub-San4/sub-San4_ses-20200204T141344_ecephys.nwb	sub-San4/sub-San4_ses-20200204T141717_ecephys.nwb	sub-San4/sub-San4_ses-20200218T182812_ecephys.nwb	sub-San4/sub-San4_ses-20200218T183658_ecephys.nwb	sub-San4/sub-San4_ses-20200302T142114_ecephys.nwb	sub-San4/sub-San4_ses-20200302T142549_ecephys.nwb	sub-San4/sub-San4_ses-20200430T084358_ecephys.nwb	sub-San4/sub-San4_ses-20200430T084710_ecephys.nwb	sub-San4/sub-San4_ses-20200430T090906_ecephys.nwb	sub-San6/sub-San6_ses-20200204T144357_ecephys.nwb	sub-San6/sub-San6_ses-20200204T145647_ecephys.nwb	sub-San6/sub-San6_ses-20200204T150032_ecephys.nwb	sub-San6/sub-San6_ses-20200218T175723_ecephys.nwb	sub-San6/sub-San6_ses-20200218T180538_ecephys.nwb	sub-San6/sub-San6_ses-20200218T181019_ecephys.nwb	sub-San6/sub-San6_ses-20200218T181402_ecephys.nwb	sub-San6/sub-San6_ses-20200302T151055_ecephys.nwb	sub-San6/sub-San6_ses-20200302T151530_ecephys.nwb	sub-San6/sub-San6_ses-20200302T152233_ecephys.nwb
2022-11-28	7649192832	0	0	0	0	3430418552	4065089824	0	2708681078	2717908992	3632799260	1820327936	36040711	81179377	79490035	150994944	167772160	58720256	150994944	150994944	193432154	119548746	100663296	179637554	75497472	226492416	100663296	180932856	180831652	111049080	245094998	75497472	201326592	160200085	159681075	451441884	132194724	142606336	176160768	137778742	106606037	129269228
2022-12-05	0	3627463578	3718971627	2685388887	3989152360	0	0	2741576871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-12-19	4631626700	4639552618	72451848	4524099483	15331112	4507014056	4554560892	4651711347	140580168	4544201698	4561503784	70879656	223880819	191440093	81360936	345169704	250700866	39501324	40156404	202916556	369291466	404224014	306759011	342514186	26661756	341447721	41466564	264518396	281080396	27513360	281255414	234165680	39894372	263993429	247683407	0	346656168	0	342171984	403915246	273508673	44807472
2023-01-09	157677756	45593568	88959864	51489288	125120280	39697848	82016016	98524032	25941168	103175100	14346252	67473240	103764672	123679104	133177764	94790076	109398360	69176448	63739284	94266012	107629644	81819492	106712532	65835540	98196492	146803428	69438480	50834208	167241924	70290084	66687144	155974548	102257988	40942500	82278048	107760660	64001316	80312808	54371640	83326176	92562804	66294096
2023-01-16	6382447064	4525044634	4524277995	0	0	0	5308873364	0	0	5437710506	4547157532	0	103149575	212690402	113044467	211604672	196787782	200674136	201693897	202916556	554636468	440424084	108706444	0	0	314261901	0	474534136	0	456979184	245094998	0	0	227308949	0	560493788	516047688	244711397	497122104	238442038	232435157	229932524
2023-01-30	4544697584	0	4524277995	4446996567	4433748584	0	4540738704	4545127591	4545786230	4544201698	4547157532	4545819974	103149575	106345201	113044467	211604672	196787782	0	201693897	202916556	277318234	220212042	215766159	229969202	227684683	314261901	261821711	237267068	231163300	228489592	0	192044036	289181382	227308949	218401331	560493788	258023844	244711397	248561052	238442038	232435157	229932524
2023-02-06	4551699328	26653594	4534763755	22005847	4458235088	4459598064	4562114848	0	4566967020	4569040836	22552092	21214534	14020615	123561442	18672627	234465664	210074764	11930456	12950217	14172876	292492468	235940682	237545758	15011122	240411286	15417741	277228062	15728640	16205220	242021104	19651158	13786116	304910022	244902698	232330342	15234268	16851364	19267557	266435384	23483958	248163797	250149848
2023-02-27	56533404	54895704	48934476	34129668	46314156	89221896	74482596	17294112	40549452	25875660	127085520	73565484	30526728	41728596	119486592	84177780	55812816	31247316	60463884	33671112	72910404	48017364	29282076	34784748	94397028	77168424	78609600	59153724	69241956	68029688	82147032	72255324	43038756	56991960	32754000	40221912	80967888	53323512	58695168	34850256	15328872	35767368
2023-04-03	52144368	60398376	0	0	73958532	0	0	108939804	0	0	24106944	0	0	55092228	0	0	0	0	0	35701860	96820824	0	0	0	96820824	0	0	0	0	0	0	34064160	0	72320832	0	86274036	37798116	57778056	0	0	0	0
2023-04-10	46314156	0	0	0	0	4437051512	34850256	0	0	0	75137676	0	109660392	0	0	0	0	0	0	0	0	41990628	0	229969202	0	0	0	0	0	0	131933112	0	0	0	62756664	0	0	0	0	0	0	0
