region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA	91241784664	17451	0	96
AWS/us-east-1	359564107736	43489	932	318
AWS/ap-southeast-1	3060206220	572	572	0
USA/MA	397836116888	7834	3	373
CHN	527874872128	51181	0	324
GitHub	11700049768	32499	7415	6149
VPN	361187311524	1377	989	120
USA/CA	14866302035	4322	967	959
ISR	4323528	1	1	0
KWT/KU	3406416	1	1	0
VNM/56	16835556	2	2	0
USA/NJ	458759112	1425	325	322
USA/TX	13226443916	4149	718	318
CRI/SJ	9367644	2	2	0
VNM/SG	374116188	26	26	0
VNM/20	11660424	1	1	0
KEN/30	41925120	6	6	0
SAU/04	8319516	1	1	0
SYR/DI	1506684	1	1	0
COL/ANT	6223260	1	1	0
USA/PA	407579340	129	32	15
USA/DC	66228588	20	20	0
IDN/YO	30199188	8	8	0
VNM/HN	256987884	25	25	0
MEX/CMX	131897892	309	75	48
AWS/us-east-2	1107213064	3	3	0
BGD	149161716	15	15	0
IDN	18211224	2	2	0
IDN/SU	13036092	1	1	0
ARG/D	1768716	1	1	0
COL/ATL	20766036	2	2	0
UKR/77	1637700	1	1	0
IDN/JI	2358288	1	1	0
JAM/01	28364964	3	3	0
MYS/12	6878340	1	1	0
PAK/SD	1703208	1	1	0
VNM/13	17228604	2	2	0
ZAF/GP	41728596	7	7	0
CHL/RM	12905076	2	2	0
BGD/C	22993308	3	3	0
UZB/TK	29413092	3	3	0
HKG	63673776	9	9	0
IDN/LA	917112	1	1	0
UKR/35	13232616	1	1	0
PAK/PB	22534752	3	3	0
ALB/11	49589556	5	5	0
AGO/LUA	5437164	1	1	0
CRI/H	3209892	2	2	0
PRY/10	7140372	1	1	0
ARG/B	28364964	6	6	0
IDN/KT	1113636	1	1	0
BRA/RJ	33540096	5	5	0
AZE/BA	7729944	1	1	0
VNM/DN	20635020	1	1	0
UKR/46	4978608	1	1	0
VNM/37	13363632	2	2	0
BGD/E	13822188	1	1	0
MYS/10	16508016	3	3	0
BRA/BA	2358288	1	1	0
EGY/GZ	12708552	1	1	0
NLD	7402404	1	1	0
MYS/05	917112	1	1	0
IDN/JB	6288768	1	1	0
PRY/14	3013368	1	1	0
PAN/8	9498660	2	2	0
SYR	4258020	2	2	0
COL/VAC	8057484	3	3	0
BRA/SE	5568180	2	2	0
PHL/40	1244652	1	1	0
MAR/06	851604	1	1	0
USA/NY	12249996	1	1	0
VNM	97934460	5	5	0
SEN/DK	3013368	1	1	0
SGP	94724568	14	14	0
COL/DC	5895720	1	1	0
BRA/MA	8581548	1	1	0
USA/MI	851604	1	1	0
USA/WA	23328780	9	3	2
IDN/KI	12708552	1	1	0
IND/DL	1113636	1	1	0
EGY/IS	4978608	1	1	0
HRV/17	5371656	1	1	0
MAR/03	13363632	1	1	0
VNM/35	13691172	1	1	0
ARG/T	5633688	1	1	0
ARG/Z	7795452	1	1	0
DOM/32	4716576	1	1	0
PHL/03	8909088	1	1	0
BRA/SP	16835556	4	4	0
SWE/D	6616308	1	1	0
TUR/34	2096256	1	1	0
ARE/DU	14215236	2	2	0
IRQ/DA	11201868	1	1	0
MEX/VER	7926468	1	1	0
IRQ/BB	6943848	1	1	0
BRA/MG	13887696	2	2	0
MAR/09	20176464	3	3	0
BOL/L	7926468	1	1	0
PER	2554812	1	1	0
PER/LMA	4651068	1	1	0
ECU/L	10284756	1	1	0
ETH/AA	4847592	1	1	0
SAU/01	17425128	1	1	0
VNM/39	10284756	1	1	0
ZAF/MP	4454544	1	1	0
CHE/VD	2648176	9	2	2
OMN/ZU	19586892	2	2	0
TUR/01	6878340	1	1	0
EGY/C	7402404	2	2	0
AWS/us-west-2	9849996	24	6	2
IRQ/NI	11070852	1	1	0
BRA/AL	50703192	2	2	0
MEX/BCN	7664436	1	1	0
ESP/AR	4192512	1	1	0
SEN	30264696	1	1	0
VEN/A	37339560	3	3	0
MYS/06	1179144	1	1	0
ARG/P	1113636	1	1	0
IDN/AC	13822188	1	1	0
OMN/MA	3668448	1	1	0
VNM/26	47296776	1	1	0
ISR/TA	13494648	1	1	0
UKR/12	6681816	1	1	0
IDN/JK	4585560	1	1	0
VNM/43	12839568	1	1	0
VNM/49	34784748	2	2	0
ESP/CT	198899046	27	1	1
USA/IL	10635740	10	2	2
MEX/NLE	2620320	1	1	0
UKR/68	11725932	1	1	0
VNM/52	14411760	1	1	0
KGZ/GB	1113636	1	1	0
BRA/RN	6288768	1	1	0
VEN/S	6616308	1	1	0
BHR/13	10022724	1	1	0
TUR/31	1048128	1	1	0
USA/VA	8516040	1	1	0
IND/CH	4454544	1	1	0
JOR/AM	917112	1	1	0
COL/CAL	1375668	1	1	0
BRA/SC	11136360	1	1	0
IRQ/BG	6092244	1	1	0
TUR/35	1244652	1	1	0
COL/BOL	14608284	1	1	0
IND/MH	26006676	1	1	0
GCP/us-central1	395326632	25	3	1
FRA/IDF	7832052	12	3	3
BLR/HO	7598928	1	1	0
CHN/SH	235668992	1	1	0
NPL	1441176	1	1	0
BRA/MS	1703208	1	1	0
IDN/SS	982620	1	1	0
MYS/08	1113636	1	1	0
ARE/AZ	6550800	1	1	0
MAR/05	12381012	1	1	0
CHN/GD	887872	8	0	2
ARG/X	5961228	1	1	0
IDN/JT	12970584	1	1	0
IRQ/AR	13887696	1	1	0
VNM/54	1048128	1	1	0
PRY/ASU	20635020	1	1	0
GBR/ENG	21879672	1	1	0
USA/FL	10415772	1	1	0
LBN/BI	1441176	1	1	0
BRA/AM	3340908	1	1	0
ARG/H	5240640	1	1	0
VNM/61	8712564	1	1	0
VEN	1441176	1	1	0
BRA/RS	3013368	1	1	0
EST/37	381871680	1	1	0
COL/SAN	9433152	1	1	0
IND/WB	6812832	1	1	0
ARG/C	3013368	1	1	0
IND	9302136	1	1	0
VNM/51	2096256	1	1	0
