region	bytes_sent
AWS/us-east-1	1059211190516
RU/St.-Petersburg	535978337854
VPN	403450909257
US/Georgia	93228165479
US/California	34130544214
GCP/us-west4	28822299896
HU/Budapest	15039184871
HU/Győr-Moson-Sopron	6940700543
GitHub	5986555398
GCP/us-central1	5393393408
US/Ohio	4813504132
US/Virginia	3829742833
CA/Ontario	2797571548
US/Maryland	2775496982
AWS/us-east-2	2726232462
DE/Lower Saxony	2203512136
US/Pennsylvania	1561344803
US/Texas	645094190
US/Oregon	530427154
US/Nebraska	223825624
US/Washington	222056908
IT/Veneto	204435274
US/New York	96753495
CA/Quebec	71570098
GB/England	40857592
US/Indiana	13232632
US/Florida	10873700
