date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-07-17	11473	7	7	0
2026-07-22	4578	2	2	0
2026-07-23	2289	1	1	0
2026-08-11	4578	2	2	0
2026-08-12	191509	30	30	0
2026-08-14	198310	25	25	0
2026-08-15	14	1	1	0
2026-08-17	42358	2	2	0
2026-08-19	63724	8	8	0
2026-08-21	165983	14	14	0
