week_start	sub-Rat10/sub-Rat10_ses-20221215T120000_behavior.nwb	sub-Rat2/sub-Rat2_ses-20220429T120000_behavior.nwb	sub-Rat3/sub-Rat3_ses-20220530T120000_behavior.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-10z48pa_image.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-1vnvq86_image.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-1xl94wt_image.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-1xl94wt_image/c8a137e4-5d06-4a5c-83a4-e95c81b74a52_external_file_0.avi	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-n5g9s7_image.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-ogozfz_image.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-v56xyv_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-1fu2bxj_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-1j0tzjv_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-1j0tzjv_image/a6f023a7-d247-4b8f-8954-9035c900dde7_external_file_0.avi	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-1n298b2_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-1nzpgz3_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-8w20wz_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-l5a7yv_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-nh21tz_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-rufbb4_image.nwb	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-11qxj7t_image.nwb	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-11qxj7t_image/0d53869e-fafd-4f4d-a6b2-93df280fc4f6_external_file_0.avi	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-1egiah6_image.nwb	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-1il4fcc_image.nwb	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-ocvr7w_image.nwb	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-wl3kex_image.nwb	sub-Rat4/sub-Rat4_ses-20220530T120000_behavior.nwb	sub-Rat5/sub-Rat5_ses-20220810T120000_behavior.nwb	sub-Rat7/sub-Rat7_ses-20221220T120000_behavior.nwb	sub-Rat8/sub-Rat8_ses-20221220T120000_behavior.nwb	sub-Rat9/sub-Rat9_ses-20221215T120000_behavior.nwb
2023-10-09	944400	375112	353384	193952	193952	193952	44778654720	193952	193952	193952	193952	193952	44778654720	193952	193952	193952	193952	193952	193952	193952	6480199680	193952	193952	193952	193952	390864	330488	390680	357616	342960
2023-10-16	0	0	0	127936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	0	0	255872	0	0	0	0	0	193952	0	0	0	0	0	193952	0	0	0	0	0	0	0	0	193952	0	0	0	0	0
2023-10-30	0	0	0	511744	0	0	0	0	0	193952	0	0	0	193952	193952	387904	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-06	0	0	0	255872	0	0	0	0	0	0	0	0	0	0	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	0	0	0	321888	0	0	0	0	0	193952	0	0	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-20	0	0	0	709792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	0	0	0	515840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	0	0	383808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-11	0	0	0	0	0	0	0	0	0	193952	0	0	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	0	0	0	0	0	0	0	0	0	387904	0	0	0	0	0	387904	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	4407200	5251568	4947376	2715328	2715328	2715328	0	2715328	2715328	2909280	2715328	2715328	0	2715328	2715328	2909280	2715328	2715328	2652392	1551616	0	1551616	1551616	1163712	1163712	2085336	1982928	2344080	2145696	2057760
2024-03-04	0	0	0	581856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	1134080	1131232	1288416	581856	581856	581856	0	581856	581856	581856	581856	581856	0	581856	581856	581856	581856	581856	581856	581856	0	581856	581856	581856	581856	1438336	1196832	1437600	1305344	1246720
2024-03-18	2518400	3000896	2827072	2074464	2074464	2074464	0	2074464	2074464	2074464	2074464	2074464	0	2074464	2074464	2074464	2074464	2074464	2074464	2074464	0	2074464	2074464	2074464	2074464	3126912	2643904	3125440	2860928	2743680
