week_start	sub-1294084014/sub-1294084014_ses-1294101045_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294103404_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294106366_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294107831_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294111493_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294114588_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294116400_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294120168_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294130223_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294130835_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294140729_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294143958_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294148128_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294152370_icephys.nwb	sub-1294084014/sub-1294084014_ses-1294153441_icephys.nwb	sub-1295011705/sub-1295011705_ses-1295031582_icephys.nwb	sub-1295011705/sub-1295011705_ses-1295032129_icephys.nwb	sub-1295011705/sub-1295011705_ses-1295037231_icephys.nwb	sub-1295011705/sub-1295011705_ses-1295041090_icephys.nwb	sub-1295011705/sub-1295011705_ses-1295045151_icephys.nwb	sub-1303030608/sub-1303030608_ses-1304898306_icephys.nwb	sub-1303030608/sub-1303030608_ses-1304907761_icephys.nwb	sub-1303030608/sub-1303030608_ses-1304917096_icephys.nwb	sub-1303030608/sub-1303030608_ses-1304922448_icephys.nwb	sub-1365560357/sub-1365560357_ses-1365603187_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366429068_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366430261_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366441851_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366443703_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366459048_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366489137_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366493002_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366671660_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366682676_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366705878_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366934439_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366936748_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366937288_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366942391_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366945655_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366949984_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366966634_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366967970_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366976862_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366989532_icephys.nwb	sub-1365560357/sub-1365560357_ses-1366990285_icephys.nwb	sub-1365560357/sub-1365560357_ses-1367002288_icephys.nwb	sub-1365560357/sub-1365560357_ses-1367005289_icephys.nwb	sub-1365560357/sub-1365560357_ses-1367013792_icephys.nwb	sub-1487392964/sub-1487392964_ses-1487416928_icephys.nwb
2026-06-08	214192776	227405332	300331457	248461517	296230908	195251764	375959950	297758756	369716450	150298172	211681473	456507121	318461291	127495115	267516329	337867675	225965170	121216676	106037217	275817872	219459228	234439836	299197633	214494020	101243069	103496516	258447283	119154646	165118595	141641633	251277475	105218714	170226761	211006456	163609533	112645398	140261383	121023014	123049712	168432468	71650376	67066384	105761950	257995315	164592994	358844003	163493310	267433813	101424372	159784594
2026-06-15	0	0	77099711	109897361	0	0	0	68170439	0	42122372	142338739	0	0	0	0	0	0	0	0	0	78105154	82126436	0	52738670	0	38081604	88134465	43413446	0	0	96148588	0	0	0	0	0	0	45012050	0	58619915	27513716	27139692	42728372	0	60317966	92547832	0	91333315	37169048	58085860
2026-06-22	102784134	105627196	77099711	59058287	154254244	45582055	86846306	2358288	96357352	0	2947860	100722868	108890402	45279305	95035766	123298944	85680377	44189234	38710051	86267012	80873854	0	77797585	2358288	81266793	0	0	3471924	57910013	54634617	93495920	30013027	0	56346828	47554711	0	42319555	0	46663848	1113636	3144384	0	39251782	90617221	0	2489304	61792380	3078876	0	61047418
2026-06-29	50180169	52813598	77099711	59058287	145345156	45582055	86846306	68170439	96357352	42122372	150388242	95678752	108890402	45279305	184306828	240964200	85680377	44189234	79888129	76113272	155065892	82126436	77797585	111406294	38903319	73924208	88134465	43413446	57910013	103635546	90482552	58499181	60559239	56346828	116304206	43408490	40157791	45012050	44240052	58619915	81768156	50809052	39251782	90617221	60317966	92547832	118606152	182666630	80571216	61047418
2026-07-06	214034473	367487772	362495560	414738209	504038481	137037159	288604546	176324481	357956186	204832829	176419996	224963681	0	165181569	74925676	2685828	56029038	0	41309094	63747056	3013368	65165864	0	1834224	0	0	71652322	37787590	0	2947860	98768908	28486154	57470146	50396864	1113636	40465138	40234402	40519032	49647528	0	5895720	0	42597356	65558634	45920124	87985960	56252416	85073542	0	58085860
2026-07-13	203763508	205084890	231299133	177174861	370327354	182270288	260538918	267021095	289072056	126367116	362350010	373117584	627084342	179347384	364419072	680184956	325223088	215965956	154228375	301569056	376898902	405520036	374104198	272798298	183971910	179071328	353127376	175750544	451128922	249932686	347905168	119325926	181677717	169040484	233972983	163475572	120473373	166612900	132720156	175859745	136407368	126358224	117755346	355063008	180953898	370191328	177909228	357796200	111507144	244189672
2026-07-20	100360424	105627196	215206655	118116574	145345156	91164110	173692612	136340878	192714704	188974524	150388242	191357504	217780804	90558610	184306828	240964200	171360754	88378468	77420102	152226544	155065892	164252872	155595170	111406294	77806638	108151504	176268930	86826892	174843787	103635546	180965104	60026054	182467844	166615344	171331944	86816980	113001877	90024100	129708444	244204643	81688872	54279384	110611558	181234442	177086966	274431868	177843384	182666630	154994812	163022394
2026-07-27	35503675	225065942	48669490	25386224	50459354	15298280	224709796	22224588	27950712	63426608	15392404	31059604	13150190	13762280	33072402	9416312	24067788	12496588	11427420	256140620	20995788	25390712	24374988	26449151	2481323	2077484	18333388	2084526	104651157	0	0	2600680	0	0	0	0	0	0	0	0	12083720	0	0	0	0	0	0	248183536	0	0
2026-08-03	14651243	0	0	189485725	0	0	36418680	0	0	0	0	0	0	0	0	0	0	0	99131290	32207800	0	0	0	0	0	13026008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45257103	0	0
2026-08-10	43908389	82071022	0	35772107	0	7419656	93101012	0	0	38303776	0	0	0	0	0	0	0	0	27245976	39560260	0	0	0	0	0	0	0	0	43400086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38644871	0	0
