week_start	multiplane-ophys_755252_2025-01-07_11-58-18_processed_         2025-10-10_07-44-06.nwb.zarr	multiplane-ophys_755252_2025-01-08_13-57-01_processed_         2025-10-10_06-38-49.nwb.zarr	multiplane-ophys_755252_2025-01-13_09-33-41_processed_         2025-10-10_06-39-53.nwb.zarr	multiplane-ophys_755252_2025-01-14_12-09-40_processed_         2025-09-05_21-16-25.nwb.zarr	multiplane-ophys_767018_2025-02-14_13-49-52_processed_         2025-09-08_04-05-02.nwb.zarr	multiplane-ophys_767018_2025-02-17_12-20-01_processed_         2025-09-08_04-07-43.nwb.zarr	multiplane-ophys_767018_2025-02-18_12-28-32_processed_         2025-09-08_04-39-08.nwb.zarr	multiplane-ophys_767018_2025-02-19_14-02-36_processed_         2025-09-08_04-57-26.nwb.zarr	multiplane-ophys_767022_2025-02-27_09-19-01_processed_         2025-09-06_08-45-35.nwb.zarr	multiplane-ophys_767022_2025-03-04_08-55-07_processed_         2025-09-06_07-56-20.nwb.zarr	multiplane-ophys_767022_2025-03-05_09-15-47_processed_         2025-09-06_08-26-07.nwb.zarr	multiplane-ophys_767022_2025-03-06_09-17-27_processed_         2025-09-06_09-56-18.nwb.zarr	multiplane-ophys_782149_2025-05-02_10-55-09_processed_         2025-09-12_08-26-56.nwb.zarr	multiplane-ophys_782149_2025-05-05_11-39-29_processed_         2025-09-12_07-52-58.nwb.zarr	multiplane-ophys_782149_2025-05-06_09-18-12_processed_         2025-09-12_08-26-28.nwb.zarr	multiplane-ophys_782149_2025-05-07_09-10-44_processed_         2025-09-12_08-33-50.nwb.zarr	multiplane-ophys_788406_2025-07-23_12-31-02_processed_         2025-10-01_03-59-42.nwb.zarr	multiplane-ophys_788406_2025-07-25_11-13-57_processed_         2025-10-01_03-37-17.nwb.zarr	multiplane-ophys_788406_2025-07-28_12-22-00_processed_         2025-10-01_04-27-40.nwb.zarr	multiplane-ophys_788406_2025-07-29_10-20-34_processed_         2025-10-01_05-25-39.nwb.zarr	multiplane-ophys_790322_2025-07-12_10-41-51_processed_         2025-10-06_23-30-36.nwb.zarr	multiplane-ophys_790322_2025-08-02_12-29-52_processed_         2025-09-30_22-47-19.nwb.zarr	multiplane-ophys_790322_2025-08-05_08-54-42_processed_         2025-09-30_23-08-06.nwb.zarr	multiplane-ophys_790322_2025-08-06_09-43-14_processed_         2025-09-30_23-47-53.nwb.zarr
2026-04-06	83480516	0	41775118	0	68180205	58106966	55804084	0	91909821	67518941	70375055	46411388	0	0	0	0	0	0	0	70516579	86789073	50189773	44778190	59412731
2026-04-13	27094193	63208471	21424658	75576755	16704667	17584484	28463244	83758316	40244967	34132198	31659107	18784951	136401875	109987289	105956068	87090460	105650526	108575340	92001375	27248774	41245425	28418394	45784751	33206594
