region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA	15788012152	2993	27	9
AWS/us-east-1	41652426400	5005	54	27
GitHub	760303028	2293	319	203
VPN	42709445508	1062	217	83
USA/MA	71819205844	1662	0	69
CHN	68402018104	5003	0	27
AWS/ap-southeast-1	256332804	46	46	0
MEX/CMX	215701152	366	82	51
USA/MD	41476017300	64	37	5
USA/DC	53847576	20	20	0
AWS/us-east-2	609733952	265	25	12
AWS/us-west-2	22091060	38	6	2
USA/WA	613793856	7	3	2
JPN/12	277529088	9	2	2
USA/NC	15656412	1	1	0
BGD/C	28364964	2	2	0
MEX/HID	1375668	1	1	0
TUR/34	7849364	23	4	3
ECU/P	12184488	1	1	0
COL/ANT	17556144	1	1	0
ZAF/GP	2030748	1	1	0
PAK/PB	5109624	1	1	0
USA/NY	503831940	644	72	14
USA/IL	7779600	14	2	2
PSE	10481280	1	1	0
BGD	3995988	1	1	0
SEN/DK	11070852	1	1	0
OMN/MA	917112	1	1	0
BRA/SP	53126988	5	5	0
CHE/ZH	14215236	1	1	0
GEO/SJ	13887696	1	1	0
USA/PA	550930688	371	38	16
USA/CA	96192772	25	4	6
CHL/RM	599372288	1546	4	4
MAR/07	4127004	1	1	0
MAR/04	9171120	1	1	0
IRQ/BG	10022724	1	1	0
URY/MA	22010688	1	1	0
VNM/DN	9498660	1	1	0
GCP/us-central1	9167539536	466	1	5
GCP/us-east1	1516166656	86	0	2
GCP/us-west4	429041664	24	0	1
USA/VT	268494288	8	1	1
GCP/us-west1	167260416	9	0	1
USA/TN	277416188	10	2	1
CAN/BC	32	4	0	1
USA/NH	160352	7	0	1
CHN/SH	405566752	2	2	0
VNM/26	10284756	1	1	0
IRQ/NI	2816844	1	1	0
JOR/AM	2292780	1	1	0
CAN/ON	25512992	38	1	1
FRA/IDF	147592504	26	7	4
EST/37	137232816	1	1	0
CHE/VD	2653424	10	2	1
GCP/asia-south1	1224312	4	1	1
CHN/GD	819200	8	0	1
VNM/HN	12446520	1	1	0
SGP	6878340	1	1	0
PAN/4	7926468	1	1	0
IDN/YO	7402404	1	1	0
BRA/PR	2030748	1	1	0
PSE/RBH	9040104	1	1	0
TUR/06	7140372	1	1	0
MYS/14	1113636	1	1	0
USA/VA	40000032	6	0	1
