week_start	sub-4122/sub-4122_ses-20250507T152927_ecephys.nwb	sub-4122/sub-4122_ses-20250507T152930_ecephys.nwb	sub-4122/sub-4122_ses-20250507T152933_ecephys.nwb	sub-4127/sub-4127_ses-20250507T152941_ecephys.nwb	sub-4127/sub-4127_ses-20250507T152953_ecephys.nwb	sub-4127/sub-4127_ses-20250507T153010_ecephys.nwb	sub-4127/sub-4127_ses-20250507T153020_ecephys.nwb	sub-4127/sub-4127_ses-20250507T153032_ecephys.nwb	sub-4127/sub-4127_ses-20250507T153048_ecephys.nwb	sub-4127/sub-4127_ses-20250507T153100_ecephys.nwb	sub-4127/sub-4127_ses-20250507T153115_ecephys.nwb	sub-4127/sub-4127_ses-20250507T153128_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153152_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153232_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153300_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153326_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153417_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153508_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153548_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153621_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153647_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153715_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153745_ecephys.nwb	sub-4131/sub-4131_ses-20250507T153813_ecephys.nwb	sub-4138/sub-4138_ses-20250507T153843_ecephys.nwb	sub-4138/sub-4138_ses-20250507T153922_ecephys.nwb	sub-4138/sub-4138_ses-20250507T154009_ecephys.nwb
2025-05-05	662345456	204205020	127323696	142606336	427618900	426842420	75482324	280633568	136689008	155056440	230619420	104790300	1442640468	1359212944	365459804	1289855296	1472198912	1715337528	1632931016	1421932772	859765020	1176468672	1115484756	1157493304	1408996028	1604058352	1774881232
2025-05-12	252830960	0	0	0	0	0	54488660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-19	156090872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-26	23928616	0	0	0	0	0	0	0	0	0	0	0	4248936	4389036	4943936	6416684	57178960	0	0	0	0	0	0	0	1029992	0	0
2025-06-09	34284624	4846412	19383212	4554792	8546716	8214660	9369068	6104524	6404672	1849120	3471924	0	3094284	4323528	755520	894984	11201868	941224	3144384	1472744	2939680	0	3131500	4127004	960360	4127004	0
2025-06-23	401200	553920	599200	667008	2074576	953400	110592	601296	263184	862688	636720	737360	687144	1341880	136976	975680	227800	451176	681472	636192	135400	342080	435504	757520	638112	488136	2069200
2025-06-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19999744	0	0	0	0	0	0	0	0	0	0
2025-07-14	160480	276960	479360	20500256	889104	1589000	55296	200432	350912	862688	424480	294944	687144	1073504	342440	731760	455600	601568	681472	318096	406200	513120	580672	454512	319056	650848	1655360
2025-07-28	0	0	0	157286400	0	0	0	0	0	615259024	531067120	0	0	0	0	1363148800	17883684	0	0	1363148800	0	1620139272	0	0	0	838860800	0
2025-08-04	0	0	0	0	0	0	0	1241394800	0	0	0	0	0	0	0	0	1520435200	0	1450478792	0	0	0	0	1258291200	996147200	0	0
2025-08-11	277529056	0	104857600	0	0	0	0	0	596346592	0	0	405529328	1938307752	1523409704	475205248	0	0	996147200	0	0	0	0	0	0	0	0	2070450472
2025-08-18	111047536	157286400	0	0	0	0	137232816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681574400	0	0	0	0
2025-08-25	32	0	0	0	637123184	0	0	0	0	0	0	0	0	0	0	0	1258143160	2018645840	0	1272084712	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	734003200	350602096	0	367001600	0	0	0	0	0	0	0	0	0	848092776	0	681574400	0	943718400	0	0
2025-09-08	0	0	0	282740272	0	734003200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	11065232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	400816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	6690376304	19024080	412536368	17359620	1073323632	5895720	147845112	8516040	676049224	4127004	8974596	520409652	16835556	2637516104	8712564	2596181780	0	9957216	6157752	8516040	1230095708	1994228728	9171120	923498152	6419784	2655438604	1866465280
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	235929600	0	0	0	0	0	0	0	0	0	1106247680	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	1481466664	456130560	0	0	0	1074790400	0	0	0	0	0	0	0	0
2026-01-05	0	0	193385776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1462763520	0
2026-01-12	0	0	0	0	0	0	0	0	0	0	0	371573720	0	0	2117899712	0	10971333428	0	0	0	0	557313888	0	1652789256	0	0	5923480080
2026-01-19	200176496	224983600	0	481969712	0	0	0	0	0	435159040	0	0	0	3955361244	0	1352663040	0	0	0	2438868504	0	0	0	0	0	0	0
2026-01-26	40221944	0	0	288358400	587202560	0	74318256	602931200	271958896	0	515338480	0	1366833832	0	0	0	2055208960	1158676480	0	0	0	0	1148190720	0	0	0	0
2026-02-02	0	0	0	0	0	444604496	0	0	0	0	0	0	0	0	0	0	0	0	0	1038090240	606920296	0	0	0	907018240	0	0
2026-02-16	0	614400	0	307200	614400	13953204	145552332	16991400	8626716	7185540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	5225556	4258020	4454544	0	5563052	0	0	0	0	0	4585560	0	996944552	0	0	0	0	0	0	0	0	0	0	729096	0	0	0
2026-03-02	0	0	4520052	4127004	4127004	4127004	0	0	5090332	1166224	4192512	0	0	0	0	735240	0	0	4454544	0	4520052	0	0	0	0	0	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788712	0	807928	748552	0	0	0	0
2026-03-16	0	0	0	0	0	0	0	0	0	0	0	12839568	0	0	0	0	0	0	9302136	0	0	0	0	0	0	0	11070852
2026-03-23	0	204800	4443752	0	0	0	0	0	0	0	0	0	0	0	0	0	1528400	0	0	0	0	0	0	0	0	0	5065168
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6035012	0	0	0	0	0	0	0	0	0	204800
2026-04-06	31506944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
