week_start	sub-31/sub-31_ses-LE31-S1-01_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-02_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-03_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-04_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-05_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-06_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-07_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-08_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-09_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-10_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-11_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-12_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-13_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-01_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-02_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-03_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-04_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-05_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-06_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-07_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-08_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-09_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-10_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-11_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-01_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-02_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-03_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-04_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-05_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-06_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-07_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-08_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-09_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-01_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-02_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-03_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-04_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-05_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-06_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-07_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-08_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-09_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-10_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-11_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-12_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-01_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-02_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-03_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-04_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-05_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-06_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-07_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-08_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-09_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-10_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-11_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-12_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-13_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-01_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-02_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-03_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-04_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-05_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-06_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-07_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-08_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-09_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-10_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-11_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-12_ecephys.nwb
2026-01-26	7040450	21970236	16721380	29454896	18526296	22721384	16023150	27230982	22907560	21152070	12591618	23832348	5458316	5432336	3313114	7388822	4094350	11357370	4267584	5402944	15686832	18934304	6002560	5158782	6130080	17933388	17862500	25783008	23229984	13002182	19702624	8188826	9673392	6712068	16438394	20830504	29684294	19081638	7045178	12444360	8669712	10122114	4713084	4976202	8343486	7782288	13578256	5475400	16747872	7149100	7599552	13615760	6247280	5856632	21654280	17237256	16379840	19988128	4295256	5234256	5630208	3625800	6651216	3331850	7268860	3590830	6665514	6638976	4591168	4818394
2026-02-02	3759800	5462220	7997378	15663652	10796352	11622114	19500336	22652204	19939460	12355610	9622814	9852672	6764704	5227536	946604	5892130	2292770	9685840	4267584	2026104	7843416	6952670	3930800	3439188	5363820	15058938	11627700	9999720	6699792	3651394	10829340	9008026	5920240	3050940	9496530	9562844	17754502	4813182	4725070	8296240	3699142	6236076	3665732	4976202	10595682	4044744	11642892	2737700	15197652	2165210	3617832	6675104	6247280	4168680	5165084	9503640	24018024	17410798	3068040	1163168	4926432	2900640	4182610	2101510	4361316	4227076	4341276	3688320	3443376	2065026
2026-02-09	6733250	15532440	15015504	14873936	10534320	22319270	14401236	9098830	14545170	10220120	7370412	16846604	5073528	4458680	3313114	4426984	4585540	6514450	3556320	4052208	10930670	9203364	3001280	4012386	1532520	16387750	9352200	14454264	9976592	8326788	18724596	7369626	4674752	3661128	10412796	10153570	5571848	17135952	4640216	7972280	4970570	6236076	2618380	4265316	8343486	4351944	8729610	2737700	14731492	4023220	5005720	10145432	5342600	3375904	12158340	17237256	15002468	19674918	2299380	3489504	4222656	3625800	5142012	4203020	2907544	2647384	4341276	5901312	2869480	4130052
2026-02-16	5774950	14438916	1160138	18788504	5969468	5294874	9160596	4906318	5809972	9815490	3992406	6763832	999188	2716168	2366510	2213492	2497570	4092990	2133792	675368	3087254	3884882	2378960	1719594	2298780	739790	5279164	9323388	5844044	875798	8873284	2924354	3122064	1220376	6941864	4781422	5768372	5666388	0	4848160	2295428	4157384	1047352	2132658	3839094	2022372	5826564	1642620	9651444	2818680	1899888	2723152	2218960	3375904	834228	5046824	786664	9928556	1227216	2326336	2111328	1450320	1918804	2203910	1453772	2749784	2894184	737664	2295584	2753368
2026-02-23	4546150	19067658	8326952	23586500	14988864	21597462	2145978	10919490	18803190	7762520	14036980	20556948	5380728	5227536	3313114	5143784	4790340	7264380	4978848	4727576	10096216	9203364	6207360	3439188	4597560	10866426	8510300	17596896	6699792	4675394	18724596	5966190	9673392	6101880	7858130	10153570	11864284	9808140	4640216	6572200	4590856	5964730	3665732	3554430	5834988	6374316	9697292	2737700	19062624	4125620	7599552	6675104	6042480	5063856	12992568	13370448	23584584	14252084	2454432	1163168	4222656	3625800	4387410	2767880	5815088	2852184	4341276	2212992	2869480	4130052
2026-03-02	1093550	634854	3344276	0	0	0	0	0	0	0	0	4192512	691988	0	0	0	0	0	0	0	3921708	0	0	0	0	0	0	0	0	0	3947628	1520918	0	0	3470932	0	5336044	2833194	2320108	2424080	2295428	0	0	0	665298	0	0	547540	0	1409340	0	2723152	2014160	0	834228	0	0	771766	613608	581584	0	1450320	0	0	0	0	0	737664	0	688342
2026-03-09	0	0	0	0	5559868	0	0	4906318	0	0	0	0	0	0	0	0	0	2421460	0	0	0	0	0	0	0	0	0	0	0	2775596	0	0	0	0	0	0	0	0	0	0	0	2078692	0	710886	0	2022372	0	0	0	0	693944	0	0	1687952	0	0	0	0	0	0	0	0	1714004	0	0	0	0	0	0	0
2026-03-16	8305950	23833944	7476616	28822088	17150628	19745106	17660850	40836300	24109338	12945182	12464788	15892644	5515516	4253880	2839812	10495456	7181492	6713310	6990948	5992516	9857014	4701976	5531608	5158782	7662600	16060760	8986136	14234736	8206476	11102384	30143508	7355392	9955764	5491692	12967462	12839644	32523484	17989158	8810106	6227408	9153666	8669186	3142056	6276660	5286000	7776306	14641322	4380320	12555360	7700170	7953736	9414108	9550892	6446204	22243852	30016824	14414600	21438070	8590512	4071088	4926432	4350960	7075758	7073300	4361316	6191540	5622820	7294056	8034544	6195078
2026-03-23	2973450	8888862	852938	6585364	4843436	860670	4389036	0	0	4405324	1568006	4061496	1691176	2716168	473302	748346	1596780	1499860	711264	675368	4756162	2250694	1551840	1719594	766260	589572	841900	7159236	1048128	875798	5903684	3041836	1245488	0	3144238	1047674	4454544	2833194	2320108	1400080	2807428	2078692	0	2132658	1586898	857586	0	1095080	6018928	755870	1611056	1975976	1809360	3201316	0	5046824	9892844	5029786	613608	1163168	2111328	2900640	2468606	768770	2907544	2113538	1447092	2212992	573896	2065026
2026-03-30	0	5242854	2491338	0	5017232	0	0	0	0	0	0	5788316	999188	0	0	0	0	1671530	0	675368	3087254	2250694	0	0	766260	6064590	0	0	4132548	0	3947628	1520918	0	610188	2554666	2686074	4613622	0	0	0	0	0	523676	0	0	0	0	547540	0	0	1205944	1975976	0	895176	0	3866808	0	0	0	581584	0	725160	0	666370	0	636246	0	0	0	0
2026-04-06	0	5242854	0	0	0	7823870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	1879900	634854	852938	4127004	8909088	4847592	9684660	4127004	4389036	0	1432804	9118848	999188	973656	946604	1465146	1555870	5014590	711264	0	0	2250694	1551840	573198	766260	4932302	1683800	1745712	0	1899798	1956056	0	3429264	1220376	3470932	0	722422	0	2320108	1724040	851604	1831474	523676	1421772	1586898	1164786	4601552	547540	807864	755870	1387888	0	720588	0	834228	1180016	4323528	4258020	1227216	2326336	703776	3634096	1475190	0	726886	636246	672346	0	1147792	2031764
2026-04-27	0	0	0	0	0	0	0	0	0	0	0	0	0	973656	0	0	0	1671530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2554666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
