region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	13689422684	37728	5040	4270
VPN	1252724414	930	487	84
AWS/ap-southeast-1	267067010	158	158	0
USA	83248310	35	28	2
AUS/NSW	184843432	70	70	0
GH-actions	1939306486	6106	1063	1079
USA/MA	216394410	92	0	76
AWS/us-east-1	521989862	232	225	3
USA/CA	591357688	1000	284	213
CHN	653919504	268	256	2
CAN/ON	369686864	140	140	0
USA/DC	168932166	70	70	0
MEX/CMX	86039908	382	69	49
AWS/us-east-2	64833058	18	18	0
JPN/26	232861202	84	84	0
JPN/47	184843432	70	70	0
AWS/us-west-2	4970686	3	3	0
ALB/11	1465146	1	1	0
BGR/22	1465146	1	1	0
CRI/SJ	1465146	1	1	0
VNM/HN	1465146	1	1	0
TUN/21	1465146	1	1	0
ZAF/GP	1465146	1	1	0
COL/ANT	1465146	1	1	0
JAM	1113636	1	1	0
USA/WA	43703368	18	18	0
FRA/HDF	24276872	5	5	0
GCP/us-central1	21153602	7	7	0
FRA/IDF	39881212	176	25	13
USA/NY	5242854	1	1	0
USA/MD	3264025	13	1	1
USA/IL	5008424	13	2	2
ISR/TA	1093550	1	1	0
CHE/VD	26891982	46	6	6
SGP	22718526	23	6	4
CHN/GS	17877094	2	2	0
CHL/RM	2691612	5	5	0
GBR/SCT	1187771	2723	2	1
IRQ/KA	2250694	1	1	0
VNM/SG	2250694	1	1	0
SAU/01	573198	1	1	0
DZA/31	573198	1	1	0
COL/DC	573198	1	1	0
MYS/13	573198	1	1	0
JOR	573198	1	1	0
EST/37	473302	1	1	0
BOL/S	473302	1	1	0
VNM/21	473302	1	1	0
BGD	473302	1	1	0
HKG	946604	2	2	0
BOL/C	711264	1	1	0
DEU/HE	711264	1	1	0
BGD/C	711264	1	1	0
UKR/63	711264	1	1	0
BRA/RS	711264	1	1	0
