week_start	sub-Fish01-GCaMP-vlgut-FBd-5dpf-RandomWave/sub-Fish01-GCaMP-vlgut-FBd-5dpf-RandomWave_ses-20210818T112556_behavior+ophys.nwb	sub-Fish02-GCaMP-vlgut-FBv-5dpf-RandomWave/sub-Fish02-GCaMP-vlgut-FBv-5dpf-RandomWave_ses-20210818T173531_behavior+ophys.nwb	sub-Fish13-GCaMP-vlgut-FBv-5dpf-RandomWave/sub-Fish13-GCaMP-vlgut-FBv-5dpf-RandomWave_ses-20210830T100716_behavior+ophys.nwb	sub-Fish31-GCaMP-vlgut-FBd-5dpf-RandomWave/sub-Fish31-GCaMP-vlgut-FBd-5dpf-RandomWave_ses-20210920T120959_behavior+ophys.nwb	sub-Fish32-GCaMP-vlgut-FBv-5dpf-RandomWave/sub-Fish32-GCaMP-vlgut-FBv-5dpf-RandomWave_ses-20210920T181347_behavior+ophys.nwb	sub-Fish41-GCaMP-vlgut-FBv-7dpf-RandomWave/sub-Fish41-GCaMP-vlgut-FBv-7dpf-RandomWave_ses-20210929T173736_behavior+ophys.nwb	sub-Fish47-GCaMP-vlgut-FBd-7dpf-RandomWave/sub-Fish47-GCaMP-vlgut-FBd-7dpf-RandomWave_ses-20211124T174401_behavior+ophys.nwb	sub-Fish58-GCaMP-vlgut-FBd-5dpf-RandomWave/sub-Fish58-GCaMP-vlgut-FBd-5dpf-RandomWave_ses-20220525T092829_behavior+ophys.nwb
2025-08-04	0	0	0	0	0	0	3163936560	3418020679
2025-08-11	0	2778726400	0	2103873234	0	2984015068	0	0
2025-08-18	3250585600	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	2433945482	0	0	0
2025-09-01	0	0	0	0	0	2411724800	0	0
2025-09-29	0	0	0	0	0	0	0	53156679
2025-10-06	0	0	0	0	0	0	0	1576798280
2025-11-24	26727264	39173784	42842232	44086884	25548120	12839568	29413092	10546788
2025-12-15	3745669095	7771321596	0	3313797130	7818708572	3665589468	7803609464	3998864483
2025-12-29	0	2186280960	2641693284	0	0	0	0	3045776199
2026-01-19	2235791883	0	0	0	0	0	2212495360	0
2026-01-26	0	0	0	1978044114	0	2365355228	0	0
2026-02-02	0	0	0	0	2264924160	0	0	0
2026-02-16	9573144	12365160	14150428	15398868	6232236	13478796	11468388	1024000
2026-02-23	0	0	0	40001234	0	0	0	57414699
2026-03-02	158140980	38028766	0	0	56319882	36540344	36831196	174767180
2026-03-09	0	0	18625408	0	0	0	0	0
2026-03-16	0	0	0	0	0	0	0	11398392
2026-03-23	17690372	20480000	101586316	589572	23366840	16872668	20787200	124016785
2026-03-30	0	0	0	0	59612280	0	0	0
2026-04-06	15974400	0	0	0	22425600	0	16312604	0
