week_start	sub-Temp-pref-F20-B20-5dpf-01-unsorted-nac/sub-Temp-pref-F20-B20-5dpf-01-unsorted-nac_ses-20230802T103100_behavior.nwb	sub-Temp-pref-F20-B20-5dpf-07-unsorted-nac/sub-Temp-pref-F20-B20-5dpf-07-unsorted-nac_ses-20230802T142700_behavior.nwb	sub-Temp-pref-F20-B20-5dpf-08-unsorted-nac/sub-Temp-pref-F20-B20-5dpf-08-unsorted-nac_ses-20230802T150300_behavior.nwb	sub-Temp-pref-F20-B20-5dpf-09-unsorted-nac/sub-Temp-pref-F20-B20-5dpf-09-unsorted-nac_ses-20230802T153300_behavior.nwb	sub-Temp-pref-F20-B20-5dpf-10-unsorted-nac/sub-Temp-pref-F20-B20-5dpf-10-unsorted-nac_ses-20230802T160500_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-02-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-02-unsorted-nac_ses-20230802T111000_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-03-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-03-unsorted-nac_ses-20230802T114400_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-04-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-04-unsorted-nac_ses-20230802T122700_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-05-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-05-unsorted-nac_ses-20230802T125800_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-06-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-06-unsorted-nac_ses-20230802T135600_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-11-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-11-unsorted-nac_ses-20230803T105700_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-12-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-12-unsorted-nac_ses-20230803T113000_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-13-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-13-unsorted-nac_ses-20230803T120100_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-14-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-14-unsorted-nac_ses-20230803T123300_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-15-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-15-unsorted-nac_ses-20230803T130500_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-16-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-16-unsorted-nac_ses-20230803T141800_behavior.nwb	sub-Temp-pref-F20-B20-6dpf-17-unsorted-nac/sub-Temp-pref-F20-B20-6dpf-17-unsorted-nac_ses-20230803T153400_behavior.nwb
2025-03-10	6716192	5960314	4927317	3609410	7754271	6275110	6431616	6349918	6485632	6610884	6758843	6739371	6046020	6168704	8356150	10541057	6847478
2025-06-16	8880644	9173342	9253589	9246066	9263363	9225994	9251484	9300802	9305556	9234228	9185607	9297039	9259048	8660808	18449870	18079629	9208734
2025-06-23	350970	349860	350148	350958	350994	351144	351000	351030	350484	350664	350880	350700	350796	350628	349332	349554	350406
2025-07-14	350970	349860	350148	350958	350994	351144	351000	351030	350484	350664	350880	350700	350796	350628	349332	349554	350406
2025-07-21	0	0	0	0	0	9225994	0	0	0	0	0	0	0	8660808	0	0	0
2025-07-28	0	0	0	9246066	9263363	0	0	0	0	9234228	9185607	0	0	0	0	0	9208734
2025-08-04	0	0	0	0	0	0	0	9300802	0	0	0	0	0	0	0	0	0
2025-08-11	8880644	0	9253589	0	0	0	0	0	9305556	0	0	9297039	0	0	0	18079629	0
2025-08-18	0	9173342	0	0	0	0	9251484	0	0	0	0	0	9259048	0	18449870	0	0
2025-08-25	0	0	0	0	0	0	0	0	0	0	9185607	0	0	0	0	18079629	0
2025-09-01	0	0	0	9246066	0	0	0	0	0	0	0	0	0	0	0	0	9208734
2025-09-29	0	6078902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	21685558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	9225994	0	0	0	0	0	0	0	8660808	0	0	0
2025-12-15	23460484	28434916	21110537	23526810	23544107	17348986	21501480	26921120	26079024	25084764	17701647	26263611	28540820	23531124	54979948	29019465	22609980
2025-12-22	8880644	0	0	0	0	0	0	9300802	0	0	0	9297039	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	9251484	0	0	0	0	0	0	0	0	0	0
2026-01-12	26641932	27520026	0	0	0	27677982	0	27902406	0	0	27556821	27891117	27777144	25982424	55349610	0	0
2026-01-19	0	0	0	0	9263363	0	27754452	0	0	0	0	0	0	0	0	0	0
2026-01-26	0	0	9253589	9246066	0	0	0	0	9305556	9234228	0	0	0	0	0	0	9208734
2026-02-02	0	0	0	0	0	0	0	0	0	0	9185607	0	0	0	0	18079629	0
2026-02-16	18375688	16410104	19121578	16205304	18197279	19066388	17464812	18300226	16601772	14371080	0	0	0	0	0	0	0
2026-02-23	0	5816870	5925733	5787194	0	5898138	6407012	0	0	7937120	0	5371335	0	0	0	0	0
2026-03-02	5999280	0	0	5590670	6836767	0	0	6009838	0	0	5649163	0	6684884	5787720	6192874	7239681	5684354
2026-03-09	0	0	0	0	0	0	0	0	5957360	0	0	0	0	0	0	0	0
2026-03-16	16610588	15069062	0	0	9263363	24478724	17097588	17554810	0	0	0	18594078	14935824	17321616	13494648	0	0
2026-03-23	0	4536604	4434204	0	17824571	0	9251484	0	0	0	0	0	0	0	13306648	12599270	0
2026-03-30	0	0	0	0	0	9225994	18502968	0	0	0	0	0	0	0	1158804	1027788	0
2026-04-06	8880644	21109262	9253589	9246066	9263363	32689694	9251484	14247006	9305556	9234228	9185607	9297039	9259048	8660808	18449870	18079629	9208734
2026-04-13	8880644	0	0	0	9263363	9225994	0	1768716	0	8450532	27556821	17223507	9259048	0	18449870	0	9208734
2026-04-20	35522576	15724142	0	0	9263363	18451988	18502968	18601604	8974596	0	0	24817338	37036192	43304040	62227950	0	0
2026-04-27	0	0	0	0	0	0	9251484	18601604	18611112	18468456	0	18594078	0	0	0	0	18417468
2026-05-11	0	5816870	0	9246066	0	0	0	0	2747468	2499956	11821402	0	0	8660808	0	0	20642950
2026-05-18	26473852	20571734	5860225	0	0	21674932	12695780	19568660	0	0	0	23774307	21905160	24078204	40823220	0	0
2026-05-25	4947364	20934600	11374673	4370846	5747959	2252100	4990664	1990068	2186592	1990068	2252100	4479051	2383116	2587916	2718932	5925733	1990068
2026-06-01	0	1506684	16787009	0	0	0	0	17490636	0	0	0	0	0	16947920	0	35046201	0
2026-06-08	2248312	3284376	2182804	2248312	2051788	6576676	44196960	0	0	0	0	0	5504320	36018900	23641802	0	13437070
2026-06-15	0	0	0	0	0	0	0	0	0	4541356	0	4060854	5504320	0	0	0	0
2026-06-22	16752200	12252218	9253589	13745590	9263363	7729944	3864972	7949904	5400812	0	5263314	2423796	3340908	3799464	2882352	0	0
2026-06-29	13738832	9173342	0	4499524	0	9225994	0	9300802	0	4475848	0	9297039	9259048	8660808	23641802	0	0
2026-07-06	48063768	50250824	51264902	46960100	12824730	19059448	14479352	26642190	11987516	11537660	9185607	16633293	16859624	16035460	19582444	22846943	9208734
2026-07-13	0	19147186	0	0	5959442	0	5673652	14171830	1703208	0	5328822	9297039	0	8660808	0	0	4228336
2026-07-20	0	38286598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
