region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	1309494401	827	162	65
AWS/ap-southeast-1	115065592	28	28	0
GitHub	466948784	2090	127	101
CHN	272764233	41	36	5
USA	45750629	5	5	0
USA/NC	99706552	15	15	0
USA/MA	488953267	101	0	42
AWS/us-east-1	9265080	1	1	0
MEX/CMX	80944596	272	42	40
AWS/us-east-2	9265080	1	1	0
VNM/DN	9076973	1	1	0
IDN/YO	4782084	1	1	0
USA/CA	14293508	15	4	4
JPN/13	6911456	16	1	1
CHN/SH	18181042	2	2	0
GCP/us-central1	45756745	5	5	0
USA/MD	11273847	63	4	3
CHN/BJ	1158804	4	1	1
FRA/IDF	8762220	16	4	3
ZAF/KZN	3537432	1	1	0
IND	1703208	1	1	0
VEN/A	9113298	1	1	0
USA/WA	10637124	8	2	2
AWS/us-west-2	28140924	70	6	2
USA/IL	14142852	29	2	2
BRA/PA	1	1	0	1
BRA/CE	5437164	1	1	0
VEN/V	9166209	1	1	0
MYS/14	9166209	1	1	0
IRQ/BG	9166209	1	1	0
BRA/PE	9166209	1	1	0
VNM/SG	9166209	1	1	0
EST/37	8952003	1	1	0
CHE/VD	2448624	8	2	1
