week_start	sub-Temp-pref-F22-B22-6dpf-01-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-01-unsorted-nac_ses-20230605T145500_behavior.nwb	sub-Temp-pref-F22-B22-6dpf-02-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-02-unsorted-nac_ses-20230605T152900_behavior.nwb	sub-Temp-pref-F22-B22-6dpf-03-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-03-unsorted-nac_ses-20230605T160000_behavior.nwb	sub-Temp-pref-F22-B22-6dpf-04-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-04-unsorted-nac_ses-20230605T163200_behavior.nwb	sub-Temp-pref-F22-B22-6dpf-14-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-14-unsorted-nac_ses-20230612T113200_behavior.nwb	sub-Temp-pref-F22-B22-6dpf-15-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-15-unsorted-nac_ses-20230612T120500_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-05-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-05-unsorted-nac_ses-20230606T100500_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-06-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-06-unsorted-nac_ses-20230606T104200_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-07-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-07-unsorted-nac_ses-20230606T111900_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-08-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-08-unsorted-nac_ses-20230606T115200_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-09-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-09-unsorted-nac_ses-20230606T122400_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-10-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-10-unsorted-nac_ses-20230606T125600_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-11-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-11-unsorted-nac_ses-20230606T135500_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-12-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-12-unsorted-nac_ses-20230606T144900_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-13-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-13-unsorted-nac_ses-20230606T160000_behavior.nwb
2025-03-10	6346397	6424558	6379004	6270138	6434168	5490554	7211216	6195657	6322613	4166951	6351544	8018132	7637683	7252912	6199259
2025-06-23	351060	349674	350892	351432	350412	350742	350580	350814	351000	350604	350982	350082	350550	350928	350556
2025-07-14	351060	349674	350892	351432	350412	350742	350580	350814	351000	350604	350982	350082	350550	350928	350556
2025-07-28	9166209	0	0	0	0	0	9179256	0	9076973	0	9302428	0	0	0	9281215
2025-08-04	0	0	0	0	0	9227534	0	0	0	8952003	0	0	9212675	0	0
2025-08-11	0	9113298	9067744	0	9188472	0	0	9080921	0	8952003	0	9265080	0	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	0	0	9286460	0
2025-08-25	0	0	0	0	9188472	0	0	0	0	0	9302428	0	0	0	9281215
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	0	9212675	0	0
2025-09-08	9166209	0	0	9221022	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	0	6911456	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	20750544	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	21612729	17367306	26389496	26187594	20979912	22582072	23328984	26415850	24049666	19564299	24500576	21580584	21266147	21667472	23299927
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	9265080	0	0	0
2025-12-29	0	9113298	9067744	0	0	9227534	0	0	9076973	0	0	0	0	0	0
2026-01-12	0	0	0	0	0	0	0	0	27230919	0	0	27795240	0	27859380	0
2026-01-19	0	0	27203232	0	0	0	0	0	0	0	27907284	0	0	9286460	0
2026-01-26	0	0	0	9221022	0	0	9179256	9080921	0	0	9302428	0	9212675	0	9281215
2026-02-02	9166209	0	0	0	9188472	0	0	0	0	8952003	0	0	0	0	0
2026-02-16	17318940	15476440	18749888	13962426	14502096	16523750	17269844	16082564	18973146	17754903	0	0	0	0	0
2026-02-23	0	0	0	0	0	0	0	6244725	5691885	6627807	0	7092240	0	0	0
2026-03-02	6637213	5867502	7370012	6646858	6028524	5965186	6682664	0	0	0	5675648	0	0	5901372	6326067
2026-03-09	0	0	0	0	0	0	0	0	0	0	6068696	0	5913435	0	0
2026-03-16	0	17563830	17649292	0	0	10210154	0	0	15562265	0	0	11267376	0	9286460	0
2026-03-23	0	4266296	4565220	4499712	0	9227534	0	0	0	0	15523468	0	0	21903916	0
2026-03-30	9166209	0	9067744	0	0	0	27537768	0	0	0	6202920	9265080	0	32293584	0
