date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2022-04-24	2354199762832	280672	0	64
2022-04-25	6588925114061	785497	0	72
2022-04-26	869720878	104	0	0
2022-05-04	36823660185	5158	1	5
2022-05-05	152202524299	14163	1	9
2022-05-06	13778207701	1645	0	3
2022-05-08	353474786308	42156	0	40
2022-05-09	413201459768	49264	0	13
2022-05-10	619993528286	76488	0	6
2022-05-11	2525134039	302	0	2
2022-05-12	10301912531	4013	0	12
2022-05-13	40731990223	4862	0	12
2022-05-14	53326057230	6368	0	22
2022-05-15	27385717745	3267	0	6
2022-05-16	186261343776	22225	0	41
2022-05-17	67701731732	8534	0	8
2022-05-18	164021623272	19505	1	14
2022-05-19	150893425057	17994	0	12
2022-05-21	291987119794	34713	1	5
2022-05-22	663205540225	79064	0	9
2022-05-23	220649489586	26304	0	2
2022-05-24	566808282791	67570	0	3
2022-06-27	77743136	6	6	0
2022-07-12	2243539564766	106084	42	39
2022-07-13	4312727774115	205505	141	140
2022-07-14	5298281765258	252453	131	129
2022-07-15	770900102499	36736	34	34
2022-07-22	36494059	7	7	0
2022-07-27	23430536	2	2	0
2022-07-31	1097207802382	130806	0	15
2022-08-01	1184824060503	141257	0	30
2022-08-02	1231589427991	146817	34	25
2022-08-03	605862986313	72226	28	23
2022-08-07	293023822480	2399	6	10
2022-08-08	1202496456098	2266	10	39
2022-08-09	1106619073619	2079	6	34
2022-08-10	2152198847245	4025	7	27
2022-08-11	802247799202	1517	10	35
2022-08-12	1912390590319	3581	12	27
2022-08-13	755367506748	1423	4	29
2022-08-14	609193936	52	52	0
2022-08-16	46861072	4	4	0
2022-08-18	70291608	6	6	0
2022-08-19	46861072	4	4	0
2022-08-20	23430536	2	2	0
2022-08-21	117152680	10	10	0
2022-08-22	46861072	4	4	0
2022-08-23	462461478662	890	0	5
2022-08-24	3161451473212	15639	9	36
2022-08-25	3081126563334	227	42	74
2022-08-26	2451470289870	198	74	46
2022-08-27	2550467479249	182	37	47
2022-08-28	2126112492394	178	53	54
2022-08-29	1782062661900	145	53	25
2022-08-30	329866594740	46	17	20
2022-08-31	2457856054712	138	11	10
2022-09-01	141107675864	14	7	2
2022-09-06	75945236	4	4	0
2022-09-10	227835708	12	12	0
2022-09-11	227835708	12	12	0
2022-10-17	31637746	1092	0	1
2022-11-13	764994694520	31	31	0
2022-11-14	797790165193	33	33	0
2022-11-22	33885491067	13	1	7
2022-12-06	568425642	1	1	0
2022-12-09	85596649	17	0	1
2023-02-14	160208928	31	0	1
2023-02-16	157996492789	18836	0	4
2023-02-17	415134976030	49491	0	4
2023-02-18	151203803000	18027	0	4
2023-02-19	306282595604	36513	0	1
2023-02-20	70148574554	8365	0	2
2023-02-21	432540282049	51564	0	5
2023-02-22	192582684492	22960	0	4
2023-02-26	4942159964	590	0	1
2023-04-11	349830476972	23	2	2
2023-04-12	997262581146	70	6	7
2023-04-13	258661555456	21	4	4
2023-04-14	477904466378	38	7	6
2023-04-15	426861310038	32	7	4
2023-04-16	321969388562	22	0	4
2023-05-08	312576424136	37264	0	4
2023-05-09	366824013518	43732	0	4
2023-05-14	37972618	2	2	0
2023-05-19	3225291143	1	1	0
2023-05-23	483456	920	0	1
2023-05-25	483456	920	0	2
2023-05-26	2793142176	923	3	2
2023-05-27	241728	460	0	1
2023-05-28	241728	460	0	1
2023-05-29	241728	460	0	1
2023-05-30	241728	460	0	1
2023-05-31	241728	460	0	1
2023-06-01	9087197788	462	2	1
2023-06-02	241728	460	0	1
2023-06-03	241728	460	0	1
2023-06-04	241728	460	0	1
2023-06-05	241728	460	0	1
2023-06-06	241728	460	0	1
2023-06-07	241728	460	0	1
2023-06-08	241728	460	0	1
2023-06-09	241728	460	0	1
2023-06-10	241728	460	0	1
2023-06-11	241728	460	0	1
2023-06-12	241728	460	0	1
2023-06-13	241728	460	0	1
2023-06-14	241728	460	0	1
2023-06-15	1593920273	498	2	4
2023-06-16	3236884315	1128	0	102
2023-06-17	483456	920	0	2
2023-06-18	241728	460	0	1
2023-06-19	241728	460	0	1
2023-06-20	241728	460	0	1
2023-06-21	241728	460	0	1
2023-06-22	85864	199	0	1
2023-06-23	241728	460	0	1
2023-06-24	483456	920	0	2
2023-06-25	226258061	947	0	2
2023-06-26	116781809	488	0	1
2023-06-27	241728	460	0	1
2023-06-28	241728	460	0	1
2023-06-29	241728	460	0	1
2023-06-30	241728	460	0	1
2023-07-01	40621660	471	0	4
2023-07-02	241728	460	0	1
2023-07-03	11647431	463	0	2
2023-07-04	241728	460	0	1
2023-07-05	241728	460	0	1
2023-07-06	241728	460	0	1
2023-07-07	241728	460	0	1
2023-07-08	241728	460	0	1
2023-07-09	241728	460	0	1
2023-07-10	241728	460	0	1
2023-07-11	241728	460	0	1
2023-07-12	241728	460	0	1
2023-07-13	241728	460	0	1
2023-07-14	372908922	17705	0	89
2023-07-15	241728	460	0	1
2023-07-16	241728	460	0	1
2023-07-17	241728	460	0	1
2023-07-18	241728	460	0	1
2023-07-19	241728	460	0	1
2023-07-20	434882360	461	1	1
2023-07-21	241728	460	0	1
2023-07-22	241728	460	0	1
2023-07-23	241728	460	0	1
2023-07-24	241728	460	0	1
2023-07-25	241728	460	0	1
2023-07-26	177242014	1322	16	5
2023-07-27	241728	460	0	1
2023-07-28	241728	460	0	1
2023-07-29	38214346	462	2	1
2023-07-30	38214346	462	2	1
2023-07-31	241728	460	0	1
2023-08-01	241728	460	0	1
2023-08-02	241728	460	0	1
2023-08-03	241728	460	0	1
