region	bytes_sent
US/Massachusetts	204345289502
AWS/us-east-1	202360998385
CA/Ontario	121855416110
GitHub	23819274082
IR/Tehran	9230079523
VPN	4365121966
KR/Incheon	3001432812
US/New York	2536740278
US/Washington	1794718773
GCP/us-central1	1741504326
CA/British Columbia	696097918
US/Michigan	696097918
US/Texas	656627700
AWS/ap-southeast-1	320596152
PL/Mazovia	318614584
US/California	228418232
IR/Fars	144767904
US/New Jersey	108902968
US/Arizona	85684435
IR/Hormozgan	85375576
US/Delaware	45986616
JP/Tokyo	25613628
RU/St.-Petersburg	17752668
US/Pennsylvania	16966572
FI/Uusimaa	15983952
AWS/us-east-2	7991976
SG/Singapore	7795452
