week_start	sub-Godzilla/sub-Godzilla_ecephys.nwb
2024-06-17	198665232
2024-07-01	16245984
2024-07-08	3177308
2024-07-22	6353112
2024-08-05	16360368
2024-09-02	330366952
2024-09-09	7897076
2024-09-16	7238804
2025-09-08	104857600
2025-10-06	17327036
2025-12-15	177433472
2026-01-26	86540276
2026-02-16	10620572
