week_start	Miscellaneous
2025-05-05	2086190293
2025-05-12	1042213242
2025-06-23	1042212173
2025-07-21	52236282
2025-07-28	323952048
2025-08-04	218955211
2025-08-11	267335712
2025-08-18	100920046
2025-08-25	164752164
2025-09-01	201761882
2025-09-08	100163640
2025-09-29	233
2025-10-27	466
2025-11-10	233
2025-11-24	699
2025-12-01	233
2025-12-08	32616084
2025-12-15	4127054404
2025-12-22	66839982
2025-12-29	87160314
2026-01-05	109657196
2026-01-12	1184760027
2026-01-19	1258984827
2026-01-26	465585971
2026-02-02	138337065
2026-02-16	1069
2026-02-23	12821892
2026-03-09	961576223
2026-03-16	697367532
2026-03-23	176944982
2026-03-30	2329831484
2026-04-06	1269143956
2026-04-13	1339283657
2026-04-20	988285208
2026-04-27	250176846
2026-05-04	1013717880
2026-05-11	2214849467
2026-05-18	829979847
2026-05-25	1236223052
2026-06-01	1170058092
2026-06-08	3643681825
2026-06-15	450566064
2026-06-22	266533739
2026-06-29	2315264394
2026-07-06	353388022
2026-07-13	14837047
2026-07-20	51883612
2026-07-27	1048128
2026-08-03	1042211940
2026-08-17	16320
