week_start	sub-05222025/sub-05222025_ses-20250811T163200_ecephys.nwb	sub-05222025/sub-05222025_ses-20250811T163400_ecephys.nwb	sub-05272025/sub-05272025_ses-20250812T154900_obj-160xcvz_ecephys.nwb	sub-05272025/sub-05272025_ses-20250812T154900_obj-1cfcn60_ecephys.nwb	sub-05292025/sub-05292025_ses-20250812T102200_ecephys.nwb	sub-06032025/sub-06032025_ses-20250812T102500_ecephys.nwb	sub-06032025/sub-06032025_ses-20250812T102600_ecephys.nwb	sub-06052025/sub-06052025_ses-20250812T102800_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T103000_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T103200_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T103400_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T103700_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T103800_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T103900_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T104000_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T104200_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T104300_obj-1i5v95i_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T104300_obj-1im1bq6_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T104400_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T105000_obj-1mpexis_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T105000_obj-1qf4j3n_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T105700_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T105800_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T111200_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T112300_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T112400_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T113900_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T114300_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T114500_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T114900_ecephys.nwb	sub-06102025/sub-06102025_ses-20250812T115000_ecephys.nwb
2025-08-11	9412960	3761504	15079584	9141400	25506564	26146632	40590496	16146320	30291492	23249284	12253444	21420836	48270140	13990940	15040428	26077908	31874764	14517204	17936824	28660084	35991020	18441324	9604348	16019064	12474360	7938296	23842564	21376568	24702984	21260608	20357012
2025-08-18	0	1399128	0	1828280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4966896	0	0	0	0	21902648	0	0	0
2025-08-25	0	0	0	0	5324824	0	0	0	0	0	0	0	0	0	4031360	0	0	0	4582016	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	5324824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14904976	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	3178280	24371720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	3846880	3279880	5552048	4174120	737304	4590916	24723468	16342844	11327456	15253052	6813996	516616	29253024	0	8062720	12681264	5607800	3824800	9227804	0	16524496	4573684	4637452	409120	6642580	3614768	19650052	0	426712	13137616	8480896
2025-09-29	0	0	0	0	0	0	0	0	0	0	0	0	0	492112	0	0	0	0	0	4127004	0	0	0	0	0	2161764	0	0	0	0	0
2025-10-06	1719200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	1719200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	1719200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4772056	0	0	0	0	0	0	0	0	0
2025-12-15	5157600	2798256	11104096	3656560	31948944	32045152	33295740	23993984	35504276	17422100	9534840	45006740	34677112	10520304	4031360	41185936	29143716	13678912	13746048	39370976	33626900	9544112	14060796	14711872	12226248	10844304	48217700	70813088	35547232	41368480	23928000
2025-12-22	0	0	0	0	0	0	0	0	5532656	0	0	0	0	0	0	0	0	0	0	0	6428192	0	0	0	4075416	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3506768	0	0	13618320	0	0	0	0	0	0	0	0	0	0	0	0	0	7976000
2026-01-12	0	0	11104096	1828280	0	0	0	0	11355088	0	0	0	0	7013536	0	25362528	0	0	13746048	16279072	24527456	4772056	9933792	7355936	4075416	7229536	0	43805296	39388592	8273696	0
2026-01-19	3438400	0	0	0	0	0	20128632	0	0	0	0	0	33449120	0	0	0	0	3419728	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-26	1719200	1399128	0	0	0	15406120	0	6304584	0	5300880	3178280	19128840	0	0	0	0	0	0	4582016	0	0	0	0	7355936	0	0	9662096	0	9208536	0	0
2026-02-02	0	0	0	0	5324824	0	0	0	0	0	0	0	0	0	4031360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	5464800	2798256	5859248	3963760	10956848	20287140	307200	20110956	10022724	18866304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	388000	1399128	0	0	0	353320	0	0	0	0	515880	0	0	3839136	0	0	0	0	383616	407072	0	0	0	11875676	0	3952736	0	0	0	0	4525404
2026-03-02	1719200	1399128	0	2222960	0	0	0	0	0	4701072	0	410120	3733956	0	4376320	4716792	408720	0	0	0	4534076	368856	0	0	4464432	0	0	4918700	0	3795312	0
2026-03-09	0	0	0	0	0	0	4688960	4905916	8385024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364176	0	0	0	0
2026-03-16	0	2798256	5552048	0	0	0	0	0	7598928	0	0	0	4127004	3506768	0	0	5764704	0	0	9302136	8712564	9544112	4966896	0	4075416	0	0	11332884	0	16547392	15705944
2026-03-23	307200	0	896772	0	5324824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	1828280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	0	375128	0	0	5324824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	0	0	5552048	0	0	0	0	0	10775536	0	0	0	0	3506768	0	8909088	22985964	0	0	0	0	9544112	0	0	0	0	0	11332884	0	0	14723324
