date	bytes_sent	number_of_requests	number_of_downloads
2025-08-12	429573612	180	<50
2025-08-13	107417272	<50	<50
2025-08-14	233848244	60	60
2025-08-15	32074072	<50	<50
2025-08-16	6926496	<50	<50
2025-08-17	35132640	<50	<50
2025-08-18	6366024	<50	<50
2025-08-19	25517416	<50	<50
2025-08-22	16733256	<50	<50
2025-08-23	21413496	<50	<50
2025-08-27	4031360	<50	<50
2025-08-28	4582016	<50	<50
2025-08-29	5324824	<50	<50
2025-09-03	7355936	<50	<50
2025-09-05	35635920	<50	<50
2025-09-09	3178280	<50	<50
2025-09-11	11547464	<50	<50
2025-09-12	24371720	<50	<50
2025-09-24	303690160	<50	<50
2025-09-28	119239064	120	<50
2025-10-01	11176048	<50	<50
2025-10-08	3453664	<50	<50
2025-11-11	1719200	<50	<50
2025-11-22	1719200	<50	<50
2025-12-04	1719200	<50	<50
2025-12-14	4772056	<50	<50
2025-12-16	484857480	60	60
2025-12-17	26869544	<50	<50
2025-12-18	307304928	<50	<50
2025-12-19	201864512	<50	<50
2025-12-20	8273696	<50	<50
2025-12-22	16327584	<50	<50
2025-12-23	4075416	<50	<50
2025-12-26	11671072	<50	<50
2026-01-07	4905896	<50	<50
2026-01-08	1719200	<50	<50
2026-01-09	7976000	<50	<50
2026-01-10	13618320	<50	<50
2026-01-12	16279072	<50	<50
2026-01-16	105769104	<50	<50
2026-01-17	108398400	<50	<50
2026-01-18	161590584	<50	<50
2026-01-19	73766640	<50	<50
2026-01-22	26417160	<50	<50
2026-01-23	20128632	<50	<50
2026-01-24	6858128	<50	<50
2026-01-27	10543760	<50	<50
2026-01-28	27050232	<50	<50
2026-01-29	39777840	<50	<50
2026-01-30	17844072	<50	<50
2026-01-31	14904976	<50	<50
2026-02-01	4582016	<50	<50
2026-02-03	5324824	<50	<50
2026-02-05	4031360	<50	<50
2026-02-17	1719200	<50	<50
2026-02-20	132646544	60	<50
2026-02-25	11890012	<50	<50
2026-02-26	8292876	<50	<50
2026-02-27	3118328	<50	<50
2026-02-28	15065664	<50	<50
2026-03-01	13066020	<50	<50
2026-03-02	17707620	<50	<50
2026-03-03	8910396	<50	<50
2026-03-04	20625680	<50	<50
2026-03-05	9601124	<50	<50
2026-03-06	10882936	<50	<50
2026-03-08	1719200	<50	<50
2026-03-09	9568456	<50	<50
2026-03-10	17741152	<50	<50
2026-03-19	210351268	<50	<50
2026-03-26	3819944	<50	<50
2026-03-28	5324824	<50	<50
2026-04-01	5324824	<50	<50
2026-04-02	7153104	<50	<50
2026-04-04	1828280	<50	<50
2026-04-05	7380328	<50	<50
2026-04-11	5552048	<50	<50
2026-04-12	11104096	<50	<50
2026-04-14	1774256	<50	<50
2026-04-15	1828280	<50	<50
2026-04-17	5324824	<50	<50
2026-04-21	227089336	<50	<50
2026-05-12	1399128	<50	<50
2026-05-15	6356560	<50	<50
2026-05-16	16253784	<50	<50
2026-05-17	44904248	<50	<50
2026-05-18	172254796	60	<50
2026-05-19	88285400	<50	<50
2026-05-20	244449692	200	60
2026-05-21	23019848	<50	<50
2026-05-23	28574680	<50	<50
2026-05-25	12268052	<50	<50
2026-05-27	60553668	140	<50
2026-05-28	39407104	80	<50
2026-05-29	8011016	<50	<50
2026-05-30	92823424	140	<50
2026-06-01	8696588	<50	<50
2026-06-02	4466372	<50	<50
2026-06-03	22731124	<50	<50
2026-06-04	41530824	<50	<50
2026-06-10	9906224	<50	<50
2026-06-11	19095956	<50	<50
2026-06-12	38988620	<50	<50
2026-06-13	29517652	<50	<50
2026-06-14	14646720	<50	<50
2026-06-15	22000748	<50	<50
2026-06-17	21345152	<50	<50
2026-06-18	13519320	<50	<50
2026-06-19	25218284	<50	<50
2026-06-20	10234784	<50	<50
