region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/MA	482819502	102	0	73
CHN	622150200	104	38	14
GCP/us-central1	645080480	78	78	0
GitHub	1513362092	1669	308	253
USA/NC	189183248	31	31	0
AWS/us-east-1	609544732	122	89	14
VPN	1166882480	351	193	54
USA	131064688	30	9	6
AWS/ap-southeast-1	304098616	83	83	0
USA/CA	231213840	199	66	66
MEX/CMX	76519628	210	67	47
AWS/us-east-2	88285400	10	10	0
JPN/26	303690160	31	31	0
CAN/BC	19118024	28	6	22
USA/MI	1774256	4	1	1
EST/37	1399128	1	1	0
CHE/VD	2316240	6	1	1
USA/TN	1719200	1	0	1
USA/IL	2579640	6	2	2
FRA/IDF	3672936	9	3	3
IND/CH	1768716	1	1	0
USA/PA	5324824	1	1	0
