week_start	sub-fly01/sub-fly01_ophys.nwb
2023-06-19	2085338989
2023-06-26	63630584
2023-07-03	639947310
2023-07-10	547776
2023-07-17	958608
2023-07-24	547776
2023-07-31	632198903
2023-08-07	684720
2023-08-14	410832
2023-08-21	410832
2023-08-28	1896048933
2023-09-04	410832
2023-09-11	273888
2023-09-18	547776
2023-09-25	632472791
2023-10-09	39165300
2023-10-16	1728499787
2023-10-23	1263713086
2023-10-30	631925015
2023-11-06	1317515745
2023-11-13	686323911
2023-11-20	61339367
2023-11-27	7601479
2023-12-04	684720
2023-12-11	639810366
2024-01-01	1263576142
2024-01-22	644945048
2024-03-04	23656053
2024-03-11	6144651
2024-03-18	25141564
2024-03-25	13156977
2024-04-01	6743947
2024-04-15	10647211
2024-06-10	2258331248
2024-07-08	10438371
2024-07-22	13101600
2024-08-26	24196843
2024-09-09	173477722
2024-09-16	10110831
2024-09-23	7885351
2024-10-14	12184488
2024-11-11	4127004
2024-11-18	173007256
2025-03-31	77610034
2025-04-07	69812383
2025-04-21	631788071
2025-08-11	631788071
2025-09-29	8512663
2025-10-06	17402018
2025-12-08	631788071
2025-12-15	1276219186
2026-01-19	631788071
2026-02-02	17359620
2026-02-16	14698620
2026-03-09	4582183
2026-03-23	4331804
2026-04-06	13691172
2026-04-13	639124967
2026-04-27	1965240
2026-05-04	7923091
2026-05-18	5564803
2026-05-25	3308504
2026-06-01	2514132
2026-06-08	2215208
