region	bytes_sent
FR/Provence-Alpes-Côte d'Azur	239663892273
US/California	227881082719
GitHub	150018510308
AWS/us-east-1	142077694390
KR/Seoul	75227641794
US/Colorado	74019440978
US/New Mexico	73147035938
NL/North Holland	73146469224
GB/England	29546663767
AWS/us-east-2	27597563620
GCP/us-central1	17776575400
CH/Vaud	13801411806
CN/Shanghai	12840153586
VPN	11720809247
PT/Lisbon	9662101188
US/Virginia	4836143721
US/Maryland	3297081036
IN/Maharashtra	3256544208
HK/Hong Kong	2369292916
DE/Rheinland-Pfalz	2330541165
US/Indiana	2325428844
CA/Quebec	2049333373
VN/Ho Chi Minh	1705794677
VN/Kiên Giang Province	1601389245
NO/Trøndelag	1394087776
ES/Madrid	1155221825
US/Massachusetts	1087998180
TW/Taiwan	1069845864
SE/Stockholm	1008592719
SA/Mecca Region	991275609
IT/Lombardy	981254645
GCP/us-east1	787782709
US/Texas	185318008
US/Rhode Island	86865425
US/New York	41617340
AWS/ap-southeast-1	31456536
