region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	37686021092	119368	17334	15106
VPN	1799453440	1224	1151	24
USA/VT	713519248	2231	323	323
USA/MA	934613982	679	331	249
AWS/ap-southeast-1	332385712	282	282	0
CHN	490521032	411	411	0
AWS/us-east-1	965970140	679	679	0
USA	564590028	390	388	1
CAN/ON	484761944	319	319	0
GitHub	10726305988	32796	8976	8659
USA/NY	243709880	160	160	0
MEX/CMX	751425156	1070	429	97
AWS/us-east-2	36550112	28	28	0
AWS/ap-south-1	2840984	2	2	0
AWS/us-west-1	241533432	159	159	0
JPN/26	245004720	160	160	0
USA/CO	241533432	159	159	0
GCP/us-west1	1405648	1	1	0
ROU	168297744	74	74	0
USA/MI	823248	5	1	1
CHL/RM	2174096	5	5	0
EST/37	411624	1	1	0
GCP/us-central1	19888880	12	8	1
CHE/VD	71138836	151	33	6
GCP/asia-south1	823248	5	1	1
JAM/08	1635928	1	1	0
DOM/01	1635928	1	1	0
USA/IL	3508408	8	2	2
USA/TN	6630252	3	1	1
USA/OH	1809176	7	1	1
USA/VA	87864	7	0	3
USA/CA	13235196	14	5	3
KOR/11	3471288	1	1	0
FRA/IDF	3234720	9	3	3
USA/WA	11260608	33	7	3
CAN/QC	510056	15	0	1
ITA/42	1600256	36	0	2
USA/PA	4249451	12	1	1
DEU	1695080	1	1	0
USA/MD	1695080	1	1	0
DEU/HE	1695080	1	1	0
