region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GBR/ENG	429762432	12	12	0
CHN	336985824	33	0	5
VPN	1211809473	313	33	11
USA/CA	218192288	83	16	9
GitHub	347087840	46410	47	165
NOR/50	503863584	105	0	4
MEX/CMX	56336436	161	18	13
USA/NY	139010000	140	4	1
IND/MH	35813536	1	1	0
USA/VA	789132044	157	6	3
CHL/RM	100324608	3	3	0
USA/FL	27358723	6	2	1
AWS/us-east-2	722886192	2411	3	12
AWS/us-east-1	126757980	12	12	0
USA	24631008	3	3	0
USA/MD	42305940	94	8	6
NLD	137734656	7	3	3
USA/MA	916683190	164	0	12
CAN/QC	116519264	25	0	4
USA/IL	47977476	26	4	2
CAN/ON	200649216	6	6	0
SAU/02	1113636	1	1	0
USA/GA	1113636	1	1	0
MYS/10	1113636	1	1	0
GCP/us-central1	121762144	4	4	0
RUS/SAM	1113636	1	1	0
UKR	1441176	1	1	0
UKR/07	43073536	1	1	0
BGD/C	1310160	1	1	0
BRA/SP	1179144	1	1	0
ARE/DU	11725932	1	1	0
VNM/HN	1965240	1	1	0
JPN/13	6312384	13	1	1
USA/RI	63846592	14	0	1
EST/37	21437536	1	1	0
CHE/VD	2453112	9	1	1
FRA/IDF	5388908	16	4	3
