week_start	Neurophysiology
2023-03-27	35813536
2023-04-03	35813536
2023-05-01	100324608
2023-06-19	357288272
2023-06-26	204121392
2023-07-03	23067376
2023-07-10	2095856
2023-07-17	2095856
2023-07-24	37909392
2023-07-31	2095856
2023-08-07	2095856
2023-08-14	2095856
2023-08-21	2095856
2023-08-28	110135280
2023-09-04	2395264
2023-09-11	55217465
2023-09-18	2095856
2023-09-25	38208800
2023-10-02	898224
2023-10-09	598816
2023-10-16	898224
2023-10-23	71926480
2023-10-30	36412352
2023-11-06	598816
2023-11-13	357496760
2023-11-20	343566388
2023-11-27	100324608
2023-12-04	116818672
2023-12-11	36412352
2024-01-01	71627072
2024-01-22	77391772
2024-03-04	85284128
2024-03-11	29230092
2024-03-25	78052440
2024-04-01	32655624
2024-04-08	27358723
2024-04-15	61317400
2024-07-08	128550992
2024-07-29	31574856
2024-08-26	72926824
2024-09-02	9957216
2024-09-09	641598240
2024-09-16	27964352
2024-10-14	35813536
2024-10-21	33736620
2024-11-11	35701860
2025-04-21	100324608
2025-06-23	280238400
2025-07-14	138717600
2025-07-28	21437536
2025-08-04	78887072
2025-08-25	43073536
2025-09-01	21437536
2025-09-08	21437536
2025-09-29	6312384
2025-10-06	68302212
2025-12-15	244081020
2026-01-12	236661216
2026-01-19	35813536
2026-01-26	64511072
2026-02-16	139426008
2026-02-23	18859028
2026-03-09	6588908
2026-03-23	14244552
2026-03-30	35813536
2026-04-06	153350664
2026-04-13	86147072
2026-04-20	21437536
2026-04-27	115511076
2026-05-11	71061872
2026-05-18	142074788
2026-05-25	77000248
2026-06-01	68864804
2026-06-08	31595432
2026-06-15	16721848
